Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Abenberg;Stadt;Roth;5.089;5.561;5.413;5.541
Abensberg;Stadt;Kelheim;11.542;12.306;12.766;13.540
Absberg;Marktgemeinde;Weißenburg-Gunzenhausen;1.220;1.324;1.326;1.340
Abtswind;Marktgemeinde;Kitzingen;781;784;826;851
Achslach;Gemeinde;Regen;1.125;1.089;933;902
Adelschlag;Gemeinde;Eichstätt;2.553;2.653;2.795;2.948
Adelsdorf;Gemeinde;Erlangen-Höchstadt;6.799;7.087;7.293;7.429
Adelshofen;Gemeinde;Fürstenfeldbruck;1.227;1.479;1.571;1.621
Adelshofen;Gemeinde;Ansbach;971;957;969;979
Adelsried;Gemeinde;Augsburg;2.295;2.272;2.165;2.306
Adelzhausen;Gemeinde;Aichach-Friedberg;1.257;1.476;1.581;1.680
Adlkofen;Gemeinde;Landshut;3.517;3.826;3.807;4.078
Affing;Gemeinde;Aichach-Friedberg;4.664;5.088;5.234;5.359
Aham;Gemeinde;Landshut;1.963;1.945;1.909;1.958
Aholfing;Gemeinde;Straubing-Bogen;1.410;1.611;1.709;1.813
Aholming;Gemeinde;Deggendorf;2.043;2.216;2.251;2.298
Ahorn;Gemeinde;Coburg;4.624;4.552;4.255;4.184
Ahorntal;Gemeinde;Bayreuth;2.252;2.274;2.217;2.175
Aichach;Stadt;Aichach-Friedberg;19.156;20.434;20.247;21.050
Aicha vorm Wald;Gemeinde;Passau;2.298;2.392;2.391;2.435
Aichen;Gemeinde;Günzburg;1.119;1.173;1.155;1.130
Aidenbach;Marktgemeinde;Passau;2.790;3.055;2.915;2.963
Aidhausen;Gemeinde;Haßberge;1.959;1.949;1.802;1.787
Aiglsbach;Gemeinde;Kelheim;1.475;1.600;1.661;1.759
Aindling;Marktgemeinde;Aichach-Friedberg;3.926;4.263;4.293;4.348
Ainring;Gemeinde;Berchtesgadener Land;9.763;9.762;9.511;9.672
Aislingen;Marktgemeinde;Dillingen a.d. Donau;1.384;1.370;1.347;1.307
Aiterhofen;Gemeinde;Straubing-Bogen;3.082;3.275;3.213;3.312
Aitrang;Gemeinde;Ostallgäu;1.880;1.964;1.981;2.033
Albaching;Gemeinde;Rosenheim;1.184;1.460;1.652;1.714
Albertshofen;Gemeinde;Kitzingen;2.206;2.057;2.160;2.257
Aldersbach;Gemeinde;Passau;3.885;4.122;4.225;4.224
Alerheim;Gemeinde;Donau-Ries;1.620;1.684;1.646;1.619
Alesheim;Gemeinde;Weißenburg-Gunzenhausen;972;1.000;984;953
Aletshausen;Gemeinde;Günzburg;1.128;1.168;1.095;1.127
Alfeld;Gemeinde;Nürnberger Land;1.130;1.166;1.128;1.074
Allersberg;Marktgemeinde;Roth;7.778;8.017;8.007;8.234
Allershausen;Gemeinde;Freising;4.556;4.740;5.082;5.583
Alling;Gemeinde;Fürstenfeldbruck;3.000;3.247;3.520;3.737
Allmannshofen;Gemeinde;Augsburg;794;832;802;854
Altdorf;Marktgemeinde;Landshut;10.135;11.284;10.896;11.158
Altdorf b. Nürnberg;Stadt;Nürnberger Land;14.560;15.240;15.099;15.260
Alteglofsheim;Gemeinde;Regensburg;3.025;3.182;3.179;3.187
Altenbuch;Gemeinde;Miltenberg;1.370;1.332;1.286;1.242
Altendorf;Gemeinde;Schwandorf;1.014;976;955;891
Altendorf;Gemeinde;Bamberg;1.781;2.023;1.959;2.026
Altenkunstadt;Gemeinde;Lichtenfels;5.545;5.644;5.445;5.380
Altenmarkt a.d. Alz;Gemeinde;Traunstein;3.739;4.103;4.206;4.181
Altenmünster;Gemeinde;Augsburg;3.706;3.878;3.782;3.948
Altenstadt;Gemeinde;Weilheim-Schongau;3.112;3.245;3.228;3.330
Altenstadt;Marktgemeinde;Neu-Ulm;4.731;4.651;4.932;5.024
Altenstadt a.d. Waldnaab;Gemeinde;Neustadt a.d. Waldnaab;4.701;5.174;4.859;4.776
Altenthann;Gemeinde;Regensburg;1.471;1.551;1.563;1.513
Altertheim;Gemeinde;Würzburg;2.074;2.146;2.029;1.945
Altfraunhofen;Gemeinde;Landshut;1.674;1.860;2.062;2.317
Althegnenberg;Gemeinde;Fürstenfeldbruck;1.627;1.788;1.792;1.986
Altmannstein;Marktgemeinde;Eichstätt;6.834;7.030;6.775;6.958
Altomünster;Marktgemeinde;Dachau;6.488;6.925;7.330;7.835
Altötting;Stadt;Altötting;12.460;12.843;12.449;12.750
Altusried;Marktgemeinde;Oberallgäu;9.233;9.858;9.860;10.060
Alzenau;Stadt;Aschaffenburg;17.946;19.027;18.646;18.839
Amberg;Kreisfreie Stadt;Amberg;43.611;44.217;41.911;41.861
Amberg;Gemeinde;Unterallgäu;1.189;1.288;1.437;1.421
Amerang;Gemeinde;Rosenheim;3.376;3.512;3.536;3.707
Amerdingen;Gemeinde;Donau-Ries;873;877;844;851
Ammerndorf;Marktgemeinde;Fürth;1.818;2.100;2.122;2.067
Ammersee;Gemeindefreies Gebiet;Landsberg am Lech;0;0;0;0
Ammerthal;Gemeinde;Amberg-Sulzbach;1.820;1.993;2.129;2.098
Amorbach;Stadt;Miltenberg;4.320;4.217;3.988;3.984
Ampfing;Gemeinde;Mühldorf a. Inn;5.769;6.022;6.092;6.297
Andechs;Gemeinde;Starnberg;2.993;3.157;3.284;3.527
Anger;Gemeinde;Berchtesgadener Land;4.198;4.324;4.299;4.398
Ansbach;Kreisfreie Stadt;Ansbach Stadt;39.896;40.412;39.491;41.159
Antdorf;Gemeinde;Weilheim-Schongau;1.049;1.090;1.180;1.288
Anzing;Gemeinde;Ebersberg;3.296;3.555;3.651;4.115
Anzinger Forst / Ebersberger Forst / Eglhartinger Forst;Gemeindefreies Gebiet;Ebersberg;0;0;0;0
Apfeldorf;Gemeinde;Landsberg am Lech;977;1.064;1.070;1.136
Apfeltrach;Gemeinde;Unterallgäu;948;942;916;919
Arberg;Marktgemeinde;Ansbach;2.199;2.323;2.293;2.278
Aresing;Gemeinde;Neuburg-Schrobenhausen;2.740;2.762;2.682;2.745
Arnbruck;Gemeinde;Regen;1.998;2.048;1.978;1.939
Arnschwang;Gemeinde;Cham;1.976;1.998;1.926;1.946
Arnstein;Stadt;Main-Spessart;8.092;8.376;8.160;8.161
Arnstorf;Marktgemeinde;Rottal-Inn;6.272;6.542;6.174;6.654
Arrach;Gemeinde;Cham;2.789;2.795;2.524;2.480
Arzberg;Stadt;Wunsiedel i. Fichtelgebirge;6.785;6.436;5.455;5.196
Asbach-Bäumenheim;Gemeinde;Donau-Ries;4.181;4.219;4.244;4.587
Ascha;Gemeinde;Straubing-Bogen;1.328;1.478;1.556;1.597
Aschaffenburg;Kreisfreie Stadt;Aschaffenburg Stadt;66.360;68.361;67.359;68.986
Aschau a. Inn;Gemeinde;Mühldorf a. Inn;2.842;2.946;2.987;3.231
Aschau i. Chiemgau;Gemeinde;Rosenheim;4.841;5.292;5.443;5.647
Aschheim;Gemeinde;München;5.128;6.438;7.574;8.778
Aßling;Gemeinde;Ebersberg;3.755;4.185;4.252;4.438
Attenhofen;Gemeinde;Kelheim;1.233;1.330;1.329;1.319
Attenkirchen;Gemeinde;Freising;2.154;2.437;2.568;2.647
Atting;Gemeinde;Straubing-Bogen;1.402;1.611;1.635;1.650
Aub;Stadt;Würzburg;1.771;1.658;1.528;1.506
Aubstadt;Gemeinde;Rhön-Grabfeld;791;785;758;730
Auerbach;Gemeinde;Deggendorf;2.071;2.143;2.070;2.111
Auerbach i.d. OPf.;Stadt;Amberg-Sulzbach;9.296;9.276;8.847;8.940
Aufhausen;Gemeinde;Regensburg;1.598;1.716;1.753;1.820
Aufseß;Gemeinde;Bayreuth;1.344;1.377;1.338;1.306
Augsburg;Kreisfreie Stadt;Augsburg Stadt;259.699;257.836;267.767;286.374
Auhausen;Gemeinde;Donau-Ries;1.089;1.106;1.032;1.055
Au i.d. Hallertau;Marktgemeinde;Freising;4.965;5.320;5.571;5.858
Aura a.d. Saale;Gemeinde;Bad Kissingen;830;864;867;856
Aurach;Gemeinde;Ansbach;2.804;2.938;2.794;2.902
Aurachtal;Gemeinde;Erlangen-Höchstadt;2.509;2.825;3.011;3.029
Aura i. Sinngrund;Gemeinde;Main-Spessart;1.102;1.081;1.027;1.010
Außernzell;Gemeinde;Deggendorf;1.365;1.444;1.383;1.391
Aying;Gemeinde;München;3.505;3.908;4.633;5.074
Aystetten;Gemeinde;Augsburg;2.931;3.053;2.893;2.993
Baar-Ebenhausen;Gemeinde;Pfaffenhofen a.d. Ilm;4.622;4.731;4.985;5.181
Baar (Schwaben);Gemeinde;Aichach-Friedberg;1.136;1.152;1.125;1.166
Babenhausen;Marktgemeinde;Unterallgäu;5.190;5.308;5.214;5.488
Babensham;Gemeinde;Rosenheim;2.636;2.791;2.883;2.999
Bach a.d. Donau;Gemeinde;Regensburg;1.742;1.769;1.825;1.803
Bachhagel;Gemeinde;Dillingen a.d. Donau;2.139;2.338;2.238;2.174
Bächingen a.d. Brenz;Gemeinde;Dillingen a.d. Donau;1.282;1.281;1.307;1.302
Bad Abbach;Marktgemeinde;Kelheim;8.315;10.294;11.439;12.208
Bad Aibling;Stadt;Rosenheim;15.966;16.860;17.023;18.407
Bad Alexandersbad;Gemeinde;Wunsiedel i. Fichtelgebirge;1.360;1.339;1.117;976
Bad Bayersoien;Gemeinde;Garmisch-Partenkirchen;1.129;1.158;1.110;1.186
Bad Berneck i. Fichtelgebirge;Stadt;Bayreuth;5.156;4.780;4.280;4.257
Bad Birnbach;Marktgemeinde;Rottal-Inn;5.589;5.580;5.481;5.678
Bad Bocklet;Marktgemeinde;Bad Kissingen;4.502;4.641;4.474;4.565
Bad Brückenau;Stadt;Bad Kissingen;7.288;7.381;6.526;6.412
Bad Endorf;Marktgemeinde;Rosenheim;6.740;7.378;7.886;8.240
Bad Feilnbach;Gemeinde;Rosenheim;6.391;7.096;7.524;8.001
Bad Füssing;Gemeinde;Passau;6.144;6.512;6.634;6.994
Bad Griesbach i. Rottal;Stadt;Passau;8.503;8.544;8.298;8.859
Bad Grönenbach;Marktgemeinde;Unterallgäu;5.065;5.133;5.262;5.528
Bad Heilbrunn;Gemeinde;Bad Tölz-Wolfratshausen;3.297;3.550;3.674;3.822
Bad Hindelang;Marktgemeinde;Oberallgäu;4.979;4.778;4.822;5.033
Bad Kissingen;Große Kreisstadt;Bad Kissingen;21.887;21.593;20.993;21.696
Bad Kohlgrub;Gemeinde;Garmisch-Partenkirchen;2.260;2.352;2.361;2.689
Bad Königshofen i. Grabfeld;Stadt;Rhön-Grabfeld;6.946;6.955;5.935;6.034
Bad Kötzting;Stadt;Cham;7.255;7.518;7.111;7.301
Bad Neustadt a.d. Saale;Stadt;Rhön-Grabfeld;15.796;15.903;15.210;15.154
Bad Reichenhall;Große Kreisstadt;Berchtesgadener Land;16.616;16.423;16.829;17.443
Bad Rodach;Stadt;Coburg;6.589;6.613;6.349;6.399
Bad Staffelstein;Stadt;Lichtenfels;10.661;10.636;10.285;10.231
Bad Steben;Marktgemeinde;Hof;3.675;3.705;3.411;3.435
Bad Tölz;Stadt;Bad Tölz-Wolfratshausen;16.469;16.998;17.480;18.475
Bad Wiessee;Gemeinde;Miesbach;4.447;4.207;4.491;4.913
Bad Windsheim;Stadt;Neustadt a.d. Aisch-Bad Windsheim;11.895;11.988;11.949;12.047
Bad Wörishofen;Stadt;Unterallgäu;13.592;13.753;13.977;15.446
Baierbach;Gemeinde;Landshut;675;775;779;791
Baierbrunn;Gemeinde;München;2.539;2.658;2.820;3.228
Baiern;Gemeinde;Ebersberg;1.240;1.442;1.412;1.431
Baiersdorf;Stadt;Erlangen-Höchstadt;6.258;6.797;7.367;7.489
Baisweil;Gemeinde;Ostallgäu;1.236;1.315;1.286;1.289
Balderschwang;Gemeinde;Oberallgäu;209;207;272;327
Balzhausen;Gemeinde;Günzburg;1.123;1.201;1.181;1.234
Bamberg;Kreisfreie Stadt;Bamberg Stadt;69.652;69.396;70.635;73.331
Barbing;Gemeinde;Regensburg;4.245;4.622;4.979;5.335
Bärnau;Stadt;Tirschenreuth;3.700;3.592;3.307;3.227
Bastheim;Gemeinde;Rhön-Grabfeld;2.577;2.615;2.156;2.042
Baudenbach;Marktgemeinde;Neustadt a.d. Aisch-Bad Windsheim;1.069;1.164;1.169;1.171
Baunach;Stadt;Bamberg;3.698;3.911;4.015;4.005
Bayerbach;Gemeinde;Rottal-Inn;1.689;1.715;1.627;1.624
Bayerbach b. Ergoldsbach;Gemeinde;Landshut;1.546;1.669;1.727;1.809
Bayerisch Eisenstein;Gemeinde;Regen;1.567;1.417;980;1.007
Bayerisch Gmain;Gemeinde;Berchtesgadener Land;2.855;2.867;2.909;3.110
Bayreuth;Kreisfreie Stadt;Bayreuth Stadt;73.016;74.519;70.808;72.148
Bayrischzell;Gemeinde;Miesbach;1.696;1.581;1.474;1.605
Bechhofen;Marktgemeinde;Ansbach;6.187;6.356;5.873;5.937
Bechtsrieth;Gemeinde;Neustadt a.d. Waldnaab;1.038;1.053;1.089;1.051
Beilngries;Stadt;Eichstätt;8.037;8.612;8.736;9.258
Bellenberg;Gemeinde;Neu-Ulm;4.227;4.512;4.479;4.423
Benediktbeuern;Gemeinde;Bad Tölz-Wolfratshausen;3.198;3.341;3.511;3.620
Benningen;Gemeinde;Unterallgäu;2.004;2.140;2.048;2.058
Beratzhausen;Marktgemeinde;Regensburg;5.429;5.539;5.473;5.520
Berching;Stadt;Neumarkt i.d. OPf.;8.085;8.647;8.452;8.522
Berchtesgaden;Marktgemeinde;Berchtesgadener Land;7.969;7.645;7.577;7.888
Berg;Gemeinde;Starnberg;7.313;7.910;7.896;8.264
Berg;Gemeinde;Hof;2.763;2.681;2.307;2.138
Berg b. Neumarkt i.d. OPf.;Gemeinde;Neumarkt i.d. OPf.;6.796;7.377;7.426;7.556
Bergen;Gemeinde;Traunstein;4.412;4.685;4.782;4.893
Bergen;Gemeinde;Weißenburg-Gunzenhausen;1.034;1.136;1.115;1.101
