Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Abenberg;Siedlung;Roth;2.990
Abensberg;Siedlung;Kelheim;7.930
Abersfeld;Siedlung;Schweinfurt;610
Absberg;Siedlung;Weißenburg-Gunzenhausen;800
Abtsdorf;Siedlung;Bamberg;640
Abtswind;Siedlung;Kitzingen;820
Achenmühle;Siedlung;Rosenheim;560
Achmühle;Siedlung;Bad Tölz-Wolfratshausen;530
Achsheim;Siedlung;Augsburg;790
Adelschlag;Siedlung;Eichstätt;630
Adelsdorf;Siedlung;Erlangen-Höchstadt;3.980
Adelshausen;Siedlung;Neuburg-Schrobenhausen;510
Adelshofen;Siedlung;Fürstenfeldbruck;840
Adelsried;Siedlung;Augsburg;1.980
Adelzhausen;Siedlung;Aichach-Friedberg;970
Adlkofen;Siedlung;Landshut;1.910
Affecking - Hohenpfahl;Siedlung;Kelheim;5.120
Affing;Siedlung;Aichach-Friedberg;1.350
Agawang;Siedlung;Augsburg;580
Agelsberg;Siedlung;Pfaffenhofen a.d. Ilm;570
Aham;Siedlung;Landshut;1.170
Aholfing;Siedlung;Straubing-Bogen;530
Aholming;Siedlung;Deggendorf;910
Ahorn;Siedlung;Coburg;1.330
Aich;Siedlung;Fürstenfeldbruck;690
Aichach;Siedlung;Aichach-Friedberg;14.100
Aicha vorm Wald;Siedlung;Passau;1.350
Aich - Bonbruck;Siedlung;Landshut;2.080
Aidenbach;Siedlung;Passau;2.680
Aidhausen;Siedlung;Haßberge;710
Aigen am Inn;Siedlung;Passau;760
Aiging;Siedlung;Traunstein;530
Aiglsbach;Siedlung;Kelheim;1.110
Aindling;Siedlung;Aichach-Friedberg;2.220
Ainring;Siedlung;Berchtesgadener Land;720
Aisch;Siedlung;Erlangen-Höchstadt;1.640
Aislingen;Siedlung;Dillingen a.d. Donau;1.060
Aiterhofen;Siedlung;Straubing-Bogen;2.010
Aitrang;Siedlung;Ostallgäu;1.410
Albaching;Siedlung;Rosenheim;950
Albertshausen;Siedlung;Bad Kissingen;570
Albertshofen;Siedlung;Kitzingen;2.130
Albstadt;Siedlung;Aschaffenburg;1.300
Aldersbach;Siedlung;Passau;1.880
Alerheim;Siedlung;Donau-Ries;900
Aletshausen;Siedlung;Günzburg;620
Alfeld;Siedlung;Nürnberger Land;700
Alitzheim;Siedlung;Schweinfurt;600
Alkofen - Pleckental - Eben;Siedlung;Passau;2.050
Allersberg;Siedlung;Roth;6.010
Allershausen;Siedlung;Freising;3.400
Alling;Siedlung;Fürstenfeldbruck;2.480
Allmannshofen;Siedlung;Augsburg;650
Alsleben;Siedlung;Rhön-Grabfeld;500
Alsmoos;Siedlung;Aichach-Friedberg;820
Altdorf;Siedlung;Landshut;9.360
Altdorf;Siedlung;Ostallgäu;680
Altdorf b. Nürnberg;Siedlung;Nürnberger Land;9.420
Alteglofsheim;Siedlung;Regensburg;3.140
Altenau;Siedlung;Garmisch-Partenkirchen;560
Altenbuch;Siedlung;Miltenberg;1.260
