Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Ahrensfelde;Gemeinde;Barnim;6.494;11.130;12.656;12.954
Altdöbern;Gemeinde;Oberspreewald-Lausitz;3.415;3.175;2.698;2.527
Althüttendorf;Gemeinde;Barnim;772;766;701;614
Altlandsberg;Stadt;Märkisch-Oderland;5.265;8.092;8.715;9.158
Alt Tucheband;Gemeinde;Märkisch-Oderland;1.030;1.015;869;766
Alt Zauche-Wußwerk;Gemeinde;Dahme-Spreewald;723;612;546;502
Am Mellensee;Gemeinde;Teltow-Fläming;7.296;6.997;6.526;6.628
Angermünde;Stadt;Uckermark;16.488;16.314;13.854;13.805
Bad Belzig;Stadt;Potsdam-Mittelmark;11.711;12.158;11.214;11.120
Bad Freienwalde (Oder);Stadt;Märkisch-Oderland;15.624;14.543;12.672;12.406
Bad Liebenwerda;Stadt;Elbe-Elster;11.649;11.231;9.905;9.305
Bad Saarow;Gemeinde;Oder-Spree;4.622;4.660;4.842;5.251
Bad Wilsnack;Stadt;Prignitz;2.871;3.039;2.651;2.558
Baruth/Mark;Stadt;Teltow-Fläming;4.699;4.585;4.188;4.146
Beelitz;Stadt;Potsdam-Mittelmark;10.350;12.258;11.713;12.121
Beeskow;Stadt;Oder-Spree;9.403;8.865;8.038;8.122
Beetzsee;Gemeinde;Potsdam-Mittelmark;...;2.822;2.430;2.512
Beetzseeheide;Gemeinde;Potsdam-Mittelmark;643;710;643;675
Beiersdorf-Freudenberg;Gemeinde;Märkisch-Oderland;686;643;570;593
Bensdorf;Gemeinde;Potsdam-Mittelmark;1.138;1.411;1.294;1.235
Berge;Gemeinde;Prignitz;1.002;969;791;770
Berkenbrück;Gemeinde;Oder-Spree;922;1.002;973;998
Berkholz-Meyenburg;Gemeinde;Uckermark;751;1.182;1.272;1.257
Bernau bei Berlin;Stadt;Barnim;25.428;33.507;35.631;37.169
Bersteland;Gemeinde;Dahme-Spreewald;...;930;926;896
Bestensee;Gemeinde;Dahme-Spreewald;5.978;6.301;6.579;7.367
Biesenthal;Stadt;Barnim;4.869;5.340;5.503;5.679
Birkenwerder;Gemeinde;Oberhavel;5.417;6.632;7.718;8.019
Blankenfelde-Mahlow;Gemeinde;Teltow-Fläming;15.621;22.069;25.503;26.319
Bleyen-Genschmar;Gemeinde;Märkisch-Oderland;576;589;499;468
Bliesdorf;Gemeinde;Märkisch-Oderland;1.046;1.291;990;1.223
Boitzenburger Land;Gemeinde;Uckermark;4.997;4.553;3.459;3.213
Borkheide;Gemeinde;Potsdam-Mittelmark;1.505;1.833;1.851;1.924
Borkwalde;Gemeinde;Potsdam-Mittelmark;1.068;1.389;1.466;1.496
Brandenburg an der Havel;Kreisfreie Stadt;Brandenburg an der Havel;86.753;77.245;71.569;71.574
Breddin;Gemeinde;Ostprignitz-Ruppin;1.223;1.114;920;908
Breese;Gemeinde;Prignitz;1.466;1.713;1.504;1.481
Breydin;Gemeinde;Barnim;793;851;799;781
Brieselang;Gemeinde;Havelland;5.513;9.380;10.715;11.484
Briesen;Gemeinde;Spree-Neiße;602;867;806;767
Briesen (Mark);Gemeinde;Oder-Spree;2.892;3.061;2.882;2.806
Brieskow-Finkenheerd;Gemeinde;Oder-Spree;2.570;2.716;2.416;2.320
Britz;Gemeinde;Barnim;2.151;2.385;2.168;2.137
Bronkow;Gemeinde;Oberspreewald-Lausitz;728;741;638;601
Brück;Stadt;Potsdam-Mittelmark;4.273;3.937;3.677;4.095
Brüssow;Stadt;Uckermark;2.715;2.585;1.991;1.876
Buckautal;Gemeinde;Potsdam-Mittelmark;607;608;517;492
Buckow (Märkische Schweiz);Stadt;Märkisch-Oderland;1.855;1.691;1.526;1.510
Burg (Spreewald);Gemeinde;Spree-Neiße;3.927;4.529;4.372;4.338
Byhleguhre-Byhlen;Gemeinde;Dahme-Spreewald;935;888;787;772
Calau;Stadt;Oberspreewald-Lausitz;10.317;9.680;8.378;7.833
Carmzow-Wallmow;Gemeinde;Uckermark;748;747;677;634
Casekow;Gemeinde;Uckermark;2.692;2.491;1.981;1.893
Chorin;Gemeinde;Barnim;2.568;2.598;2.330;2.265
Cottbus;Kreisfreie Stadt;Cottbus;126.343;111.125;99.984;99.687
Crinitz;Gemeinde;Elbe-Elster;1.632;1.541;1.282;1.222
Cumlosen;Gemeinde;Prignitz;834;899;792;734
Dabergotz;Gemeinde;Ostprignitz-Ruppin;523;588;593;599
Dahme/Mark;Stadt;Teltow-Fläming;6.680;6.165;5.329;5.073
Dahmetal;Gemeinde;Teltow-Fläming;556;558;497;488
Dallgow-Döberitz;Gemeinde;Havelland;...;6.702;8.521;9.700
Diensdorf-Radlow;Gemeinde;Oder-Spree;510;567;564;564
Dissen-Striesow;Gemeinde;Spree-Neiße;912;1.090;1.022;1.006
Doberlug-Kirchhain;Stadt;Elbe-Elster;11.209;10.705;9.080;8.746
Döbern;Stadt;Spree-Neiße;4.322;4.053;3.558;3.296
Drachhausen;Gemeinde;Spree-Neiße;877;893;850;816
Drahnsdorf;Gemeinde;Dahme-Spreewald;760;702;596;611
Drebkau;Stadt;Spree-Neiße;6.272;6.577;5.863;5.626
Dreetz;Gemeinde;Ostprignitz-Ruppin;1.297;1.263;1.156;1.157
Drehnow;Gemeinde;Spree-Neiße;641;653;570;550
Eberswalde;Stadt;Barnim;49.212;43.669;39.166;39.303
Eichwalde;Gemeinde;Dahme-Spreewald;4.887;5.749;6.223;6.426
Eisenhüttenstadt;Stadt;Oder-Spree;47.376;40.180;28.219;30.416
Elsterwerda;Stadt;Elbe-Elster;10.656;9.937;8.601;8.186
Erkner;Stadt;Oder-Spree;11.802;12.060;11.368;11.668
Falkenberg;Gemeinde;Märkisch-Oderland;2.550;2.518;2.312;2.208
Falkenberg/Elster;Stadt;Elbe-Elster;9.064;8.262;6.886;6.431
Falkenhagen (Mark);Gemeinde;Märkisch-Oderland;881;761;730;711
Falkensee;Stadt;Havelland;24.273;35.297;40.228;42.634
Fehrbellin;Gemeinde;Ostprignitz-Ruppin;9.618;9.600;8.623;8.829
Felixsee;Gemeinde;Spree-Neiße;2.389;2.518;2.105;1.920
Fichtenhöhe;Gemeinde;Märkisch-Oderland;518;575;537;506
Fichtwald;Gemeinde;Elbe-Elster;843;802;684;673
Finsterwalde;Stadt;Elbe-Elster;21.744;19.704;16.970;16.548
Flieth-Stegelitz;Gemeinde;Uckermark;774;748;585;546
Forst (Lausitz);Stadt;Spree-Neiße;25.701;23.839;19.757;18.773
Frankfurt (Oder);Kreisfreie Stadt;Frankfurt (Oder);80.807;70.308;59.140;58.092
Frauendorf;Gemeinde;Oberspreewald-Lausitz;818;823;721;696
Fredersdorf-Vogelsdorf;Gemeinde;Märkisch-Oderland;7.740;11.359;12.458;13.104
Friedland;Stadt;Oder-Spree;3.391;3.398;3.192;3.017
Friedrichswalde;Gemeinde;Barnim;912;950;860;807
Friesack;Stadt;Havelland;2.921;2.953;2.543;2.794
Fürstenberg/Havel;Stadt;Oberhavel;7.630;7.117;6.150;5.854
Fürstenwalde/Spree;Stadt;Oder-Spree;33.628;33.981;30.913;31.741
Gartz (Oder);Stadt;Uckermark;2.714;2.703;2.449;2.478
Garzau-Garzin;Gemeinde;Märkisch-Oderland;466;508;671;716
Gerdshagen;Gemeinde;Prignitz;669;648;523;505
Gerswalde;Gemeinde;Uckermark;2.018;1.956;1.671;1.604
Glienicke/Nordbahn;Gemeinde;Oberhavel;4.641;8.324;10.993;12.155
Gollenberg;Gemeinde;Havelland;503;499;439;408
Golßen;Stadt;Dahme-Spreewald;2.995;2.938;2.592;2.567
Golzow;Gemeinde;Märkisch-Oderland;1.137;1.039;899;836
Golzow;Gemeinde;Potsdam-Mittelmark;1.472;1.464;1.346;1.307
Gorden-Staupitz;Gemeinde;Elbe-Elster;1.248;1.209;1.053;957
Göritz;Gemeinde;Uckermark;932;927;810;780
Görzke;Gemeinde;Potsdam-Mittelmark;1.660;1.582;1.309;1.240
Gosen-Neu Zittau;Gemeinde;Oder-Spree;2.106;2.543;2.893;3.055
Gräben;Gemeinde;Potsdam-Mittelmark;1.242;1.293;556;531
Gramzow;Gemeinde;Uckermark;2.252;2.220;2.005;1.901
Gransee;Stadt;Oberhavel;6.998;6.750;5.935;5.814
Gröden;Gemeinde;Elbe-Elster;1.747;1.691;1.489;1.373
Großbeeren;Gemeinde;Teltow-Fläming;3.778;6.306;7.559;8.398
Großderschau;Gemeinde;Havelland;586;595;470;437
Großkmehlen;Gemeinde;Oberspreewald-Lausitz;1.355;1.333;1.104;1.086
Groß Köris;Gemeinde;Dahme-Spreewald;2.000;2.215;2.314;2.253
Groß Kreutz (Havel);Gemeinde;Potsdam-Mittelmark;7.323;8.404;8.156;8.133
Groß Lindow;Gemeinde;Oder-Spree;1.464;1.825;1.796;1.734
Groß Pankow (Prignitz);Gemeinde;Prignitz;5.114;4.790;4.067;3.955
Großräschen;Stadt;Oberspreewald-Lausitz;14.296;12.402;9.351;8.655
Groß Schacksdorf-Simmersdorf;Gemeinde;Spree-Neiße;1.524;1.386;1.002;1.233
Großthiemig;Gemeinde;Elbe-Elster;1.368;1.305;1.144;1.073
Großwoltersdorf;Gemeinde;Oberhavel;990;1.000;796;793
Grünewald;Gemeinde;Oberspreewald-Lausitz;725;683;582;537
Grünheide (Mark);Gemeinde;Oder-Spree;6.186;7.381;8.006;8.327
Grünow;Gemeinde;Uckermark;927;1.032;941;941
Grunow-Dammendorf;Gemeinde;Oder-Spree;529;590;543;501
Guben;Stadt;Spree-Neiße;29.093;24.165;18.620;17.616
Guhrow;Gemeinde;Spree-Neiße;420;588;543;514
Gülitz-Reetz;Gemeinde;Prignitz;602;612;488;479
Gumtow;Gemeinde;Prignitz;4.449;4.285;3.617;3.438
Gusow-Platkow;Gemeinde;Märkisch-Oderland;1.460;1.438;1.249;1.222
Guteborn;Gemeinde;Oberspreewald-Lausitz;662;653;563;542
Halbe;Gemeinde;Dahme-Spreewald;2.105;2.267;2.147;2.615
Halenbeck-Rohlsdorf;Gemeinde;Prignitz;764;728;582;546
Havelaue;Gemeinde;Havelland;1.075;1.014;936;878
Havelsee;Stadt;Potsdam-Mittelmark;...;3.469;3.427;3.234
Heckelberg-Brunow;Gemeinde;Märkisch-Oderland;819;888;706;668
Heideblick;Gemeinde;Dahme-Spreewald;...;4.612;3.848;3.666
Heideland;Gemeinde;Elbe-Elster;625;629;553;532
Heidesee;Gemeinde;Dahme-Spreewald;5.750;6.886;6.976;6.889
Heiligengrabe;Gemeinde;Ostprignitz-Ruppin;5.245;5.295;4.633;4.441
Heinersbrück;Gemeinde;Spree-Neiße;656;695;614;602
Hennigsdorf;Stadt;Oberhavel;24.528;26.390;25.520;26.264
Hermsdorf;Gemeinde;Oberspreewald-Lausitz;1.007;1.029;828;797
Herzberg (Elster);Stadt;Elbe-Elster;11.897;11.148;9.560;9.067
Herzberg (Mark);Gemeinde;Ostprignitz-Ruppin;643;698;647;630
Hirschfeld;Gemeinde;Elbe-Elster;1.561;1.510;1.352;1.279
Hohenbocka;Gemeinde;Oberspreewald-Lausitz;1.109;1.209;1.054;958
Hohenbucko;Gemeinde;Elbe-Elster;838;777;675;646
Hohenfinow;Gemeinde;Barnim;539;555;527;526
Höhenland;Gemeinde;Märkisch-Oderland;903;1.087;1.019;1.026
Hohenleipisch;Gemeinde;Elbe-Elster;2.836;2.845;2.202;2.048
Hohen Neuendorf;Stadt;Oberhavel;14.390;19.714;24.459;25.519
Hohenselchow-Groß Pinnow;Gemeinde;Uckermark;974;953;829;817
Hoppegarten;Gemeinde;Märkisch-Oderland;7.379;13.124;16.628;17.636
Ihlow;Gemeinde;Teltow-Fläming;847;834;750;705
Jacobsdorf;Gemeinde;Oder-Spree;1.496;2.018;1.885;1.863
Jamlitz;Gemeinde;Dahme-Spreewald;701;658;587;534
Jämlitz-Klein Düben;Gemeinde;Spree-Neiße;500;561;488;482
Jänschwalde;Gemeinde;Spree-Neiße;3.209;2.704;1.637;1.535
Joachimsthal;Stadt;Barnim;3.117;3.419;3.274;3.465
Jüterbog;Stadt;Teltow-Fläming;14.139;13.804;12.229;12.314
Karstädt;Gemeinde;Prignitz;8.395;7.630;6.270;5.983
Kasel-Golzig;Gemeinde;Dahme-Spreewald;803;794;746;685
Ketzin/Havel;Stadt;Havelland;6.416;6.471;6.322;6.412
Kleinmachnow;Gemeinde;Potsdam-Mittelmark;11.283;16.507;19.874;20.655
Kleßen-Görne;Gemeinde;Havelland;497;473;379;339
Kloster Lehnin;Gemeinde;Potsdam-Mittelmark;10.996;11.703;10.792;10.720
Kolkwitz;Gemeinde;Spree-Neiße;8.622;10.254;9.315;9.147
Königs Wusterhausen;Stadt;Dahme-Spreewald;29.447;31.909;33.706;35.765
Kotzen;Gemeinde;Havelland;650;642;586;585
Krausnick-Groß Wasserburg;Gemeinde;Dahme-Spreewald;628;618;617;600
Kremitzaue;Gemeinde;Elbe-Elster;1.238;1.021;883;809
Kremmen;Stadt;Oberhavel;6.568;7.231;7.122;7.238
Kroppen;Gemeinde;Oberspreewald-Lausitz;819;804;712;676
Kümmernitztal;Gemeinde;Prignitz;434;424;382;371
Küstriner Vorland;Gemeinde;Märkisch-Oderland;3.397;3.225;2.657;2.605
Kyritz;Stadt;Ostprignitz-Ruppin;11.442;10.721;9.314;9.100
Langewahl;Gemeinde;Oder-Spree;704;786;803;850
Lanz;Gemeinde;Prignitz;978;914;822;745
Lauchhammer;Stadt;Oberspreewald-Lausitz;22.948;20.276;16.069;15.084
Lawitz;Gemeinde;Oder-Spree;431;696;612;602
Lebus;Stadt;Märkisch-Oderland;2.702;3.362;3.217;3.146
Lebusa;Gemeinde;Elbe-Elster;1.003;935;829;789
Leegebruch;Gemeinde;Oberhavel;5.144;6.440;6.598;6.678
Legde/Quitzöbel;Gemeinde;Prignitz;859;751;634;619
Lenzen (Elbe);Stadt;Prignitz;3.008;2.766;2.334;2.219
Lenzerwische;Gemeinde;Prignitz;570;553;482;466
