Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Ahrensdorf;Siedlung;Teltow-Fläming;870
Ahrensfelde;Siedlung;Barnim;4.640
Alt Buchhorst;Siedlung;Oder-Spree;1.320
Altdöbern;Siedlung;Oberspreewald-Lausitz;2.350
Altenhof;Siedlung;Barnim;590
Altes Lager;Siedlung;Teltow-Fläming;1.610
Althüttendorf;Siedlung;Barnim;520
Altlandsberg;Siedlung;Märkisch-Oderland;2.240
Altlandsberg Nord;Siedlung;Märkisch-Oderland;500
Altranft;Siedlung;Märkisch-Oderland;850
Alt Ruppin;Siedlung;Ostprignitz-Ruppin;2.450
Angermünde;Siedlung;Uckermark;7.830
Annahütte;Siedlung;Oberspreewald-Lausitz;880
Arnsdorf;Siedlung;Oberspreewald-Lausitz;770
Bad Belzig;Siedlung;Potsdam-Mittelmark;7.290
Bad Freienwalde (Oder);Siedlung;Märkisch-Oderland;7.060
Bad Liebenwerda;Siedlung;Elbe-Elster;4.820
Bad Saarow;Siedlung;Oder-Spree;3.580
Bad Wilsnack;Siedlung;Prignitz;1.880
Bahrensdorf;Siedlung;Oder-Spree;780
Bardenitz;Siedlung;Potsdam-Mittelmark;550
Bärenklau;Siedlung;Oberhavel;1.060
Baruth/Mark;Siedlung;Teltow-Fläming;1.430
Beelitz;Siedlung;Potsdam-Mittelmark;5.040
Beerfelde;Siedlung;Oder-Spree;570
Beeskow;Siedlung;Oder-Spree;6.010
Beetz;Siedlung;Oberhavel;690
Bensdorf;Siedlung;Potsdam-Mittelmark;560
Berge;Siedlung;Havelland;560
Bergfelde;Siedlung;Oberhavel;5.440
Bergholz-Rehbrücke;Siedlung;Potsdam-Mittelmark;5.870
Berkenbrück;Siedlung;Oder-Spree;870
Berkholz;Siedlung;Uckermark;620
Bernau bei Berlin;Siedlung;Barnim;30.400
Bestensee;Siedlung;Dahme-Spreewald;5.430
Bieselheide;Siedlung;Oberhavel;1.460
Biesenthal;Siedlung;Barnim;4.680
Birkenwerder;Siedlung;Oberhavel;7.600
Blankenfelde-Mahlow;Siedlung;Teltow-Fläming;24.200
Blumberg;Siedlung;Barnim;1.460
Boblitz (Bobolce);Siedlung;Oberspreewald-Lausitz;780
Boitzenburg;Siedlung;Uckermark;970
Booßen;Siedlung;Frankfurt (Oder);1.360
Borgsdorf;Siedlung;Oberhavel;4.400
Borkheide;Siedlung;Potsdam-Mittelmark;1.740
Borkwalde;Siedlung;Potsdam-Mittelmark;1.380
Börnicke;Siedlung;Havelland;520
Bötzow;Siedlung;Oberhavel;2.890
Bralitz;Siedlung;Märkisch-Oderland;530
Brandenburg an der Havel;Siedlung;Brandenburg an der Havel;60.100
Branitz (Roge_c);Siedlung;Cottbus;1.370
Breddin;Siedlung;Ostprignitz-Ruppin;600
Bredereiche;Siedlung;Oberhavel;610
Bredow;Siedlung;Havelland;560
Breese;Siedlung;Prignitz;1.180
Brielow;Siedlung;Potsdam-Mittelmark;1.090
