Name;Status;Einwohner
;;Zensus
;;09.05.11
Barnim;Landkreis;172.164
Brandenburg an der Havel;Stadtkreis;71.569
Cottbus;Stadtkreis;99.984
Dahme-Spreewald;Landkreis;160.162
Elbe-Elster;Landkreis;110.189
Frankfurt (Oder);Stadtkreis;59.140
Havelland;Landkreis;152.457
Märkisch-Oderland;Landkreis;187.374
Oberhavel;Landkreis;200.805
Oberspreewald-Lausitz;Landkreis;117.943
Oder-Spree;Landkreis;178.177
Ostprignitz-Ruppin;Landkreis;100.242
Potsdam;Stadtkreis;156.021
Potsdam-Mittelmark;Landkreis;202.816
Prignitz;Landkreis;80.276
Spree-Neiße;Landkreis;122.524
Teltow-Fläming;Landkreis;159.255
Uckermark;Landkreis;124.682
Brandenburg;Bundesland;2.455.780
