Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Aach;Stadt;Konstanz;1.973;2.134;2.181;2.243
Aalen;Große Kreisstadt;Ostalbkreis;66.234;66.559;66.318;67.344
Abstatt;Gemeinde;Heilbronn;3.970;4.349;4.466;4.752
Abtsgmünd;Gemeinde;Ostalbkreis;7.038;7.279;7.306;7.293
Achberg;Gemeinde;Ravensburg;1.311;1.495;1.688;1.680
Achern;Große Kreisstadt;Ortenaukreis;22.658;24.119;24.523;25.018
Achstetten;Gemeinde;Biberach;3.519;3.834;4.176;4.501
Adelberg;Gemeinde;Göppingen;2.091;2.041;1.969;1.956
Adelmannsfelden;Gemeinde;Ostalbkreis;1.755;1.807;1.793;1.714
Adelsheim;Stadt;Neckar-Odenwald-Kreis;5.511;5.454;4.923;5.016
Affalterbach;Gemeinde;Ludwigsburg;4.524;4.577;4.481;4.451
Aglasterhausen;Gemeinde;Neckar-Odenwald-Kreis;4.374;4.733;4.829;4.819
Ahorn;Gemeinde;Main-Tauber-Kreis;2.313;2.304;2.214;2.186
Aichelberg;Gemeinde;Göppingen;1.069;1.213;1.252;1.300
Aichhalden;Gemeinde;Rottweil;4.081;4.171;4.038;4.053
Aichstetten;Gemeinde;Ravensburg;2.414;2.701;2.695;2.716
Aichtal;Stadt;Esslingen;9.178;9.627;9.545;10.124
Aichwald;Gemeinde;Esslingen;7.976;7.781;7.467;7.470
Aidlingen;Gemeinde;Böblingen;8.920;9.208;8.731;8.843
Aitern;Gemeinde;Lörrach;561;580;541;553
Aitrach;Gemeinde;Ravensburg;2.625;2.605;2.477;2.544
Albbruck;Gemeinde;Waldshut;7.177;7.473;7.205;7.296
Albershausen;Gemeinde;Göppingen;4.132;4.397;4.244;4.196
Albstadt;Große Kreisstadt;Zollernalbkreis;49.463;47.454;44.378;44.431
Aldingen;Gemeinde;Tuttlingen;6.638;7.337;7.364;7.516
Alfdorf;Gemeinde;Rems-Murr-Kreis;6.761;7.035;7.120;7.099
Allensbach;Gemeinde;Konstanz;6.819;7.121;6.919;7.088
Alleshausen;Gemeinde;Biberach;468;505;489;498
Allmannsweiler;Gemeinde;Biberach;302;329;307;301
Allmendingen;Gemeinde;Alb-Donau-Kreis;4.526;4.576;4.337;4.390
Allmersbach im Tal;Gemeinde;Rems-Murr-Kreis;4.413;4.710;4.593;4.739
Alpirsbach;Stadt;Freudenstadt;6.966;6.992;6.453;6.337
Altbach;Gemeinde;Esslingen;5.586;5.596;5.766;6.043
Altdorf;Gemeinde;Böblingen;3.038;4.259;4.542;4.651
Altdorf;Gemeinde;Esslingen;1.163;1.322;1.477;1.620
Altenriet;Gemeinde;Esslingen;1.542;1.770;1.904;1.904
Altensteig;Stadt;Calw;10.829;11.011;10.256;10.300
Altheim;Gemeinde;Alb-Donau-Kreis;533;557;593;599
Altheim;Gemeinde;Biberach;2.111;2.197;2.167;2.147
Altheim (Alb);Gemeinde;Alb-Donau-Kreis;1.642;1.754;1.734;1.709
Althengstett;Gemeinde;Calw;7.533;7.939;7.774;7.867
Althütte;Gemeinde;Rems-Murr-Kreis;3.823;4.083;4.129;4.092
Altlußheim;Gemeinde;Rhein-Neckar-Kreis;5.346;5.126;5.333;5.708
Altshausen;Gemeinde;Ravensburg;4.526;4.548;4.037;4.095
Ammerbuch;Gemeinde;Tübingen;10.797;11.259;11.125;11.264
Amstetten;Gemeinde;Alb-Donau-Kreis;3.952;3.998;3.883;3.978
Amtzell;Gemeinde;Ravensburg;3.203;3.407;3.908;4.155
Angelbachtal;Gemeinde;Rhein-Neckar-Kreis;4.427;4.842;4.848;4.929
Appenweier;Gemeinde;Ortenaukreis;9.348;9.733;9.733;10.068
Argenbühl;Gemeinde;Ravensburg;5.618;5.868;6.036;6.240
Aspach;Gemeinde;Rems-Murr-Kreis;7.765;8.155;8.005;8.035
Asperg;Stadt;Ludwigsburg;12.065;12.265;12.904;13.315
Assamstadt;Gemeinde;Main-Tauber-Kreis;2.076;2.127;2.092;2.246
Asselfingen;Gemeinde;Alb-Donau-Kreis;921;971;1.002;1.004
Attenweiler;Gemeinde;Biberach;1.522;1.641;1.772;1.906
Au;Gemeinde;Breisgau-Hochschwarzwald;1.174;1.279;1.398;1.402
Au am Rhein;Gemeinde;Rastatt;3.108;3.324;3.287;3.295
Auenwald;Gemeinde;Rems-Murr-Kreis;6.324;6.894;6.853;6.780
Auggen;Gemeinde;Breisgau-Hochschwarzwald;2.132;2.368;2.523;2.681
Aulendorf;Stadt;Ravensburg;8.777;9.558;9.537;9.988
Backnang;Große Kreisstadt;Rems-Murr-Kreis;33.882;34.978;34.250;36.266
Bad Bellingen;Gemeinde;Lörrach;3.492;3.836;3.845;4.218
Bad Boll;Gemeinde;Göppingen;5.093;5.187;5.034;5.110
Bad Buchau;Stadt;Biberach;4.145;4.077;4.036;4.033
Bad Ditzenbach;Gemeinde;Göppingen;3.555;3.691;3.545;3.652
Bad Dürrheim;Stadt;Schwarzwald-Baar-Kreis;11.549;12.320;12.285;12.896
Baden-Baden;Stadtkreis;Baden-Baden;52.745;53.084;52.314;54.160
Badenweiler;Gemeinde;Breisgau-Hochschwarzwald;3.779;3.824;3.772;4.165
Bad Friedrichshall;Stadt;Heilbronn;15.905;18.086;18.142;19.019
Bad Herrenalb;Stadt;Calw;7.267;7.350;7.143;7.641
Bad Krozingen;Stadt;Breisgau-Hochschwarzwald;13.907;15.230;17.812;18.692
Bad Liebenzell;Stadt;Calw;9.049;9.515;8.684;9.298
Bad Mergentheim;Große Kreisstadt;Main-Tauber-Kreis;22.568;22.196;22.042;23.064
Bad Peterstal-Griesbach;Gemeinde;Ortenaukreis;3.148;2.922;2.652;2.745
Bad Rappenau;Große Kreisstadt;Heilbronn;18.562;20.210;20.017;20.510
Bad Rippoldsau-Schapbach;Gemeinde;Freudenstadt;2.447;2.332;2.232;2.121
Bad Säckingen;Stadt;Waldshut;15.751;16.478;16.208;17.036
Bad Saulgau;Stadt;Sigmaringen;17.072;17.748;17.040;17.286
Bad Schönborn;Gemeinde;Karlsruhe;10.317;11.562;12.154;12.896
Bad Schussenried;Stadt;Biberach;8.092;8.334;8.318;8.537
Bad Teinach-Zavelstein;Stadt;Calw;2.785;2.984;2.965;3.073
Bad Überkingen;Gemeinde;Göppingen;3.790;3.966;3.822;3.793
Bad Urach;Stadt;Reutlingen;12.511;12.726;11.750;12.143
Bad Waldsee;Stadt;Ravensburg;18.367;19.243;19.386;20.011
Bad Wildbad;Stadt;Calw;11.667;11.299;9.632;9.876
Bad Wimpfen;Stadt;Heilbronn;6.670;6.758;6.753;6.971
Bad Wurzach;Stadt;Ravensburg;13.952;14.206;14.201;14.505
Bahlingen am Kaiserstuhl;Gemeinde;Emmendingen;3.476;3.662;3.926;4.275
Baienfurt;Gemeinde;Ravensburg;6.883;7.191;7.096;7.138
Baiersbronn;Gemeinde;Freudenstadt;16.646;16.465;14.578;14.667
Baindt;Gemeinde;Ravensburg;4.551;4.673;4.872;5.088
Balgheim;Gemeinde;Tuttlingen;917;1.022;1.145;1.194
Balingen;Große Kreisstadt;Zollernalbkreis;33.624;33.939;33.318;33.640
Ballendorf;Gemeinde;Alb-Donau-Kreis;635;660;656;671
Ballrechten-Dottingen;Gemeinde;Breisgau-Hochschwarzwald;1.971;2.145;2.301;2.379
Baltmannsweiler;Gemeinde;Esslingen;5.425;5.585;5.600;5.646
Balzheim;Gemeinde;Alb-Donau-Kreis;1.825;2.000;1.983;2.026
Bammental;Gemeinde;Rhein-Neckar-Kreis;6.397;6.559;6.351;6.426
Bärenthal;Gemeinde;Tuttlingen;449;434;455;476
Bartholomä;Gemeinde;Ostalbkreis;2.036;2.152;2.050;2.033
Beilstein;Stadt;Heilbronn;6.265;6.092;6.100;6.178
Beimerstetten;Gemeinde;Alb-Donau-Kreis;2.307;2.460;2.532;2.616
Bempflingen;Gemeinde;Esslingen;3.146;3.255;3.390;3.474
Benningen am Neckar;Gemeinde;Ludwigsburg;5.278;5.450;5.880;6.212
Berg;Gemeinde;Ravensburg;3.649;3.790;4.093;4.159
Bergatreute;Gemeinde;Ravensburg;2.876;3.085;3.168;3.108
Berghaupten;Gemeinde;Ortenaukreis;2.334;2.390;2.367;2.415
Berghülen;Gemeinde;Alb-Donau-Kreis;1.902;1.958;1.921;1.900
Berglen;Gemeinde;Rems-Murr-Kreis;5.909;6.077;5.923;6.136
Berkheim;Gemeinde;Biberach;2.492;2.543;2.643;2.735
Bermatingen;Gemeinde;Bodenseekreis;3.510;3.709;3.821;3.987
Bernau im Schwarzwald;Gemeinde;Waldshut;1.972;1.989;1.883;1.976
Bernstadt;Gemeinde;Alb-Donau-Kreis;1.807;1.939;2.087;2.153
Besigheim;Stadt;Ludwigsburg;10.623;11.331;11.733;12.018
Betzenweiler;Gemeinde;Biberach;655;720;722;742
Beuren;Gemeinde;Esslingen;3.449;3.362;3.341;3.549
Beuron;Gemeinde;Sigmaringen;819;731;700;664
Biberach;Gemeinde;Ortenaukreis;3.173;3.212;3.486;3.601
Biberach an der Riß;Große Kreisstadt;Biberach;30.862;31.866;30.906;32.233
Biederbach;Gemeinde;Emmendingen;1.590;1.735;1.731;1.763
Bietigheim;Gemeinde;Rastatt;5.612;5.884;6.073;6.324
Bietigheim-Bissingen;Große Kreisstadt;Ludwigsburg;40.115;41.078;41.539;42.968
Billigheim;Gemeinde;Neckar-Odenwald-Kreis;5.748;5.913;5.728;5.900
Binau;Gemeinde;Neckar-Odenwald-Kreis;1.308;1.319;1.366;1.370
Bingen;Gemeinde;Sigmaringen;2.820;2.921;2.772;2.713
Binzen;Gemeinde;Lörrach;2.488;2.545;2.901;2.985
Birenbach;Gemeinde;Göppingen;1.876;1.924;1.907;1.908
Birkenfeld;Gemeinde;Enzkreis;9.916;10.346;10.196;10.224
Bischweier;Gemeinde;Rastatt;2.699;3.072;2.998;3.031
Bisingen;Gemeinde;Zollernalbkreis;8.980;9.157;9.115;9.304
Bissingen an der Teck;Gemeinde;Esslingen;3.476;3.680;3.412;3.481
Bitz;Gemeinde;Zollernalbkreis;3.827;3.756;3.670;3.624
Blaubeuren;Stadt;Alb-Donau-Kreis;11.898;11.945;11.481;12.087
Blaufelden;Gemeinde;Schwäbisch Hall;5.203;5.363;5.151;5.217
Blaustein;Stadt;Alb-Donau-Kreis;14.611;14.785;14.879;15.643
Blumberg;Stadt;Schwarzwald-Baar-Kreis;10.695;10.667;9.973;9.975
Böbingen an der Rems;Gemeinde;Ostalbkreis;4.323;4.597;4.566;4.513
Böblingen;Große Kreisstadt;Böblingen;46.516;45.940;44.859;48.696
Bodelshausen;Gemeinde;Tübingen;5.613;5.853;5.607;5.767
Bodman-Ludwigshafen;Gemeinde;Konstanz;3.956;3.976;4.248;4.642
Bodnegg;Gemeinde;Ravensburg;2.861;3.068;3.115;3.122
Böhmenkirch;Gemeinde;Göppingen;5.427;5.670;5.462;5.512
Böllen;Gemeinde;Lörrach;105;107;100;96
Bollschweil;Gemeinde;Breisgau-Hochschwarzwald;2.279;2.344;2.231;2.337
Boms;Gemeinde;Ravensburg;498;569;621;627
Bondorf;Gemeinde;Böblingen;4.368;5.387;5.716;5.854
Bonndorf im Schwarzwald;Stadt;Waldshut;6.494;6.789;6.776;6.836
Bönnigheim;Stadt;Ludwigsburg;6.815;7.405;7.123;7.593
Bopfingen;Stadt;Ostalbkreis;12.513;12.591;11.944;11.822
Börslingen;Gemeinde;Alb-Donau-Kreis;172;162;176;171
Börtlingen;Gemeinde;Göppingen;1.766;1.765;1.740;1.699
Bösingen;Gemeinde;Rottweil;3.264;3.446;3.411;3.350
Böttingen;Gemeinde;Tuttlingen;1.378;1.461;1.474;1.415
Bötzingen;Gemeinde;Breisgau-Hochschwarzwald;5.052;5.137;5.329;5.325
Boxberg;Stadt;Main-Tauber-Kreis;7.303;7.322;6.728;6.630
Brackenheim;Stadt;Heilbronn;13.272;14.677;14.960;15.727
Bräunlingen;Stadt;Schwarzwald-Baar-Kreis;5.957;6.196;5.915;5.752
Braunsbach;Gemeinde;Schwäbisch Hall;2.430;2.431;2.420;2.518
Breisach am Rhein;Stadt;Breisgau-Hochschwarzwald;11.852;13.304;13.992;15.315
Breitingen;Gemeinde;Alb-Donau-Kreis;242;240;262;292
Breitnau;Gemeinde;Breisgau-Hochschwarzwald;1.819;1.876;1.684;1.729
Bretten;Große Kreisstadt;Karlsruhe;26.041;27.509;27.509;28.826
Bretzfeld;Gemeinde;Hohenlohekreis;11.128;11.986;12.009;12.367
Brigachtal;Gemeinde;Schwarzwald-Baar-Kreis;5.194;5.354;5.027;5.013
Bruchsal;Große Kreisstadt;Karlsruhe;40.413;42.102;42.124;44.104
Brühl;Gemeinde;Rhein-Neckar-Kreis;14.077;14.118;13.805;13.941
Bubsheim;Gemeinde;Tuttlingen;913;1.089;1.157;1.301
Buchenbach;Gemeinde;Breisgau-Hochschwarzwald;3.142;3.217;3.168;3.081
Buchen (Odenwald);Stadt;Neckar-Odenwald-Kreis;18.091;18.758;17.752;17.704
Buchheim;Gemeinde;Tuttlingen;630;643;656;673
Buggingen;Gemeinde;Breisgau-Hochschwarzwald;3.643;3.776;3.825;4.091
Bühl;Große Kreisstadt;Rastatt;27.088;28.771;28.439;28.882
Bühlertal;Gemeinde;Rastatt;8.392;8.123;7.983;8.085
Bühlertann;Gemeinde;Schwäbisch Hall;2.736;3.073;3.034;2.995
Bühlerzell;Gemeinde;Schwäbisch Hall;1.911;2.002;2.101;2.016
Burgrieden;Gemeinde;Biberach;3.280;3.456;3.623;3.740
Burgstetten;Gemeinde;Rems-Murr-Kreis;3.234;3.402;3.413;3.635
Burladingen;Stadt;Zollernalbkreis;13.112;13.213;12.307;12.157
Büsingen am Hochrhein;Gemeinde;Konstanz;1.482;1.497;1.341;1.358
Calw;Große Kreisstadt;Calw;23.709;23.574;22.034;23.232
Cleebronn;Gemeinde;Heilbronn;2.718;2.738;2.670;2.858
