Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Aach;Siedlung;Konstanz;2.180
Aach-Linz;Siedlung;Sigmaringen;1.100
Aalen;Siedlung;Ostalbkreis;51.500
Aasen;Siedlung;Schwarzwald-Baar-Kreis;1.440
Ablach;Siedlung;Sigmaringen;670
Abstatt;Siedlung;Heilbronn;3.630
Abtsgmünd;Siedlung;Ostalbkreis;3.260
Achern;Siedlung;Ortenaukreis;15.300
Achkarren;Siedlung;Breisgau-Hochschwarzwald;700
Achstetten;Siedlung;Biberach;1.890
Adelberg;Siedlung;Göppingen;1.780
Adelhausen;Siedlung;Lörrach;710
Adelmannsfelden;Siedlung;Ostalbkreis;1.410
Adelsheim;Siedlung;Neckar-Odenwald-Kreis;3.280
Adelshofen;Siedlung;Heilbronn;1.390
Adersbach;Siedlung;Rhein-Neckar-Kreis;580
Adolzfurt - Scheppach;Siedlung;Hohenlohekreis;1.850
Adrazhofen;Siedlung;Ravensburg;590
Affalterbach;Siedlung;Ludwigsburg;3.310
Affstätt;Siedlung;Böblingen;1.570
Aglasterhausen;Siedlung;Neckar-Odenwald-Kreis;3.190
Ahausen;Siedlung;Bodenseekreis;1.130
Ahldorf;Siedlung;Freudenstadt;820
Aich;Siedlung;Esslingen;2.520
Aichelberg;Siedlung;Göppingen;1.230
Aichelberg;Siedlung;Esslingen;2.300
Aichhalden;Siedlung;Rottweil;2.220
Aichschieß;Siedlung;Esslingen;1.560
Aichstetten;Siedlung;Ravensburg;1.940
Aidlingen;Siedlung;Böblingen;4.990
Aitrach;Siedlung;Ravensburg;1.890
Aixheim;Siedlung;Tuttlingen;1.250
Albbruck;Siedlung;Waldshut;3.830
Albeck;Siedlung;Alb-Donau-Kreis;1.220
Albershausen;Siedlung;Göppingen;4.230
Alberweiler;Siedlung;Biberach;690
Aldingen;Siedlung;Tuttlingen;6.020
Aldingen;Siedlung;Ludwigsburg;8.110
Alfdorf;Siedlung;Rems-Murr-Kreis;3.320
Allensbach;Siedlung;Konstanz;4.850
Allfeld;Siedlung;Neckar-Odenwald-Kreis;1.030
Allmannsweier;Siedlung;Ortenaukreis;1.510
Allmendingen;Siedlung;Alb-Donau-Kreis;3.060
Allmersbach am Weinberg;Siedlung;Rems-Murr-Kreis;870
Allmersbach im Tal;Siedlung;Rems-Murr-Kreis;4.590
Alm-Siedlung;Siedlung;Rems-Murr-Kreis;920
Alpirsbach;Siedlung;Freudenstadt;3.720
Altbach;Siedlung;Esslingen;5.750
Altbulach;Siedlung;Calw;800
Altburg;Siedlung;Calw;1.860
Altdorf;Siedlung;Böblingen;4.520
Altdorf;Siedlung;Esslingen;1.480
Altenbach;Siedlung;Rhein-Neckar-Kreis;1.870
Altenburg;Siedlung;Waldshut;1.000
Altenburg;Siedlung;Reutlingen;1.790
Altenheim;Siedlung;Ortenaukreis;3.750
Altenriet;Siedlung;Esslingen;1.900
Altensteig;Siedlung;Calw;5.070
