Name;Status;Einwohner
;;Zensus
;;09.05.11
Alb-Donau-Kreis;Landkreis;186.192
Baden-Baden;Stadtkreis;52.314
Biberach;Landkreis;187.444
Böblingen;Landkreis;363.950
Bodenseekreis;Landkreis;204.083
Breisgau-Hochschwarzwald;Landkreis;247.281
Calw;Landkreis;151.048
Emmendingen;Landkreis;156.453
Enzkreis;Landkreis;191.354
Esslingen;Landkreis;502.892
Freiburg im Breisgau;Stadtkreis;209.628
Freudenstadt;Landkreis;115.973
Göppingen;Landkreis;247.408
Heidelberg;Stadtkreis;146.751
Heidenheim;Landkreis;127.816
Heilbronn;Landkreis;322.811
Heilbronn Stadt;Stadtkreis;116.059
Hohenlohekreis;Landkreis;107.279
Karlsruhe;Landkreis;424.122
Karlsruhe Stadt;Stadtkreis;289.173
Konstanz;Landkreis;266.964
Lörrach;Landkreis;219.002
Ludwigsburg;Landkreis;509.871
Main-Tauber-Kreis;Landkreis;130.624
Mannheim;Stadtkreis;290.117
Neckar-Odenwald-Kreis;Landkreis;142.810
Ortenaukreis;Landkreis;410.202
Ostalbkreis;Landkreis;306.530
Pforzheim;Stadtkreis;114.411
Rastatt;Landkreis;222.324
Ravensburg;Landkreis;269.595
Rems-Murr-Kreis;Landkreis;406.874
Reutlingen;Landkreis;273.352
Rhein-Neckar-Kreis;Landkreis;524.040
Rottweil;Landkreis;136.479
Schwäbisch Hall;Landkreis;186.355
Schwarzwald-Baar-Kreis;Landkreis;203.967
Sigmaringen;Landkreis;127.601
Stuttgart;Stadtkreis;585.890
Tübingen;Landkreis;211.951
Tuttlingen;Landkreis;132.214
Ulm;Stadtkreis;116.761
Waldshut;Landkreis;163.135
Zollernalbkreis;Landkreis;185.560
Baden-Württemberg;Bundesland;10.486.660
