Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Abterode;Siedlung;Werra-Meißner-Kreis;830
Achenbach;Siedlung;Marburg-Biedenkopf;520
Adorf;Siedlung;Waldeck-Frankenberg;1.520
Affoldern;Siedlung;Waldeck-Frankenberg;510
Affolterbach;Siedlung;Bergstraße;1.120
Ahausen;Siedlung;Limburg-Weilburg;620
Ahl;Siedlung;Main-Kinzig-Kreis;580
Ahlbach;Siedlung;Limburg-Weilburg;1.200
Albach;Siedlung;Gießen;1.120
Albshausen;Siedlung;Lahn-Dill-Kreis;1.920
Allendorf (Allendorf/Lahn);Siedlung;Gießen;1.770
Allendorf;Siedlung;Lahn-Dill-Kreis;2.000
Allendorf;Siedlung;Lahn-Dill-Kreis;2.290
Allendorf;Siedlung;Limburg-Weilburg;510
Allendorf;Siedlung;Marburg-Biedenkopf;640
Allendorf (Allendorf an der Landsburg);Siedlung;Schwalm-Eder-Kreis;540
Allendorf (Eder);Siedlung;Waldeck-Frankenberg;4.900
Allendorf (Lumda);Siedlung;Gießen;2.500
Allertshausen;Siedlung;Gießen;600
Allertshofen;Siedlung;Darmstadt-Dieburg;580
Allmendfeld;Siedlung;Groß-Gerau;520
Alsbach;Siedlung;Darmstadt-Dieburg;4.370
Alsfeld;Siedlung;Vogelsbergkreis;8.820
Altenburg;Siedlung;Vogelsbergkreis;1.200
Alten-Buseck;Siedlung;Gießen;3.150
Altengronau;Siedlung;Main-Kinzig-Kreis;1.180
Altenhain;Siedlung;Main-Taunus-Kreis;1.530
Altenhaßlau;Siedlung;Main-Kinzig-Kreis;3.650
Altenhasungen;Siedlung;Kassel;630
Altenkirchen;Siedlung;Lahn-Dill-Kreis;750
Altenkirchen;Siedlung;Lahn-Dill-Kreis;690
Altenlotheim;Siedlung;Waldeck-Frankenberg;630
Altenmittlau;Siedlung;Main-Kinzig-Kreis;2.340
Altenstadt;Siedlung;Wetteraukreis;3.310
Altenstädt;Siedlung;Kassel;1.110
Altenvers;Siedlung;Marburg-Biedenkopf;570
Altheim;Siedlung;Darmstadt-Dieburg;2.500
Altweilnau;Siedlung;Hochtaunuskreis;610
Altwiedermus;Siedlung;Main-Kinzig-Kreis;1.200
Amönau;Siedlung;Marburg-Biedenkopf;800
Amöneburg;Siedlung;Marburg-Biedenkopf;1.260
Angenrod;Siedlung;Vogelsbergkreis;520
Angersbach;Siedlung;Vogelsbergkreis;2.550
Annerod;Siedlung;Gießen;2.500
Anzefahr;Siedlung;Marburg-Biedenkopf;770
Arborn;Siedlung;Lahn-Dill-Kreis;520
Arfurt;Siedlung;Limburg-Weilburg;900
Arzell;Siedlung;Fulda;730
Asbach;Siedlung;Darmstadt-Dieburg;650
Asbach;Siedlung;Hersfeld-Rotenburg;1.200
Ascherode;Siedlung;Schwalm-Eder-Kreis;690
Assenheim;Siedlung;Wetteraukreis;3.820
Aßlar;Siedlung;Lahn-Dill-Kreis;7.850
Assmannshausen;Siedlung;Rheingau-Taunus-Kreis;940
