Name;Status;Einwohner
;;Zensus
;;09.05.11
Bergstra§e;Landkreis;260.741
Darmstadt;Stadtkreis;143.499
Darmstadt-Dieburg;Landkreis;282.601
Frankfurt am Main;Stadtkreis;667.925
Fulda;Landkreis;216.179
Gie§en;Landkreis;251.238
Gro§-Gerau;Landkreis;251.050
Hersfeld-Rotenburg;Landkreis;120.694
Hochtaunuskreis;Landkreis;226.130
Kassel;Landkreis;234.933
Kassel Stadt;Stadtkreis;190.765
Lahn-Dill-Kreis;Landkreis;253.441
Limburg-Weilburg;Landkreis;170.696
Main-Kinzig-Kreis;Landkreis;400.862
Main-Taunus-Kreis;Landkreis;224.059
Marburg-Biedenkopf;Landkreis;241.226
Odenwaldkreis;Landkreis;96.613
Offenbach;Landkreis;332.327
Offenbach am Main;Stadtkreis;113.443
Rheingau-Taunus-Kreis;Landkreis;180.226
Schwalm-Eder-Kreis;Landkreis;181.851
Vogelsbergkreis;Landkreis;108.509
Waldeck-Frankenberg;Landkreis;158.990
Werra-Mei§ner-Kreis;Landkreis;102.124
Wetteraukreis;Landkreis;292.573
Wiesbaden;Stadtkreis;269.121
Hessen;Bundesland;5.971.816
