Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Admannshagen-Bargeshagen;Gemeinde;Landkreis Rostock;1.597;2.844;2.827;2.851
Ahlbeck;Gemeinde;Vorpommern-Greifswald;750;836;697;639
Ahrenshagen-Daskow;Gemeinde;Vorpommern-Rügen;2.195;2.262;2.068;2.124
Ahrenshoop;Gemeinde;Vorpommern-Rügen;848;818;660;638
Alt Bukow;Gemeinde;Landkreis Rostock;569;587;504;444
Altefähr;Gemeinde;Vorpommern-Rügen;1.118;1.360;1.196;1.199
Altenhagen;Gemeinde;Mecklenburgische Seenplatte;346;384;336;298
Altenhof;Gemeinde;Mecklenburgische Seenplatte;445;440;367;360
Altenkirchen;Gemeinde;Vorpommern-Rügen;1.289;1.188;998;953
Altenpleen;Gemeinde;Vorpommern-Rügen;942;932;973;983
Altentreptow;Stadt;Mecklenburgische Seenplatte;7.284;6.771;5.663;5.382
Altkalen;Gemeinde;Landkreis Rostock;900;905;834;780
Alt Krenzlin;Gemeinde;Ludwigslust-Parchim;831;892;743;753
Alt Meteln;Gemeinde;Nordwestmecklenburg;1.165;1.403;1.234;1.175
Alt Schwerin;Gemeinde;Mecklenburgische Seenplatte;511;563;552;540
Alt Sührkow;Gemeinde;Landkreis Rostock;515;491;409;380
Alt Tellin;Gemeinde;Vorpommern-Greifswald;482;496;432;407
Altwarp;Gemeinde;Vorpommern-Greifswald;771;727;527;481
Altwigshagen;Gemeinde;Vorpommern-Greifswald;631;613;466;412
Alt Zachun;Gemeinde;Ludwigslust-Parchim;330;398;370;358
Am Salzhaff;Gemeinde;Landkreis Rostock;525;513;507;501
Ankershagen;Gemeinde;Mecklenburgische Seenplatte;848;766;605;555
Anklam;Stadt;Vorpommern-Greifswald;17.427;15.855;13.096;12.712
Baabe;Gemeinde;Vorpommern-Rügen;776;884;858;883
Bad Doberan;Stadt;Landkreis Rostock;11.321;11.444;11.499;12.107
Bad Kleinen;Gemeinde;Nordwestmecklenburg;3.560;3.828;3.650;3.591
Bad Sülze;Stadt;Vorpommern-Rügen;2.392;2.062;1.741;1.738
Balow;Gemeinde;Ludwigslust-Parchim;343;358;343;325
Bandelin;Gemeinde;Vorpommern-Greifswald;979;801;554;528
Bandenitz;Gemeinde;Ludwigslust-Parchim;397;519;461;469
Banzkow;Gemeinde;Ludwigslust-Parchim;2.458;2.915;2.771;2.746
Bargischow;Gemeinde;Vorpommern-Greifswald;420;417;348;332
Barkhagen;Gemeinde;Ludwigslust-Parchim;742;698;634;606
Barnekow;Gemeinde;Nordwestmecklenburg;587;697;628;591
Barnin;Gemeinde;Ludwigslust-Parchim;393;441;451;489
Bartenshagen-Parkentin;Gemeinde;Landkreis Rostock;944;1.162;1.225;1.286
Barth;Stadt;Vorpommern-Rügen;10.429;9.719;8.684;8.696
Bartow;Gemeinde;Mecklenburgische Seenplatte;695;640;506;489
Basedow;Gemeinde;Mecklenburgische Seenplatte;750;831;725;708
Bastorf;Gemeinde;Landkreis Rostock;1.038;1.147;1.009;1.073
Baumgarten;Gemeinde;Landkreis Rostock;931;976;864;802
Beggerow;Gemeinde;Mecklenburgische Seenplatte;687;679;558;511
Behrenhoff;Gemeinde;Vorpommern-Greifswald;591;775;764;766
Behren-Lübchin;Gemeinde;Landkreis Rostock;1.283;1.215;987;945
Belsch;Gemeinde;Ludwigslust-Parchim;271;278;225;226
Bengerstorf;Gemeinde;Ludwigslust-Parchim;504;578;564;555
Benitz;Gemeinde;Landkreis Rostock;258;399;375;371
Bentwisch;Gemeinde;Landkreis Rostock;1.459;2.291;2.430;2.396
Bentzin;Gemeinde;Vorpommern-Greifswald;1.344;1.081;830;830
Benz;Gemeinde;Nordwestmecklenburg;719;647;610;638
Benz;Gemeinde;Vorpommern-Greifswald;947;1.002;991;999
Bergen auf Rügen;Stadt;Vorpommern-Rügen;17.548;15.740;13.926;13.484
Bergholz;Gemeinde;Vorpommern-Greifswald;433;426;374;342
Bernitt;Gemeinde;Landkreis Rostock;1.887;1.902;1.673;1.591
Bernstorf;Gemeinde;Nordwestmecklenburg;329;341;341;325
Beseritz;Gemeinde;Mecklenburgische Seenplatte;148;167;123;119
Besitz;Gemeinde;Ludwigslust-Parchim;510;561;455;440
Bibow;Gemeinde;Nordwestmecklenburg;329;310;385;390
Biendorf;Gemeinde;Landkreis Rostock;1.243;1.266;1.191;1.171
Binz;Gemeinde;Vorpommern-Rügen;6.169;5.548;5.199;5.365
Blankenberg;Gemeinde;Ludwigslust-Parchim;496;499;422;387
Blankenhagen;Gemeinde;Landkreis Rostock;1.001;1.182;1.055;1.020
Blankenhof;Gemeinde;Mecklenburgische Seenplatte;662;755;688;725
Blankensee;Gemeinde;Mecklenburgische Seenplatte;1.516;1.657;1.706;1.689
Blankensee;Gemeinde;Vorpommern-Greifswald;732;616;574;572
Blesewitz;Gemeinde;Vorpommern-Greifswald;326;288;257;230
Blievenstorf;Gemeinde;Ludwigslust-Parchim;536;509;451;443
Blowatz;Gemeinde;Nordwestmecklenburg;1.023;1.276;1.109;1.112
Blumenholz;Gemeinde;Mecklenburgische Seenplatte;791;866;800;748
Bobitz;Gemeinde;Nordwestmecklenburg;2.795;2.784;2.510;2.516
Bobzin;Gemeinde;Ludwigslust-Parchim;289;292;275;256
Boddin;Gemeinde;Landkreis Rostock;474;449;320;311
Boiensdorf;Gemeinde;Nordwestmecklenburg;521;538;514;526
Boizenburg/Elbe;Stadt;Ludwigslust-Parchim;10.913;10.684;10.201;10.379
Boldekow;Gemeinde;Vorpommern-Greifswald;937;914;706;668
Bollewick;Gemeinde;Mecklenburgische Seenplatte;708;706;652;649
Boltenhagen;Gemeinde;Nordwestmecklenburg;2.370;2.523;2.454;2.487
Boock;Gemeinde;Vorpommern-Greifswald;613;681;605;581
Börgerende-Rethwisch;Gemeinde;Landkreis Rostock;1.045;1.670;1.663;1.670
Borkow;Gemeinde;Ludwigslust-Parchim;583;570;483;424
Born a. Darß;Gemeinde;Vorpommern-Rügen;1.212;1.189;1.154;1.161
Borrentin;Gemeinde;Mecklenburgische Seenplatte;1.295;1.158;890;827
Brahlstorf;Gemeinde;Ludwigslust-Parchim;837;861;728;712
Bredenfelde;Gemeinde;Mecklenburgische Seenplatte;184;201;199;195
Breege;Gemeinde;Vorpommern-Rügen;850;806;664;626
Breesen;Gemeinde;Mecklenburgische Seenplatte;638;627;565;518
Breest;Gemeinde;Mecklenburgische Seenplatte;245;199;173;143
Brenz;Gemeinde;Ludwigslust-Parchim;624;612;520;532
Bresegard bei Eldena;Gemeinde;Ludwigslust-Parchim;217;244;228;200
Bresegard bei Picher;Gemeinde;Ludwigslust-Parchim;384;376;308;288
Brietzig;Gemeinde;Vorpommern-Greifswald;264;233;194;198
Briggow;Gemeinde;Mecklenburgische Seenplatte;422;405;337;305
Bröbberow;Gemeinde;Landkreis Rostock;398;514;491;551
Broderstorf;Gemeinde;Landkreis Rostock;2.316;3.430;3.629;3.796
Brüel;Stadt;Ludwigslust-Parchim;3.301;3.221;2.788;2.605
Brunn;Gemeinde;Mecklenburgische Seenplatte;1.231;1.294;1.097;1.046
Brunow;Gemeinde;Ludwigslust-Parchim;441;411;344;317
Brünzow;Gemeinde;Vorpommern-Greifswald;714;740;626;621
Brüsewitz;Gemeinde;Nordwestmecklenburg;1.977;2.411;2.102;2.030
Buchholz;Gemeinde;Mecklenburgische Seenplatte;185;172;144;148
Bugewitz;Gemeinde;Vorpommern-Greifswald;359;349;288;279
Buggenhagen;Gemeinde;Vorpommern-Greifswald;284;298;237;211
Bülow;Gemeinde;Ludwigslust-Parchim;359;389;365;341
Burg Stargard;Stadt;Mecklenburgische Seenplatte;4.897;5.538;5.305;5.496
Burow;Gemeinde;Mecklenburgische Seenplatte;1.373;1.255;1.036;1.038
Buschvitz;Gemeinde;Vorpommern-Rügen;210;257;249;241
Bütow;Gemeinde;Mecklenburgische Seenplatte;567;512;470;465
Bützow;Stadt;Landkreis Rostock;9.732;8.548;7.737;7.848
Butzow;Gemeinde;Vorpommern-Greifswald;406;497;452;444
Cambs;Gemeinde;Ludwigslust-Parchim;572;720;636;621
Cammin;Gemeinde;Landkreis Rostock;994;901;781;737
Carinerland;Gemeinde;Landkreis Rostock;1.313;1.276;977;968
Carlow;Gemeinde;Nordwestmecklenburg;1.149;1.262;1.184;1.212
Carpin;Gemeinde;Mecklenburgische Seenplatte;...;1.315;893;904
Cölpin;Gemeinde;Mecklenburgische Seenplatte;1.173;1.113;780;783
Cramonshagen;Gemeinde;Nordwestmecklenburg;521;582;512;476
Crivitz;Stadt;Ludwigslust-Parchim;5.177;5.501;5.058;4.887
Dabel;Gemeinde;Ludwigslust-Parchim;1.822;1.775;1.477;1.442
Daberkow;Gemeinde;Vorpommern-Greifswald;376;416;363;356
Dahmen;Gemeinde;Landkreis Rostock;765;654;511;480
Dalberg-Wendelstorf;Gemeinde;Nordwestmecklenburg;603;589;534;530
Dalkendorf;Gemeinde;Landkreis Rostock;369;325;276;237
Dambeck;Gemeinde;Ludwigslust-Parchim;425;377;294;273
Damshagen;Gemeinde;Nordwestmecklenburg;1.562;1.558;1.250;1.267
Dargelin;Gemeinde;Vorpommern-Greifswald;353;408;379;347
Dargen;Gemeinde;Vorpommern-Greifswald;543;573;538;561
Dargun;Stadt;Mecklenburgische Seenplatte;5.819;5.540;4.541;4.436
Dassow;Stadt;Nordwestmecklenburg;3.769;3.980;3.989;4.034
Datzetal;Gemeinde;Mecklenburgische Seenplatte;964;1.053;897;868
Dechow;Gemeinde;Nordwestmecklenburg;451;344;212;199
Demen;Gemeinde;Ludwigslust-Parchim;1.918;1.313;988;816
Demmin;Stadt;Mecklenburgische Seenplatte;14.934;13.792;11.717;11.269
Dersekow;Gemeinde;Vorpommern-Greifswald;1.050;1.121;1.055;1.048
Dersenow;Gemeinde;Ludwigslust-Parchim;480;518;450;476
Dettmannsdorf;Gemeinde;Vorpommern-Rügen;1.340;1.270;986;986
Deyelsdorf;Gemeinde;Vorpommern-Rügen;662;607;504;493
Diedrichshagen;Gemeinde;Vorpommern-Greifswald;243;392;494;543
Diekhof;Gemeinde;Landkreis Rostock;1.208;1.094;929;975
Dierhagen;Gemeinde;Vorpommern-Rügen;1.625;1.692;1.523;1.497
Divitz-Spoldershagen;Gemeinde;Vorpommern-Rügen;499;494;475;457
Dobbertin;Gemeinde;Ludwigslust-Parchim;1.668;1.449;1.157;1.142
Dobbin-Linstow;Gemeinde;Landkreis Rostock;601;613;513;490
Dobin am See;Gemeinde;Ludwigslust-Parchim;1.469;2.000;1.906;1.924
Dolgen am See;Gemeinde;Landkreis Rostock;647;802;639;724
Dömitz;Stadt;Ludwigslust-Parchim;3.797;3.543;3.095;3.069
Domsühl;Gemeinde;Ludwigslust-Parchim;1.344;1.514;1.325;1.315
Dorf Mecklenburg;Gemeinde;Nordwestmecklenburg;2.998;3.034;2.872;3.023
Dragun;Gemeinde;Nordwestmecklenburg;625;903;782;766
Dranske;Gemeinde;Vorpommern-Rügen;3.212;1.826;1.227;1.185
Drechow;Gemeinde;Vorpommern-Rügen;306;301;250;232
Dreetz;Gemeinde;Landkreis Rostock;214;245;215;203
Dreschvitz;Gemeinde;Vorpommern-Rügen;756;785;809;755
Ducherow;Gemeinde;Vorpommern-Greifswald;3.320;3.125;2.752;2.558
Duckow;Gemeinde;Mecklenburgische Seenplatte;290;312;247;229
Dümmer;Gemeinde;Ludwigslust-Parchim;...;1.408;1.434;1.430
Dummerstorf;Gemeinde;Landkreis Rostock;5.639;7.154;7.067;7.316
Eggesin;Stadt;Vorpommern-Greifswald;8.136;6.385;5.041;4.871
Eixen;Gemeinde;Vorpommern-Rügen;997;969;783;777
Eldena;Gemeinde;Ludwigslust-Parchim;1.571;1.496;1.255;1.196
Elmenhorst;Gemeinde;Vorpommern-Rügen;779;815;773;702
Elmenhorst/Lichtenhagen;Gemeinde;Landkreis Rostock;2.617;4.253;3.946;4.039
Fahrenwalde;Gemeinde;Vorpommern-Greifswald;427;412;334;309
Faulenrost;Gemeinde;Mecklenburgische Seenplatte;791;801;701;646
Feldberger Seenlandschaft;Gemeinde;Mecklenburgische Seenplatte;5.144;5.206;4.542;4.452
Ferdinandshof;Gemeinde;Vorpommern-Greifswald;3.594;3.340;2.793;2.719
Fincken;Gemeinde;Mecklenburgische Seenplatte;667;641;538;505
Finkenthal;Gemeinde;Landkreis Rostock;376;361;277;280
Franzburg;Stadt;Vorpommern-Rügen;2.088;1.851;1.516;1.462
Friedland;Stadt;Mecklenburgische Seenplatte;9.452;8.806;7.061;6.779
Friedrichsruhe;Gemeinde;Ludwigslust-Parchim;1.065;1.043;897;875
Fuhlendorf;Gemeinde;Vorpommern-Rügen;916;973;813;797
Fünfseen;Gemeinde;Mecklenburgische Seenplatte;1.273;1.263;1.129;1.062
Gadebusch;Stadt;Nordwestmecklenburg;6.534;6.066;5.618;5.501
Gägelow;Gemeinde;Nordwestmecklenburg;1.871;2.675;2.551;2.521
Gager;Gemeinde;Vorpommern-Rügen;418;444;413;388
Galenbeck;Gemeinde;Mecklenburgische Seenplatte;1.731;1.622;1.194;1.150
Gallin;Gemeinde;Ludwigslust-Parchim;475;515;524;569
Gallin-Kuppentin;Gemeinde;Ludwigslust-Parchim;631;671;511;472
Gammelin;Gemeinde;Ludwigslust-Parchim;400;485;460;473
Ganzlin;Gemeinde;Ludwigslust-Parchim;1.882;1.843;1.471;1.450
Garz;Gemeinde;Vorpommern-Greifswald;228;213;241;252
Garz/Rügen;Stadt;Vorpommern-Rügen;2.779;2.729;2.294;2.213
Gehlsbach;Gemeinde;Ludwigslust-Parchim;655;624;524;517
Gelbensande;Gemeinde;Landkreis Rostock;2.273;1.958;1.616;1.618
Genzkow;Gemeinde;Mecklenburgische Seenplatte;196;172;138;136
Gielow;Gemeinde;Mecklenburgische Seenplatte;1.548;1.614;1.190;1.144
Gingst;Gemeinde;Vorpommern-Rügen;1.551;1.535;1.389;1.313
