Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Abtshagen;Siedlung;Vorpommern-Rügen;780
Admannshagen;Siedlung;Landkreis Rostock;900
Ahrenshagen;Siedlung;Vorpommern-Rügen;850
Ahrenshoop;Siedlung;Vorpommern-Rügen;640
Altefähr;Siedlung;Vorpommern-Rügen;960
Altenkirchen;Siedlung;Vorpommern-Rügen;740
Altenpleen;Siedlung;Vorpommern-Rügen;620
Altentreptow;Siedlung;Mecklenburgische Seenplatte;4.970
Alt Meteln;Siedlung;Nordwestmecklenburg;650
Anklam;Siedlung;Vorpommern-Greifswald;12.400
Baabe;Siedlung;Vorpommern-Rügen;850
Bad Doberan;Siedlung;Landkreis Rostock;11.000
Bad Kleinen;Siedlung;Nordwestmecklenburg;2.910
Bad Sülze;Siedlung;Vorpommern-Rügen;1.430
Bahlen;Siedlung;Ludwigslust-Parchim;650
Banzkow;Siedlung;Ludwigslust-Parchim;1.810
Bargeshagen;Siedlung;Landkreis Rostock;1.540
Bartelshagen I;Siedlung;Vorpommern-Rügen;500
Barth;Siedlung;Vorpommern-Rügen;8.320
Bentwisch;Siedlung;Landkreis Rostock;2.050
Bergen auf Rügen;Siedlung;Vorpommern-Rügen;12.900
Binz;Siedlung;Vorpommern-Rügen;4.420
Blankenhagen;Siedlung;Landkreis Rostock;790
Blankensee;Siedlung;Mecklenburgische Seenplatte;520
Bobitz;Siedlung;Nordwestmecklenburg;520
Boizenburg/Elbe;Siedlung;Ludwigslust-Parchim;8.620
Boltenhagen;Siedlung;Nordwestmecklenburg;1.920
Boock;Siedlung;Vorpommern-Greifswald;570
Börgerende-Rethwisch;Siedlung;Landkreis Rostock;1.530
Born a. Darß;Siedlung;Vorpommern-Rügen;1.150
Brahlstorf;Siedlung;Ludwigslust-Parchim;520
Brandshagen;Siedlung;Vorpommern-Rügen;990
Broderstorf;Siedlung;Landkreis Rostock;1.610
Brüel;Siedlung;Ludwigslust-Parchim;2.420
Brüsewitz;Siedlung;Nordwestmecklenburg;860
Burg Stargard;Siedlung;Mecklenburgische Seenplatte;3.900
Burow;Siedlung;Mecklenburgische Seenplatte;720
Bützow;Siedlung;Landkreis Rostock;7.430
Carlow;Siedlung;Nordwestmecklenburg;660
Carlshöhe;Siedlung;Mecklenburgische Seenplatte;520
Cölpin;Siedlung;Mecklenburgische Seenplatte;580
Consrade;Siedlung;Ludwigslust-Parchim;850
Crivitz;Siedlung;Ludwigslust-Parchim;4.080
Dabel;Siedlung;Ludwigslust-Parchim;1.230
Damgarten;Siedlung;Vorpommern-Rügen;3.260
Damshagen;Siedlung;Nordwestmecklenburg;520
Dargetzow;Siedlung;Nordwestmecklenburg;1.280
Dargun;Siedlung;Mecklenburgische Seenplatte;2.900
Dassow;Siedlung;Nordwestmecklenburg;2.620
Demen;Siedlung;Ludwigslust-Parchim;540
Demmin;Siedlung;Mecklenburgische Seenplatte;10.100
Dersekow;Siedlung;Vorpommern-Greifswald;520
