Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Aachen;Stadt;Städteregion Aachen;247.923;245.778;236.420;245.885
Ahaus;Stadt;Borken;34.708;37.533;38.331;39.277
Ahlen;Stadt;Warendorf;55.785;55.481;52.280;52.287
Aldenhoven;Gemeinde;Düren;13.247;13.911;13.740;13.932
Alfter;Gemeinde;Rhein-Sieg-Kreis;19.351;21.350;22.839;23.435
Alpen;Gemeinde;Wesel;12.235;12.651;12.747;12.798
Alsdorf;Stadt;Städteregion Aachen;46.147;46.344;46.567;46.880
Altena;Stadt;Märkischer Kreis;24.026;21.831;18.218;17.375
Altenbeken;Gemeinde;Paderborn;8.571;9.638;9.296;9.294
Altenberge;Gemeinde;Steinfurt;8.445;9.640;9.999;10.315
Anröchte;Gemeinde;Soest;10.429;10.877;10.422;10.557
Arnsberg;Stadt;Hochsauerlandkreis;78.972;77.396;74.383;73.784
Ascheberg;Gemeinde;Coesfeld;13.965;14.923;15.103;15.253
Attendorn;Stadt;Olpe;23.888;24.688;24.463;24.676
Augustdorf;Gemeinde;Lippe;9.607;10.168;9.649;9.828
Bad Berleburg;Stadt;Siegen-Wittgenstein;21.289;21.135;19.754;19.774
Bad Driburg;Stadt;Höxter;19.122;19.608;18.639;18.699
Bad Honnef;Stadt;Rhein-Sieg-Kreis;24.462;25.038;24.523;25.654
Bad Laasphe;Stadt;Siegen-Wittgenstein;15.574;15.395;14.186;14.276
Bad Lippspringe;Stadt;Paderborn;14.566;14.835;14.968;15.572
Bad Münstereifel;Stadt;Euskirchen;17.718;18.560;17.451;17.367
Bad Oeynhausen;Stadt;Minden-Lübbecke;49.014;49.850;48.623;48.990
Bad Salzuflen;Stadt;Lippe;55.029;55.088;52.285;53.341
Bad Sassendorf;Gemeinde;Soest;10.800;11.312;11.478;11.931
Bad Wünnenberg;Stadt;Paderborn;11.670;12.221;12.105;12.302
Baesweiler;Stadt;Städteregion Aachen;25.707;27.485;26.363;26.819
Balve;Stadt;Märkischer Kreis;11.967;12.183;11.789;11.602
Barntrup;Stadt;Lippe;9.616;9.651;9.042;8.846
Beckum;Stadt;Warendorf;38.166;38.018;36.116;36.560
Bedburg;Stadt;Rhein-Erft-Kreis;23.219;24.457;23.037;23.334
Bedburg-Hau;Gemeinde;Kleve;12.315;12.361;12.609;13.033
Beelen;Gemeinde;Warendorf;5.800;6.249;6.284;6.380
Bergheim;Stadt;Rhein-Erft-Kreis;60.610;63.591;58.922;60.390
Bergisch Gladbach;Stadt;Rheinisch-Bergischer Kreis;105.478;105.569;108.878;111.366
Bergkamen;Stadt;Unna;51.838;52.955;49.011;47.803
Bergneustadt;Stadt;Oberbergischer Kreis;20.772;20.809;18.799;18.940
Bestwig;Gemeinde;Hochsauerlandkreis;12.148;12.000;11.430;11.170
Beverungen;Stadt;Höxter;15.703;15.506;13.867;13.442
Bielefeld;Kreisfreie Stadt;Bielefeld;324.066;323.373;326.870;333.090
Billerbeck;Stadt;Coesfeld;10.719;11.377;11.460;11.593
Blankenheim;Gemeinde;Euskirchen;8.292;8.770;8.646;8.471
Blomberg;Stadt;Lippe;16.786;17.560;15.721;15.370
Bocholt;Stadt;Borken;70.424;72.701;71.256;71.443
Bochum;Kreisfreie Stadt;Bochum;400.395;390.087;362.286;364.742
Bönen;Gemeinde;Unna;18.817;19.349;18.018;18.059
Bonn;Kreisfreie Stadt;Bonn;291.431;306.016;305.765;318.809
Borchen;Gemeinde;Paderborn;12.338;13.085;13.181;13.447
Borgentreich;Stadt;Höxter;9.743;9.820;9.133;9.497
Borgholzhausen;Stadt;Gütersloh;8.463;8.759;8.718;8.801
Borken;Stadt;Borken;38.675;40.582;41.614;42.272
Bornheim;Stadt;Rhein-Sieg-Kreis;40.180;46.304;46.207;47.636
Bottrop;Kreisfreie Stadt;Bottrop;120.642;120.780;117.311;117.143
Brakel;Stadt;Höxter;17.493;17.840;16.853;16.586
Breckerfeld;Stadt;Ennepe-Ruhr-Kreis;8.892;9.250;9.064;9.004
Brilon;Stadt;Hochsauerlandkreis;27.258;27.320;25.909;26.232
Brüggen;Gemeinde;Viersen;14.929;15.877;15.489;15.648
Brühl;Stadt;Rhein-Erft-Kreis;43.653;43.850;43.568;44.768
Bünde;Stadt;Herford;43.186;44.749;45.497;45.615
Burbach;Gemeinde;Siegen-Wittgenstein;14.807;15.076;14.502;14.969
Büren;Stadt;Paderborn;21.619;22.194;21.724;21.772
Burscheid;Stadt;Rheinisch-Bergischer Kreis;18.289;19.293;18.078;18.256
Castrop-Rauxel;Stadt;Recklinghausen;79.160;78.471;74.629;74.220
Coesfeld;Stadt;Coesfeld;34.747;36.264;35.815;36.116
Dahlem;Gemeinde;Euskirchen;4.161;4.277;4.196;4.236
Datteln;Stadt;Recklinghausen;37.712;37.210;34.481;34.521
Delbrück;Stadt;Paderborn;27.700;29.429;30.414;31.964
Detmold;Stadt;Lippe;73.343;73.771;73.743;74.817
Dinslaken;Stadt;Wesel;69.148;71.005;67.853;67.452
Dörentrup;Gemeinde;Lippe;8.587;8.824;8.229;7.970
Dormagen;Stadt;Rhein-Kreis Neuss;61.155;63.295;62.208;64.064
Dorsten;Stadt;Recklinghausen;80.735;81.293;76.860;75.431
Dortmund;Kreisfreie Stadt;Dortmund;598.840;589.240;571.143;586.181
Drensteinfurt;Stadt;Warendorf;13.298;14.675;15.176;15.542
Drolshagen;Stadt;Olpe;12.039;12.313;11.827;11.874
Duisburg;Kreisfreie Stadt;Duisburg;535.250;512.030;488.468;491.231
Dülmen;Stadt;Coesfeld;44.277;46.923;46.388;46.613
Düren;Stadt;Düren;90.274;92.292;88.789;90.244
Düsseldorf;Kreisfreie Stadt;Düsseldorf;571.030;570.765;586.291;612.178
Eitorf;Gemeinde;Rhein-Sieg-Kreis;18.031;19.599;18.762;18.864
Elsdorf;Stadt;Rhein-Erft-Kreis;21.343;21.740;20.818;21.232
Emmerich am Rhein;Stadt;Kleve;29.285;29.005;29.918;30.968
Emsdetten;Stadt;Steinfurt;33.665;35.235;35.236;36.320
Engelskirchen;Gemeinde;Oberbergischer Kreis;20.442;20.829;19.368;19.307
Enger;Stadt;Herford;18.925;20.007;20.439;20.658
Ennepetal;Stadt;Ennepe-Ruhr-Kreis;34.224;33.559;30.400;29.926
Ennigerloh;Stadt;Warendorf;20.552;20.786;19.662;20.037
Ense;Gemeinde;Soest;10.869;12.459;12.336;12.442
Erftstadt;Stadt;Rhein-Erft-Kreis;48.717;50.998;49.230;49.786
Erkelenz;Stadt;Heinsberg;42.281;43.364;42.931;43.350
Erkrath;Stadt;Mettmann;49.572;48.547;43.690;44.086
Erndtebrück;Gemeinde;Siegen-Wittgenstein;8.116;7.789;7.315;7.206
Erwitte;Stadt;Soest;14.982;15.725;15.569;16.128
Eschweiler;Stadt;Städteregion Aachen;56.171;55.257;54.671;55.909
Eslohe (Sauerland);Gemeinde;Hochsauerlandkreis;9.311;9.344;9.058;8.942
Espelkamp;Stadt;Minden-Lübbecke;27.004;26.883;24.805;24.921
Essen;Kreisfreie Stadt;Essen;614.861;591.889;566.201;582.624
Euskirchen;Stadt;Euskirchen;52.205;54.047;55.414;56.769
Everswinkel;Gemeinde;Warendorf;8.684;9.219;9.382;9.583
Extertal;Gemeinde;Lippe;13.407;13.227;11.854;11.522
Finnentrop;Gemeinde;Olpe;18.299;18.562;17.172;17.258
Frechen;Stadt;Rhein-Erft-Kreis;45.583;47.382;49.657;51.999
Freudenberg;Stadt;Siegen-Wittgenstein;18.094;18.315;18.024;17.929
Fröndenberg/Ruhr;Stadt;Unna;22.145;23.054;20.928;20.961
Gangelt;Gemeinde;Heinsberg;10.367;11.210;11.404;12.015
Geilenkirchen;Stadt;Heinsberg;26.549;28.137;26.240;26.963
Geldern;Stadt;Kleve;31.709;33.232;32.871;33.841
Gelsenkirchen;Kreisfreie Stadt;Gelsenkirchen;291.164;276.740;258.766;260.368
Gescher;Stadt;Borken;16.095;16.932;16.869;17.118
Geseke;Stadt;Soest;19.170;20.219;20.718;21.070
Gevelsberg;Stadt;Ennepe-Ruhr-Kreis;33.769;33.552;31.227;31.315
Gladbeck;Stadt;Recklinghausen;79.605;77.460;73.974;75.455
Goch;Stadt;Kleve;31.186;33.033;32.708;33.889
Grefrath;Gemeinde;Viersen;15.447;16.040;14.946;14.914
Greven;Stadt;Steinfurt;33.216;34.507;34.659;36.674
Grevenbroich;Stadt;Rhein-Kreis Neuss;63.604;65.039;61.741;63.051
Gronau (Westf.);Stadt;Borken;43.529;45.290;45.494;47.010
Gummersbach;Stadt;Oberbergischer Kreis;53.149;53.355;49.951;50.412
Gütersloh;Stadt;Gütersloh;92.842;95.459;94.172;97.586
Haan;Stadt;Mettmann;29.888;29.607;29.574;30.410
Hagen;Kreisfreie Stadt;Hagen;212.003;202.060;187.944;189.044
Hallenberg;Stadt;Hochsauerlandkreis;4.997;4.737;4.507;4.541
Halle (Westf.);Stadt;Gütersloh;19.502;20.728;21.029;21.709
Haltern am See;Stadt;Recklinghausen;35.587;36.956;37.315;38.020
Halver;Stadt;Märkischer Kreis;17.168;17.627;16.474;16.117
Hamm;Kreisfreie Stadt;Hamm;183.408;183.805;176.037;179.397
Hamminkeln;Stadt;Wesel;26.480;27.209;26.350;26.996
Harsewinkel;Stadt;Gütersloh;22.616;23.703;23.799;24.769
Hattingen;Stadt;Ennepe-Ruhr-Kreis;58.650;58.023;54.253;54.834
Havixbeck;Gemeinde;Coesfeld;10.711;11.828;11.543;11.689
Heek;Gemeinde;Borken;7.578;7.968;8.356;8.505
Heiden;Gemeinde;Borken;7.375;8.092;8.089;8.152
Heiligenhaus;Stadt;Mettmann;29.487;28.402;25.560;25.793
Heimbach;Stadt;Düren;4.613;4.659;4.406;4.366
Heinsberg;Stadt;Heinsberg;39.852;41.483;40.949;41.538
Hellenthal;Gemeinde;Euskirchen;8.758;8.715;8.248;8.094
Hemer;Stadt;Märkischer Kreis;35.934;37.355;35.225;33.535
Hennef (Sieg);Stadt;Rhein-Sieg-Kreis;38.115;43.534;44.770;46.902
Herdecke;Stadt;Ennepe-Ruhr-Kreis;26.278;26.001;22.909;22.818
Herford;Stadt;Herford;65.919;65.097;65.213;66.521
Herne;Kreisfreie Stadt;Herne;179.897;174.018;155.160;155.851
Herscheid;Gemeinde;Märkischer Kreis;7.492;7.626;7.363;7.217
Herten;Stadt;Recklinghausen;69.183;66.495;61.505;61.163
Herzebrock-Clarholz;Gemeinde;Gütersloh;14.898;15.944;15.900;15.965
Herzogenrath;Stadt;Städteregion Aachen;45.935;46.932;46.564;46.583
Hiddenhausen;Gemeinde;Herford;20.474;21.071;19.786;19.758
Hilchenbach;Stadt;Siegen-Wittgenstein;16.571;16.506;15.387;15.169
Hilden;Stadt;Mettmann;55.086;56.615;54.390;55.185
Hille;Gemeinde;Minden-Lübbecke;15.857;16.622;16.027;15.916
Holzwickede;Gemeinde;Unna;17.414;17.739;16.755;17.085
Hopsten;Gemeinde;Steinfurt;6.642;7.643;7.631;7.642
Horn-Bad Meinberg;Stadt;Lippe;18.664;18.696;17.364;17.126
Hörstel;Stadt;Steinfurt;17.401;19.602;19.660;19.995
Horstmar;Stadt;Steinfurt;6.387;6.709;6.496;6.447
Hövelhof;Gemeinde;Paderborn;15.167;15.872;15.642;16.080
Höxter;Stadt;Höxter;33.560;32.998;30.165;29.589
Hückelhoven;Stadt;Heinsberg;36.756;39.308;38.927;39.531
Hückeswagen;Stadt;Oberbergischer Kreis;16.016;16.540;15.256;15.275
Hüllhorst;Gemeinde;Minden-Lübbecke;12.657;13.687;13.174;13.271
Hünxe;Gemeinde;Wesel;13.632;13.706;13.544;13.771
Hürtgenwald;Gemeinde;Düren;8.474;8.880;8.655;8.780
Hürth;Stadt;Rhein-Erft-Kreis;52.351;54.095;55.082;59.496
Ibbenbüren;Stadt;Steinfurt;47.421;49.485;50.569;50.935
Inden;Gemeinde;Düren;7.624;7.636;6.936;7.272
Iserlohn;Stadt;Märkischer Kreis;99.341;98.865;94.630;93.537
Isselburg;Stadt;Borken;10.644;10.974;10.926;10.736
Issum;Gemeinde;Kleve;11.793;12.181;11.876;12.037
Jüchen;Gemeinde;Rhein-Kreis Neuss;22.216;22.569;22.162;23.260
Jülich;Stadt;Düren;32.061;33.940;31.834;32.601
Kaarst;Stadt;Rhein-Kreis Neuss;41.788;42.379;41.901;43.286
Kalkar;Stadt;Kleve;12.560;13.865;13.743;13.854
Kall;Gemeinde;Euskirchen;11.194;11.829;11.383;11.229
Kalletal;Gemeinde;Lippe;15.791;15.786;14.249;13.914
Kamen;Stadt;Unna;46.977;46.348;43.815;43.868
Kamp-Lintfort;Stadt;Wesel;40.435;39.959;37.299;37.683
Kempen;Stadt;Viersen;36.093;36.085;35.075;34.837
Kerken;Gemeinde;Kleve;12.060;12.616;12.527;13.262
Kerpen;Stadt;Rhein-Erft-Kreis;61.998;63.652;63.273;65.477
Kevelaer;Stadt;Kleve;25.737;27.319;27.509;28.311
Kierspe;Stadt;Märkischer Kreis;17.541;18.299;16.363;16.300
Kirchhundem;Gemeinde;Olpe;13.030;13.067;12.069;11.854
Kirchlengern;Gemeinde;Herford;15.589;16.335;16.189;16.085
Kleve;Stadt;Kleve;48.344;49.031;47.438;49.729
Köln;Kreisfreie Stadt;Köln;965.697;967.940;1.005.775;1.060.582
Königswinter;Stadt;Rhein-Sieg-Kreis;37.341;39.482;40.025;40.702
Korschenbroich;Stadt;Rhein-Kreis Neuss;31.740;33.862;32.025;32.922
Kranenburg;Gemeinde;Kleve;8.526;9.457;10.174;10.648
Krefeld;Kreisfreie Stadt;Krefeld;249.606;239.559;222.247;225.144
Kreuzau;Gemeinde;Düren;16.989;18.234;17.123;17.441
Kreuztal;Stadt;Siegen-Wittgenstein;32.243;32.127;30.754;31.500
Kürten;Gemeinde;Rheinisch-Bergischer Kreis;18.771;19.679;19.531;19.893
Ladbergen;Gemeinde;Steinfurt;6.058;6.455;6.372;6.694
