Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Aachen;Siedlung;Städteregion Aachen;223.700
Abenden;Siedlung;Düren;700
Adendorf;Siedlung;Rhein-Sieg-Kreis;1.390
Aegidienberg - Rottbitze;Siedlung;Rhein-Sieg-Kreis;5.020
Affeln;Siedlung;Märkischer Kreis;1.120
Ahaus;Siedlung;Borken;26.300
Ahden;Siedlung;Paderborn;970
Ahe;Siedlung;Rhein-Erft-Kreis;2.740
Ahlen;Siedlung;Warendorf;43.700
Ahrem;Siedlung;Rhein-Erft-Kreis;1.060
Ahsen;Siedlung;Recklinghausen;1.120
Albachten;Siedlung;Münster;5.340
Albaum;Siedlung;Olpe;720
Albaxen;Siedlung;Höxter;1.690
Albersloh;Siedlung;Warendorf;2.530
Alchen;Siedlung;Siegen-Wittgenstein;1.860
Aldekerk - Rahm;Siedlung;Kleve;3.990
Aldenhoven;Siedlung;Düren;8.200
Aldenhoven;Siedlung;Rhein-Kreis Neuss;720
Alfen;Siedlung;Paderborn;1.920
Alferzhagen;Siedlung;Oberbergischer Kreis;760
Alfter;Siedlung;Rhein-Sieg-Kreis;22.600
Alhausen;Siedlung;Höxter;740
Allagen;Siedlung;Soest;2.530
Allendorf;Siedlung;Hochsauerlandkreis;1.300
Allerheiligen - Rosellerheide;Siedlung;Rhein-Kreis Neuss;11.800
Allner;Siedlung;Rhein-Sieg-Kreis;1.110
Allrath;Siedlung;Rhein-Kreis Neuss;1.740
Almena;Siedlung;Lippe;1.240
Alpen;Siedlung;Wesel;4.640
Alpsray;Siedlung;Wesel;1.280
Alsdorf;Siedlung;Städteregion Aachen;26.100
Alstätte;Siedlung;Borken;4.120
Alswede;Siedlung;Minden-Lübbecke;800
Altena;Siedlung;Märkischer Kreis;17.100
Altenbeken;Siedlung;Paderborn;5.220
Altenberge;Siedlung;Steinfurt;8.260
Altenbüren;Siedlung;Hochsauerlandkreis;1.230
Altendorf;Siedlung;Rhein-Sieg-Kreis;1.990
Altendorf;Siedlung;Recklinghausen;1.290
Altengeseke;Siedlung;Soest;760
Altenhof;Siedlung;Olpe;1.200
Altenkleusheim;Siedlung;Olpe;780
Altenrath;Siedlung;Rhein-Sieg-Kreis;2.280
Altenrüthen;Siedlung;Soest;510
Alverdissen;Siedlung;Lippe;1.560
Alverskirchen;Siedlung;Warendorf;1.600
Amecke;Siedlung;Hochsauerlandkreis;1.360
Ameln;Siedlung;Düren;730
Amelsbüren;Siedlung;Münster;4.360
Amelunxen;Siedlung;Höxter;1.140
Amern;Siedlung;Viersen;5.100
Ammeloe;Siedlung;Borken;660
Ampen;Siedlung;Soest;1.620
An der Kapelle;Siedlung;Gütersloh;580
Andreasberg;Siedlung;Hochsauerlandkreis;560
Angermund;Siedlung;Düsseldorf;6.100
Anholt;Siedlung;Borken;3.360
Anrath;Siedlung;Viersen;11.100
Anreppen;Siedlung;Paderborn;1.020
Anröchte;Siedlung;Soest;6.400
