Name;Status;Einwohner
;;Zensus
;;09.05.11
Bielefeld;Stadtkreis;326.870
Bochum;Stadtkreis;362.286
Bonn;Stadtkreis;305.765
Borken;Landkreis;363.755
Bottrop;Stadtkreis;117.311
Coesfeld;Landkreis;215.269
Dortmund;Stadtkreis;571.143
Duisburg;Stadtkreis;488.468
Düren;Landkreis;258.760
Düsseldorf;Stadtkreis;586.291
Ennepe-Ruhr-Kreis;Landkreis;326.049
Essen;Stadtkreis;566.201
Euskirchen;Landkreis;187.940
Gelsenkirchen;Stadtkreis;258.766
Gütersloh;Landkreis;350.420
Hagen;Stadtkreis;187.944
Hamm;Stadtkreis;176.037
Heinsberg;Landkreis;248.161
Herford;Landkreis;250.704
Herne;Stadtkreis;155.160
Hochsauerlandkreis;Landkreis;266.509
Höxter;Landkreis;145.678
Kleve;Landkreis;300.989
Köln;Stadtkreis;1.005.775
Krefeld;Stadtkreis;222.247
Leverkusen;Stadtkreis;158.984
Lippe;Landkreis;348.681
Märkischer Kreis;Landkreis;423.819
Mettmann;Landkreis;477.778
Minden-Lübbecke;Landkreis;312.169
Mönchengladbach;Stadtkreis;255.188
Mülheim an der Ruhr;Stadtkreis;166.865
Münster;Stadtkreis;289.576
Oberbergischer Kreis;Landkreis;273.011
Oberhausen;Stadtkreis;210.216
Olpe;Landkreis;136.491
Paderborn;Landkreis;294.602
Recklinghausen;Landkreis;619.382
Remscheid;Stadtkreis;110.708
Rhein-Erft-Kreis;Landkreis;451.514
Rheinisch-Bergischer Kreis;Landkreis;278.183
Rhein-Kreis Neuss;Landkreis;437.393
Rhein-Sieg-Kreis;Landkreis;578.252
Siegen-Wittgenstein;Landkreis;276.834
Soest;Landkreis;296.875
Solingen;Stadtkreis;155.265
Städteregion Aachen;Landkreis;539.516
Steinfurt;Landkreis;433.659
Unna;Landkreis;396.060
Viersen;Landkreis;296.175
Warendorf;Landkreis;273.477
Wesel;Landkreis;460.419
Wuppertal;Stadtkreis;342.661
Nordrhein-Westfalen;Bundesland;17.538.251
