Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Achim;Stadt;Verden;30.050;29.681;29.531;31.156
Adelebsen;Flecken;Göttingen;7.184;7.079;6.564;6.573
Adelheidsdorf;Gemeinde;Celle;2.164;2.513;2.453;2.601
Adenbüttel;Gemeinde;Gifhorn;1.485;1.700;1.759;1.734
Adendorf;Gemeinde;Lüneburg;9.290;9.714;10.188;10.724
Aerzen;Flecken;Hameln-Pyrmont;12.057;12.056;10.945;10.693
Affinghausen;Gemeinde;Diepholz;941;977;852;832
Agathenburg;Gemeinde;Stade;1.008;1.014;1.160;1.180
Ahausen;Gemeinde;Rotenburg (Wümme);1.527;1.770;1.824;1.888
Ahlden (Aller);Flecken;Heidekreis;1.404;1.496;1.552;1.518
Ahlerstedt;Gemeinde;Stade;4.594;4.973;5.050;5.273
Ahnsbeck;Gemeinde;Celle;1.407;1.627;1.649;1.654
Ahnsen;Gemeinde;Schaumburg;1.131;1.191;1.111;1.045
Alfeld (Leine);Stadt;Hildesheim;22.413;21.778;19.443;19.081
Alfhausen;Gemeinde;Osnabrück;3.512;3.658;3.769;3.910
Alfstedt;Gemeinde;Rotenburg (Wümme);808;858;868;864
Algermissen;Gemeinde;Hildesheim;7.336;8.241;8.007;7.738
Altenmedingen;Gemeinde;Uelzen;1.596;1.639;1.547;1.555
Amelinghausen;Gemeinde;Lüneburg;3.309;3.738;3.959;4.062
Am Großen Rhode;Gemeindefreies Gebiet;Wolfenbüttel;0;0;0;0
Amt Neuhaus;Gemeinde;Lüneburg;5.870;5.627;4.857;5.127
Anderlingen;Gemeinde;Rotenburg (Wümme);878;943;896;880
Andervenne;Gemeinde;Emsland;853;906;870;882
Ankum;Gemeinde;Osnabrück;6.596;7.107;7.140;7.314
Apelern;Gemeinde;Schaumburg;2.587;2.667;2.524;2.470
Apen;Gemeinde;Ammerland;10.117;10.753;11.127;11.334
Apensen;Gemeinde;Stade;2.865;2.922;3.546;3.945
Appel;Gemeinde;Harburg;1.588;1.795;1.825;1.936
Arholzen;Gemeinde;Holzminden;443;464;408;415
Armstorf;Gemeinde;Cuxhaven;672;634;616;646
Artlenburg;Flecken;Lüneburg;1.356;1.619;1.590;1.637
Asendorf;Gemeinde;Diepholz;3.123;3.059;3.061;2.919
Asendorf;Gemeinde;Harburg;1.559;1.697;1.898;1.882
Auetal;Gemeinde;Schaumburg;6.476;6.530;6.506;6.315
Auhagen;Gemeinde;Schaumburg;1.354;1.354;1.283;1.274
Aurich;Stadt;Aurich;39.519;40.362;40.699;41.489
Axstedt;Gemeinde;Osterholz;1.216;1.163;1.117;1.153
Bad Bentheim;Stadt;Grafschaft Bentheim;14.319;14.817;15.083;15.311
Badbergen;Gemeinde;Osnabrück;4.343;4.531;4.421;4.572
Bad Bevensen;Stadt;Uelzen;8.767;8.796;8.738;9.060
Bad Bodenteich;Flecken;Uelzen;3.803;3.987;3.784;3.761
Baddeckenstedt;Gemeinde;Wolfenbüttel;2.946;2.980;3.084;3.069
Bad Eilsen;Gemeinde;Schaumburg;2.277;2.386;2.427;2.480
Bad Essen;Gemeinde;Osnabrück;14.876;15.575;15.120;15.263
Bad Fallingbostel;Stadt;Heidekreis;11.753;11.749;10.878;11.044
Bad Gandersheim;Stadt;Northeim;11.555;11.273;10.038;10.141
Bad Grund (Harz);Gemeinde;Göttingen;10.341;9.712;9.019;8.638
Bad Harzburg;Stadt;Goslar;23.599;23.021;22.033;21.735
Bad Iburg;Stadt;Osnabrück;11.371;11.681;10.555;10.548
Bad Laer;Gemeinde;Osnabrück;7.893;9.092;9.183;9.268
Bad Lauterberg im Harz;Stadt;Göttingen;12.901;12.079;10.956;10.596
Bad Münder am Deister;Stadt;Hameln-Pyrmont;19.274;18.877;17.670;17.376
Bad Nenndorf;Stadt;Schaumburg;9.788;10.135;10.105;10.649
Bad Pyrmont;Stadt;Hameln-Pyrmont;23.180;22.100;19.128;19.239
Bad Rothenfelde;Gemeinde;Osnabrück;6.236;6.990;7.486;7.839
Bad Sachsa;Stadt;Göttingen;8.804;8.424;7.669;7.510
Bad Salzdetfurth;Stadt;Hildesheim;14.188;14.528;13.353;13.269
Bad Zwischenahn;Gemeinde;Ammerland;24.362;25.826;27.437;28.204
Bahrdorf;Gemeinde;Helmstedt;2.124;2.152;1.902;1.911
Bahrenborstel;Gemeinde;Diepholz;1.252;1.260;1.162;1.134
Bakum;Gemeinde;Vechta;5.210;5.585;5.885;6.123
Balge;Gemeinde;Nienburg (Weser);1.825;1.889;1.832;1.752
Balje;Gemeinde;Stade;1.163;1.109;1.033;1.017
Baltrum;Gemeinde;Aurich;528;541;561;610
Bardowick;Flecken;Lüneburg;4.848;5.652;6.453;6.867
Barenburg;Flecken;Diepholz;1.262;1.328;1.247;1.242
Barendorf;Gemeinde;Lüneburg;1.517;2.036;2.394;2.566
Bargstedt;Gemeinde;Stade;1.679;2.079;2.049;1.987
Barnstedt;Gemeinde;Lüneburg;651;792;759;735
Barnstorf;Flecken;Diepholz;5.869;6.003;6.129;6.292
Barnstorf-Warle;Gemeindefreies Gebiet;Wolfenbüttel;0;0;0;0
Barsinghausen;Stadt;Region Hannover;34.643;34.408;33.053;33.608
Barßel;Gemeinde;Cloppenburg;11.759;12.431;12.426;12.714
Barum;Gemeinde;Lüneburg;1.472;1.652;1.848;1.911
Barum;Gemeinde;Uelzen;813;846;811;788
Barver;Gemeinde;Diepholz;1.139;1.123;1.041;1.049
Barwedel;Gemeinde;Gifhorn;967;1.081;1.025;1.000
Basdahl;Gemeinde;Rotenburg (Wümme);1.418;1.475;1.440;1.430
Bassum;Stadt;Diepholz;15.055;16.132;15.502;15.768
Bawinkel;Gemeinde;Emsland;2.253;2.271;2.334;2.407
Beckdorf;Gemeinde;Stade;2.209;2.362;2.626;2.660
Beckedorf;Gemeinde;Schaumburg;1.510;1.573;1.491;1.442
Beckeln;Gemeinde;Oldenburg;809;835;795;789
Beedenbostel;Gemeinde;Celle;1.040;1.072;1.001;993
Beesten;Gemeinde;Emsland;1.634;1.653;1.630;1.584
Beierstedt;Gemeinde;Helmstedt;468;479;426;387
Belm;Gemeinde;Osnabrück;14.359;14.017;13.416;13.581
Belum;Gemeinde;Cuxhaven;949;896;853;838
Bendestorf;Gemeinde;Harburg;2.030;2.180;2.248;2.337
Berge;Gemeinde;Osnabrück;3.599;3.690;3.622;3.518
Bergen;Stadt;Celle;13.861;13.572;12.962;13.027
Bergen an der Dumme;Gemeinde;Lüchow-Dannenberg;1.645;1.573;1.595;1.595
Bergfeld;Gemeinde;Gifhorn;791;956;906;886
Berne;Gemeinde;Wesermarsch;6.877;7.179;7.014;6.896
Bersenbrück;Stadt;Osnabrück;7.391;7.762;7.787;8.315
Berumbur;Gemeinde;Aurich;2.230;2.489;2.575;2.700
Betzendorf;Gemeinde;Lüneburg;994;1.064;1.162;1.125
Bevern;Flecken;Holzminden;4.537;4.378;4.037;3.864
Beverstedt;Flecken;Cuxhaven;13.365;14.332;13.725;13.503
Bienenbüttel;Gemeinde;Uelzen;5.717;6.672;6.663;6.644
Bilshausen;Gemeinde;Göttingen;2.444;2.487;2.354;2.217
Binnen;Gemeinde;Nienburg (Weser);952;1.043;1.007;1.010
Bippen;Gemeinde;Osnabrück;2.965;3.071;2.963;2.945
Bispingen;Gemeinde;Heidekreis;5.664;6.089;6.273;6.404
Bissendorf;Gemeinde;Osnabrück;13.498;14.221;14.331;14.370
Bleckede;Stadt;Lüneburg;9.084;9.657;9.540;9.439
Blender;Gemeinde;Verden;2.438;2.909;2.912;2.856
Bliedersdorf;Gemeinde;Stade;1.522;1.640;1.691;1.717
Blomberg;Gemeinde;Wittmund;1.285;1.429;1.656;1.760
Bockenem;Stadt;Hildesheim;11.631;11.375;10.144;9.659
Bockhorn;Gemeinde;Friesland;8.297;8.723;8.460;8.594
Bockhorst;Gemeinde;Emsland;968;1.004;998;981
Bodenfelde;Flecken;Northeim;3.934;3.707;3.337;3.176
Bodensee;Gemeinde;Göttingen;724;781;833;821
Bodenwerder;Stadt;Holzminden;6.317;6.294;5.753;5.597
Boffzen;Gemeinde;Holzminden;3.190;3.126;2.894;2.756
Boffzen;Gemeindefreies Gebiet;Holzminden;0;0;0;0
Böhme;Gemeinde;Heidekreis;924;983;908;920
Bohmte;Gemeinde;Osnabrück;12.352;13.280;12.738;12.637
Boitze;Gemeinde;Lüneburg;403;447;398;391
Bokensdorf;Gemeinde;Gifhorn;678;861;977;1.185
Bomlitz;Gemeinde;Heidekreis;6.988;7.172;7.061;6.951
Börger;Gemeinde;Emsland;2.570;2.698;2.692;2.749
Borkum;Stadt;Leer;5.921;5.587;5.197;5.473
Börßum;Gemeinde;Wolfenbüttel;2.983;3.093;2.885;2.856
Borstel;Gemeinde;Diepholz;1.372;1.420;1.299;1.249
Bösel;Gemeinde;Cloppenburg;6.870;7.226;7.431;7.725
Bötersen;Gemeinde;Rotenburg (Wümme);926;1.012;1.062;1.070
Bothel;Gemeinde;Rotenburg (Wümme);1.829;2.399;2.489;2.428
Bovenden;Flecken;Göttingen;13.336;13.351;13.257;13.510
Brackel;Gemeinde;Harburg;1.508;1.638;1.746;1.827
Brake (Unterweser);Stadt;Wesermarsch;16.713;16.416;15.019;15.129
Bramsche;Stadt;Osnabrück;30.724;31.030;30.158;36.013
Braunlage;Stadt;Goslar;8.633;7.689;6.252;6.803
Braunschweig;Kreisfreie Stadt;Braunschweig;252.544;245.516;242.537;251.364
Breddenberg;Gemeinde;Emsland;648;764;765;802
Breddorf;Gemeinde;Rotenburg (Wümme);1.136;1.201;1.088;1.065
Bremervörde;Stadt;Rotenburg (Wümme);19.004;19.386;18.808;18.645
Brest;Gemeinde;Stade;786;846;790;795
Brevörde;Gemeinde;Holzminden;868;796;694;631
Brietlingen;Gemeinde;Lüneburg;2.191;2.942;3.333;3.476
Brinkum;Gemeinde;Leer;615;682;697;711
Bröckel;Gemeinde;Celle;1.540;1.790;1.787;1.778
Brockel;Gemeinde;Rotenburg (Wümme);1.122;1.314;1.342;1.320
Brockum;Gemeinde;Diepholz;1.074;1.069;1.026;1.021
Brome;Flecken;Gifhorn;3.092;3.268;3.254;3.209
Bruchhausen-Vilsen (incl. Süstedt);Flecken;Diepholz;8.526;8.850;8.857;8.837
Brunsleberfeld;Gemeindefreies Gebiet;Helmstedt;0;0;0;0
Buchholz;Gemeinde;Schaumburg;779;808;770;724
Buchholz (Aller);Gemeinde;Heidekreis;1.487;1.885;2.049;2.133
Buchholz in der Nordheide;Stadt;Harburg;34.042;36.109;36.656;38.487
Bückeburg;Stadt;Schaumburg;20.953;20.782;19.252;19.182
Bücken;Flecken;Nienburg (Weser);2.310;2.282;2.202;2.139
Büddenstedt;Gemeinde;Helmstedt;3.586;3.257;2.706;2.485
Bühren;Gemeinde;Göttingen;549;552;568;528
Bülkau;Gemeinde;Cuxhaven;1.019;946;906;884
Bülstedt;Gemeinde;Rotenburg (Wümme);658;692;728;753
Bunde;Gemeinde;Leer;7.217;7.424;7.536;7.607
Burgdorf;Gemeinde;Wolfenbüttel;2.478;2.550;2.408;2.294
Burgdorf;Stadt;Region Hannover;30.275;30.204;28.845;30.147
Burgwedel;Stadt;Region Hannover;19.166;19.861;20.278;20.654
Burweg;Gemeinde;Stade;911;936;974;1.007
Butjadingen;Gemeinde;Wesermarsch;6.393;6.570;6.306;6.180
Buxtehude;Stadt;Stade;35.253;37.086;39.552;40.173
Cadenberge (incl. Geversdorf);Gemeinde;Cuxhaven;3.898;4.152;4.153;4.126
Calberlah;Gemeinde;Gifhorn;4.809;5.130;5.072;4.967
Cappeln (Oldenburg);Gemeinde;Cloppenburg;6.011;6.275;6.835;6.821
Celle;Stadt;Celle;73.936;71.949;69.001;69.748
Clausthal-Zellerfeld;Stadt;Goslar;20.718;19.091;15.481;15.818
Clenze;Flecken;Lüchow-Dannenberg;2.417;2.351;2.363;2.382
Cloppenburg;Stadt;Cloppenburg;27.795;30.146;32.932;33.798
Colnrade;Gemeinde;Oldenburg;805;854;774;785
Coppenbrügge;Flecken;Hameln-Pyrmont;8.025;8.027;7.404;7.152
Cramme;Gemeinde;Wolfenbüttel;890;948;941;906
Cremlingen;Gemeinde;Wolfenbüttel;11.366;12.508;12.843;13.056
Cuxhaven;Stadt;Cuxhaven;55.229;53.168;49.093;48.264
Dahlem;Gemeinde;Lüneburg;526;532;607;599
Dahlenburg;Flecken;Lüneburg;3.330;3.423;3.351;3.313
Dahlum;Gemeinde;Wolfenbüttel;772;799;699;656
Damme;Stadt;Vechta;14.998;15.508;16.271;16.872
Damnatz;Gemeinde;Lüchow-Dannenberg;368;360;316;294
Danndorf;Gemeinde;Helmstedt;2.044;2.072;2.096;2.325
Dannenberg (Elbe);Stadt;Lüchow-Dannenberg;8.510;8.625;8.089;8.932
Dassel;Stadt;Northeim;11.779;11.537;10.277;10.223
Dedelstorf;Gemeinde;Gifhorn;1.460;1.562;1.300;1.248
Deensen;Gemeinde;Holzminden;1.713;1.651;1.465;1.388
Deinste;Gemeinde;Stade;1.732;2.117;2.040;1.999
Deinstedt;Gemeinde;Rotenburg (Wümme);658;677;669;658
Delligsen;Flecken;Holzminden;9.383;9.178;8.158;8.048
Delmenhorst;Kreisfreie Stadt;Delmenhorst;78.226;76.284;73.322;76.323
Denkte;Gemeinde;Wolfenbüttel;2.598;3.156;3.030;2.981
Derental;Gemeinde;Holzminden;775;750;629;583
Dersum;Gemeinde;Emsland;1.325;1.446;1.480;1.476
Detern;Flecken;Leer;2.322;2.547;2.659;2.735
Dettum;Gemeinde;Wolfenbüttel;1.443;1.361;1.155;1.231
Deutsch Evern;Gemeinde;Lüneburg;3.257;3.438;3.734;3.770
Dickel;Gemeinde;Diepholz;576;551;475;462
Didderse;Gemeinde;Gifhorn;1.222;1.317;1.320;1.311
Diekholzen;Gemeinde;Hildesheim;7.169;6.969;6.731;6.493
Dielmissen;Gemeinde;Holzminden;931;840;843;775
