Name;Status;Einwohner
;;Zensus
;;09.05.11
Ammerland;Landkreis;117.912
Aurich;Landkreis;187.136
Braunschweig;Stadtkreis;242.537
Celle;Landkreis;176.690
Cloppenburg;Landkreis;159.337
Cuxhaven;Landkreis;198.777
Delmenhorst;Stadtkreis;73.322
Diepholz;Landkreis;211.185
Emden;Stadtkreis;49.787
Emsland;Landkreis;311.089
Friesland;Landkreis;98.229
Gifhorn;Landkreis;171.333
Goslar;Landkreis;140.137
Göttingen;Landkreis;248.037
Grafschaft Bentheim;Landkreis;133.395
Hameln-Pyrmont;Landkreis;150.259
Harburg;Landkreis;238.443
Heidekreis (Soltau-Fallingbostel);Landkreis;136.693
Helmstedt;Landkreis;91.410
Hildesheim;Landkreis;277.595
Holzminden;Landkreis;73.548
Leer;Landkreis;163.832
Lüchow-Dannenberg;Landkreis;49.205
Lüneburg;Landkreis;174.123
Nienburg (Weser);Landkreis;122.241
Northeim;Landkreis;137.445
Oldenburg;Landkreis;125.015
Oldenburg Stadt;Stadtkreis;157.267
Osnabrück;Landkreis;350.147
Osnabrück Stadt;Stadtkreis;153.699
Osterholz;Landkreis;110.907
Osterode am Harz;Landkreis;76.785
Peine;Landkreis;130.398
Region Hannover;Landkreis;1.102.240
Rotenburg (Wümme);Landkreis;162.726
Salzgitter;Stadtkreis;98.895
Schaumburg;Landkreis;157.496
Stade;Landkreis;195.450
Uelzen;Landkreis;93.596
Vechta;Landkreis;132.293
Verden;Landkreis;132.300
Wesermarsch;Landkreis;90.033
Wilhelmshaven;Stadtkreis;77.451
Wittmund;Landkreis;56.839
Wolfenbüttel;Landkreis;120.774
Wolfsburg;Stadtkreis;119.984
Niedersachsen;Bundesland;7.777.992
