Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Aach;Siedlung;Trier-Saarburg;820
Abenheim;Siedlung;Worms;2.490
Adenau;Siedlung;Ahrweiler;2.830
Ahrbrück;Siedlung;Ahrweiler;1.200
Ailertchen;Siedlung;Westerwaldkreis;610
Albersweiler;Siedlung;Südliche Weinstraße;1.860
Albig;Siedlung;Alzey-Worms;1.640
Albisheim (Pfrimm);Siedlung;Donnersbergkreis;1.700
Albsheim;Siedlung;Bad Dürkheim;1.010
Alf;Siedlung;Cochem-Zell;690
Alflen;Siedlung;Cochem-Zell;790
Alken;Siedlung;Mayen-Koblenz;660
Allenbach;Siedlung;Birkenfeld;640
Allendorf;Siedlung;Rhein-Lahn-Kreis;650
Allenz;Siedlung;Mayen-Koblenz;1.280
Alpenrod;Siedlung;Westerwaldkreis;1.110
Alsbach;Siedlung;Westerwaldkreis;600
Alsdorf;Siedlung;Altenkirchen (Westerwald);1.520
Alsenbrück-Langmeil;Siedlung;Donnersbergkreis;760
Alsenz;Siedlung;Donnersbergkreis;1.650
Alsheim;Siedlung;Alzey-Worms;2.580
Altdorf;Siedlung;Südliche Weinstraße;720
Altenahr;Siedlung;Ahrweiler;660
Altenbamberg;Siedlung;Bad Kreuznach;670
Altenburg;Siedlung;Ahrweiler;530
Altendiez;Siedlung;Rhein-Lahn-Kreis;2.230
Altenglan;Siedlung;Kusel;2.380
Altenkirchen;Siedlung;Kusel;1.330
Altenkirchen (Westerwald);Siedlung;Altenkirchen (Westerwald);6.260
Althornbach;Siedlung;Südwestpfalz;680
Altleiningen;Siedlung;Bad Dürkheim;1.450
Altrich;Siedlung;Bernkastel-Wittlich;1.510
Altrip;Siedlung;Rhein-Pfalz-Kreis;7.250
Alzey;Siedlung;Alzey-Worms;14.100
Andel;Siedlung;Bernkastel-Wittlich;660
Andernach;Siedlung;Mayen-Koblenz;24.700
Anhausen;Siedlung;Neuwied;1.280
Annweiler am Trifels;Siedlung;Südliche Weinstraße;5.310
Antweiler;Siedlung;Ahrweiler;560
Appenheim;Siedlung;Mainz-Bingen;1.400
Argenthal;Siedlung;Rhein-Hunsrück-Kreis;1.650
Armsheim;Siedlung;Alzey-Worms;2.550
Arzbach;Siedlung;Rhein-Lahn-Kreis;1.620
Arzfeld;Siedlung;Bitburg-Prüm;1.110
Arzheim;Siedlung;Landau in der Pfalz;1.410
Asbach;Siedlung;Neuwied;3.200
Aspisheim;Siedlung;Mainz-Bingen;910
Atzelgift;Siedlung;Westerwaldkreis;630
Auderath;Siedlung;Cochem-Zell;590
Ayl;Siedlung;Trier-Saarburg;1.150
Baalborn;Siedlung;Kaiserslautern;580
Bacharach;Siedlung;Mainz-Bingen;1.650
Bad Bergzabern;Siedlung;Südliche Weinstraße;7.240
Bad Bertrich;Siedlung;Cochem-Zell;500
Bad Bodendorf;Siedlung;Ahrweiler;3.700
Bad Breisig;Siedlung;Ahrweiler;8.640
Bad Dürkheim;Siedlung;Bad Dürkheim;15.800
