Name;Status;Einwohner
;;Zensus
;;09.05.11
Ahrweiler;Landkreis;125.883
Altenkirchen (Westerwald);Landkreis;130.570
Alzey-Worms;Landkreis;125.112
Bad Dürkheim;Landkreis;131.085
Bad Kreuznach;Landkreis;155.599
Bernkastel-Wittlich;Landkreis;111.274
Birkenfeld;Landkreis;82.778
Bitburg-Prüm;Landkreis;95.775
Cochem-Zell;Landkreis;63.075
Donnersbergkreis;Landkreis;76.032
Frankenthal (Pfalz);Stadtkreis;46.415
Germersheim;Landkreis;123.913
Kaiserslautern;Landkreis;105.283
Kaiserslautern Stadt;Stadtkreis;96.340
Koblenz;Stadtkreis;107.825
Kusel;Landkreis;72.781
Landau in der Pfalz;Stadtkreis;43.361
Ludwigshafen am Rhein;Stadtkreis;157.584
Mainz;Stadtkreis;200.344
Mainz-Bingen;Landkreis;200.672
Mayen-Koblenz;Landkreis;210.307
Neustadt an der Weinstraße;Stadtkreis;52.164
Neuwied;Landkreis;180.674
Pirmasens;Stadtkreis;40.887
Rhein-Hunsrück-Kreis;Landkreis;103.436
Rhein-Lahn-Kreis;Landkreis;123.203
Rhein-Pfalz-Kreis;Landkreis;146.870
Speyer;Stadtkreis;49.540
Südliche Weinstraße;Landkreis;108.244
Südwestpfalz;Landkreis;98.426
Trier;Stadtkreis;105.671
Trier-Saarburg;Landkreis;143.273
Vulkaneifel;Landkreis;61.947
Westerwaldkreis;Landkreis;200.058
Worms;Stadtkreis;79.207
Zweibrücken;Stadtkreis;34.200
Rheinland-Pfalz;Bundesland;3.989.808
