Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Adorf/Vogtl.;Stadt;Vogtlandkreis;6.705;6.127;5.334;5.078
Altenberg;Stadt;Sächsische Schweiz-Osterzgebirge;11.184;10.115;8.496;8.211
Altmittweida;Gemeinde;Mittelsachsen;2.144;2.171;1.986;1.932
Amtsberg;Gemeinde;Erzgebirgskreis;4.069;4.349;3.923;3.779
Annaberg-Buchholz;Stadt;Erzgebirgskreis;25.980;24.103;21.105;20.426
Arnsdorf;Gemeinde;Bautzen;5.257;4.971;4.756;4.760
Arzberg;Gemeinde;Nordsachsen;2.535;2.405;2.063;1.982
Aue;Stadt;Erzgebirgskreis;21.617;19.124;16.981;16.349
Auerbach;Gemeinde;Erzgebirgskreis;3.235;3.154;2.744;2.569
Auerbach/Vogtl.;Stadt;Vogtlandkreis;24.166;22.268;19.604;18.893
Augustusburg;Stadt;Mittelsachsen;5.061;5.345;4.862;4.581
Bad Brambach;Gemeinde;Vogtlandkreis;2.477;2.416;2.091;1.941
Bad Düben;Stadt;Nordsachsen;9.243;9.111;8.093;7.956
Bad Elster;Stadt;Vogtlandkreis;4.526;4.210;3.761;3.692
Bad Gottleuba-Berggießhübel;Stadt;Sächsische Schweiz-Osterzgebirge;6.590;6.376;5.778;5.676
Bad Lausick;Stadt;Leipzig;9.118;9.096;8.370;8.090
Bad Muskau;Stadt;Görlitz;3.887;4.097;3.736;3.646
Bad Schandau;Stadt;Sächsische Schweiz-Osterzgebirge;5.361;4.668;4.022;3.761
Bad Schlema;Gemeinde;Erzgebirgskreis;6.234;5.737;5.057;4.848
Bahretal;Gemeinde;Sächsische Schweiz-Osterzgebirge;2.222;2.419;2.223;2.202
Bannewitz;Gemeinde;Sächsische Schweiz-Osterzgebirge;7.706;10.510;10.393;10.535
Bärenstein;Gemeinde;Erzgebirgskreis;3.026;2.875;2.467;2.415
Bautzen;Stadt;Bautzen;47.354;42.688;40.273;39.845
Beiersdorf;Gemeinde;Görlitz;1.398;1.350;1.233;1.135
Beilrode;Gemeinde;Nordsachsen;5.265;5.139;4.430;4.240
Belgern-Schildau;Stadt;Nordsachsen;9.458;9.162;8.247;7.889
Belgershain;Gemeinde;Leipzig;2.765;3.575;3.327;3.339
Bennewitz;Gemeinde;Leipzig;4.672;5.373;5.028;4.906
Bergen;Gemeinde;Vogtlandkreis;1.139;1.140;1.054;971
Bernsdorf;Gemeinde;Zwickau;2.484;2.621;2.403;2.224
Bernsdorf;Stadt;Bautzen;8.183;8.004;6.757;6.584
Bernstadt a.d. Eigen;Stadt;Görlitz;4.573;4.319;3.657;3.425
Bertsdorf-Hörnitz;Gemeinde;Görlitz;2.555;2.707;2.247;2.145
Bischofswerda;Stadt;Bautzen;14.390;13.613;11.940;11.573
Bobritzsch-Hilbersdorf;Gemeinde;Mittelsachsen;5.847;6.349;5.956;5.801
Bockau;Gemeinde;Erzgebirgskreis;2.878;2.736;2.433;2.322
Böhlen;Stadt;Leipzig;7.792;7.214;6.701;6.770
Borna;Stadt;Leipzig;25.486;23.858;19.784;19.672
Börnichen/Erzgeb.;Gemeinde;Erzgebirgskreis;1.033;1.117;984;984
Borsdorf;Gemeinde;Leipzig;6.166;8.060;8.202;8.252
Bösenbrunn;Gemeinde;Vogtlandkreis;1.395;1.489;1.256;1.184
Boxberg/O.L.;Gemeinde;Görlitz;7.186;6.089;4.956;4.752
Brand-Erbisdorf;Stadt;Mittelsachsen;13.097;12.050;10.290;9.785
Brandis;Stadt;Leipzig;7.714;9.905;9.407;9.426
Breitenbrunn/Erzgeb.;Gemeinde;Erzgebirgskreis;7.090;6.801;5.764;5.491
Bretnig-Hauswalde;Gemeinde;Bautzen;3.149;3.302;3.003;2.914
Burgstädt;Stadt;Mittelsachsen;12.689;12.508;11.230;10.774
Burkau;Gemeinde;Bautzen;3.003;3.043;2.759;2.665
Burkhardtsdorf;Gemeinde;Erzgebirgskreis;6.647;7.276;6.352;6.210
Callenberg;Gemeinde;Zwickau;5.624;5.764;5.274;5.078
Cavertitz;Gemeinde;Nordsachsen;2.802;2.669;2.358;2.260
Chemnitz;Kreisfreie Stadt;Chemnitz;288.268;255.798;240.253;248.645
Claußnitz;Gemeinde;Mittelsachsen;3.699;3.589;3.304;3.142
Colditz;Stadt;Leipzig;11.510;10.936;9.207;8.752
Coswig;Stadt;Meißen;24.955;23.435;20.689;20.831
Crimmitschau;Stadt;Zwickau;24.505;23.104;20.078;19.180
Crinitzberg;Gemeinde;Zwickau;2.473;2.415;2.085;1.977
Crostwitz;Gemeinde;Bautzen;1.169;1.134;1.058;1.017
Crottendorf;Gemeinde;Erzgebirgskreis;5.133;4.891;4.258;4.065
Cunewalde;Gemeinde;Bautzen;5.998;5.722;5.017;4.781
Dahlen;Stadt;Nordsachsen;5.263;5.276;4.586;4.270
Delitzsch;Stadt;Nordsachsen;29.853;28.735;25.361;24.850
Demitz-Thumitz;Gemeinde;Bautzen;3.386;3.196;2.844;2.704
Dennheritz;Gemeinde;Zwickau;1.487;1.469;1.388;1.322
Deutschneudorf;Gemeinde;Erzgebirgskreis;1.382;1.237;1.087;1.062
Diera-Zehren;Gemeinde;Meißen;3.822;3.945;3.453;3.352
Dippoldiswalde;Stadt;Sächsische Schweiz-Osterzgebirge;15.763;16.264;14.617;14.529
Döbeln;Stadt;Mittelsachsen;30.095;27.843;24.485;24.034
Doberschau-Gaußig;Gemeinde;Bautzen;4.576;5.034;4.306;4.228
Doberschütz;Gemeinde;Nordsachsen;4.235;4.626;4.194;4.100
Dohma;Gemeinde;Sächsische Schweiz-Osterzgebirge;1.779;2.124;1.986;1.939
Dohna;Stadt;Sächsische Schweiz-Osterzgebirge;5.175;6.134;6.107;6.299
Dommitzsch;Stadt;Nordsachsen;3.321;3.274;2.724;2.564
Dorfchemnitz;Gemeinde;Mittelsachsen;1.955;1.903;1.660;1.565
Dorfhain;Gemeinde;Sächsische Schweiz-Osterzgebirge;1.257;1.301;1.111;1.094
Drebach;Gemeinde;Erzgebirgskreis;6.233;6.113;5.661;5.323
Dreiheide;Gemeinde;Nordsachsen;2.373;2.616;2.184;2.130
Dresden;Kreisfreie Stadt;Dresden;495.424;478.631;512.354;543.825
Dürrhennersdorf;Gemeinde;Görlitz;1.231;1.276;1.076;1.006
Dürrröhrsdorf-Dittersbach;Gemeinde;Sächsische Schweiz-Osterzgebirge;5.218;4.977;4.343;4.212
Ebersbach;Gemeinde;Meißen;4.784;5.083;4.564;4.476
Ebersbach-Neugersdorf;Stadt;Görlitz;18.660;16.426;13.541;12.484
Ehrenfriedersdorf;Stadt;Erzgebirgskreis;5.753;5.520;4.943;4.805
Eibenstock;Stadt;Erzgebirgskreis;9.970;9.368;8.031;7.640
Eichigt;Gemeinde;Vogtlandkreis;1.471;1.445;1.298;1.217
Eilenburg;Stadt;Nordsachsen;20.389;18.378;15.794;15.452
Ellefeld;Gemeinde;Vogtlandkreis;3.326;3.259;2.792;2.578
Elsnig;Gemeinde;Nordsachsen;2.357;1.763;1.477;1.455
Elsterberg;Stadt;Vogtlandkreis;5.680;5.350;4.466;4.188
Elsterheide;Gemeinde;Bautzen;3.367;3.983;3.705;3.544
Elstertrebnitz;Gemeinde;Leipzig;1.229;1.522;1.322;1.283
Elstra;Stadt;Bautzen;3.243;3.229;2.876;2.840
Elterlein;Stadt;Erzgebirgskreis;3.520;3.435;3.096;2.923
Eppendorf;Gemeinde;Mittelsachsen;5.224;4.918;4.471;4.231
Erlau;Gemeinde;Mittelsachsen;3.711;3.695;3.355;3.256
Falkenstein/Vogtl.;Stadt;Vogtlandkreis;10.414;9.796;8.652;8.300
Flöha;Stadt;Mittelsachsen;14.318;13.866;11.532;10.967
Frankenberg/Sa.;Stadt;Mittelsachsen;17.874;17.541;15.022;14.462
Frankenthal;Gemeinde;Bautzen;1.066;1.093;1.001;950
Frauenstein;Stadt;Mittelsachsen;3.608;3.476;3.046;2.936
Fraureuth;Gemeinde;Zwickau;5.802;6.014;5.329;5.212
Freiberg;Stadt;Mittelsachsen;47.472;45.228;39.825;41.641
Freital;Stadt;Sächsische Schweiz-Osterzgebirge;39.368;39.937;38.388;39.734
Frohburg;Stadt;Leipzig;11.603;12.134;10.616;10.204
Gablenz;Gemeinde;Görlitz;1.772;1.964;1.720;1.619
Geithain;Stadt;Leipzig;7.320;6.821;5.770;5.439
Gelenau/Erzgeb.;Gemeinde;Erzgebirgskreis;5.382;5.021;4.419;4.271
Geringswalde;Stadt;Mittelsachsen;5.712;5.298;4.634;4.331
Gersdorf;Gemeinde;Zwickau;4.924;4.698;4.235;4.071
Geyer;Stadt;Erzgebirgskreis;4.555;4.295;3.797;3.582
Glashütte;Stadt;Sächsische Schweiz-Osterzgebirge;7.928;7.900;7.008;6.771
Glaubitz;Gemeinde;Meißen;2.033;2.014;2.111;2.170
Glauchau;Stadt;Zwickau;28.128;27.047;23.578;23.255
Göda;Gemeinde;Bautzen;3.461;3.564;3.203;3.084
Gohrisch;Gemeinde;Sächsische Schweiz-Osterzgebirge;2.191;2.276;2.033;1.985
Görlitz;Stadt;Görlitz;67.980;60.264;54.441;55.255
Gornau/Erzgeb.;Gemeinde;Erzgebirgskreis;3.805;4.110;3.817;3.835
Gornsdorf;Gemeinde;Erzgebirgskreis;2.309;2.333;2.097;1.994
Grimma;Stadt;Leipzig;33.718;33.129;29.271;28.480
Gröditz;Stadt;Meißen;10.550;9.588;7.917;7.409
Groitzsch;Stadt;Leipzig;8.609;8.776;7.782;7.626
Groß Düben;Gemeinde;Görlitz;1.304;1.461;1.147;1.088
Großdubrau;Gemeinde;Bautzen;4.894;4.902;4.362;4.239
Großenhain;Stadt;Meißen;23.153;22.134;18.797;18.352
Großharthau;Gemeinde;Bautzen;3.512;3.668;3.002;2.717
Großhartmannsdorf;Gemeinde;Mittelsachsen;3.089;2.954;2.629;2.532
Großnaundorf;Gemeinde;Bautzen;1.080;1.094;1.013;981
Großolbersdorf;Gemeinde;Erzgebirgskreis;3.260;3.318;2.974;2.892
Großpösna;Gemeinde;Leipzig;4.589;5.462;5.310;5.324
Großpostwitz/O.L.;Gemeinde;Bautzen;3.035;3.202;2.823;2.716
Großröhrsdorf;Stadt;Bautzen;7.449;7.561;6.695;6.631
Großrückerswalde;Gemeinde;Erzgebirgskreis;4.077;4.018;3.645;3.466
Großschirma;Stadt;Mittelsachsen;6.544;6.334;5.833;5.721
Großschönau;Gemeinde;Görlitz;7.694;7.099;5.929;5.589
Großschweidnitz;Gemeinde;Görlitz;1.543;1.488;1.333;1.345
Großweitzschen;Gemeinde;Mittelsachsen;3.960;3.582;2.954;2.806
Grünbach;Gemeinde;Vogtlandkreis;1.994;2.097;1.810;1.766
Grünhain-Beierfeld;Stadt;Erzgebirgskreis;6.732;6.746;6.165;6.021
Grünhainichen;Gemeinde;Erzgebirgskreis;4.542;4.232;3.681;3.519
Hähnichen;Gemeinde;Görlitz;1.562;1.593;1.363;1.276
Hainewalde;Gemeinde;Görlitz;1.831;1.860;1.616;1.526
Hainichen;Stadt;Mittelsachsen;10.633;9.888;8.892;8.711
Halsbrücke;Gemeinde;Mittelsachsen;5.628;5.783;5.346;5.190
Hartenstein;Stadt;Zwickau;5.154;5.198;4.816;4.669
Hartha;Stadt;Mittelsachsen;9.764;8.965;7.763;7.231
Hartmannsdorf;Gemeinde;Mittelsachsen;4.763;4.864;4.509;4.417
Hartmannsdorf b. Kirchberg;Gemeinde;Zwickau;1.369;1.496;1.398;1.350
Hartmannsdorf-Reichenau;Gemeinde;Sächsische Schweiz-Osterzgebirge;1.376;1.334;1.131;1.071
Haselbachtal;Gemeinde;Bautzen;4.837;4.857;4.208;4.073
Heidenau;Stadt;Sächsische Schweiz-Osterzgebirge;18.998;16.888;15.953;17.085
Heidersdorf;Gemeinde;Erzgebirgskreis;1.048;996;849;815
Heinsdorfergrund;Gemeinde;Vogtlandkreis;2.173;2.384;2.185;2.039
Hermsdorf/Erzgeb.;Gemeinde;Sächsische Schweiz-Osterzgebirge;1.154;1.085;859;815
Herrnhut;Stadt;Görlitz;7.769;7.248;6.325;6.097
Hirschfeld;Gemeinde;Zwickau;1.331;1.331;1.220;1.184
Hirschstein;Gemeinde;Meißen;2.591;2.566;2.219;2.072
Hochkirch;Gemeinde;Bautzen;2.703;2.613;2.420;2.322
Hohendubrau;Gemeinde;Görlitz;2.318;2.295;2.014;1.941
Hohenstein-Ernstthal;Stadt;Zwickau;17.576;17.132;15.476;14.866
Hohndorf;Gemeinde;Erzgebirgskreis;4.070;4.101;3.788;3.731
Hohnstein;Stadt;Sächsische Schweiz-Osterzgebirge;4.044;3.867;3.485;3.353
Horka;Gemeinde;Görlitz;2.219;2.188;1.877;1.789
Hoyerswerda;Stadt;Bautzen;60.595;47.917;36.107;33.843
Jahnsdorf/Erzgeb.;Gemeinde;Erzgebirgskreis;5.716;6.169;5.641;5.530
Jesewitz;Gemeinde;Nordsachsen;2.546;3.135;3.037;3.017
Johanngeorgenstadt;Stadt;Erzgebirgskreis;7.894;6.100;4.547;4.135
Jöhstadt;Stadt;Erzgebirgskreis;3.747;3.448;2.984;2.808
Jonsdorf;Gemeinde;Görlitz;1.904;1.978;1.724;1.583
Käbschütztal;Gemeinde;Meißen;3.107;3.067;2.772;2.787
Kamenz;Stadt;Bautzen;18.906;18.848;15.582;15.202
Kirchberg;Stadt;Zwickau;11.123;10.139;8.737;8.505
Kitzscher;Stadt;Leipzig;8.304;6.666;5.364;5.034
Klingenberg (Pretzschendorf - Höckendorf);Gemeinde;Sächsische Schweiz-Osterzgebirge;8.243;7.942;7.029;6.843
Klingenthal;Stadt;Vogtlandkreis;12.821;11.359;9.386;8.783
Klipphausen;Gemeinde;Meißen;9.973;11.018;10.219;10.283
Kodersdorf;Gemeinde;Görlitz;2.827;2.733;2.557;2.535
Kohren-Sahlis;Stadt;Leipzig;3.297;3.187;2.822;2.611
Königsbrück;Stadt;Bautzen;5.256;4.923;4.351;4.429
