Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Adorf/Erzgebirge;Siedlung;Erzgebirgskreis;1.760
Adorf/Vogtl.;Siedlung;Vogtlandkreis;4.430
Albernau;Siedlung;Erzgebirgskreis;1.100
Alberoda;Siedlung;Erzgebirgskreis;1.060
Albrechtshain;Siedlung;Leipzig;770
Altenbach;Siedlung;Leipzig;800
Altenberg;Siedlung;Sächsische Schweiz-Osterzgebirge;2.030
Altenhain;Siedlung;Leipzig;850
Althen;Siedlung;Leipzig Stadt;1.550
Altmittweida;Siedlung;Mittelsachsen;1.950
Am Bahnhof Klingenberg;Siedlung;Sächsische Schweiz-Osterzgebirge;770
Ammelshain;Siedlung;Leipzig;1.030
Amtsberg (Dittersdorf - Weißbach);Siedlung;Erzgebirgskreis;3.300
Annaberg-Buchholz;Siedlung;Erzgebirgskreis;21.000
Ansprung;Siedlung;Erzgebirgskreis;640
Antonsthal;Siedlung;Erzgebirgskreis;520
Arnsdorf;Siedlung;Bautzen;2.820
Arnsfeld;Siedlung;Erzgebirgskreis;1.080
Arzberg;Siedlung;Nordsachsen;590
Audenhain;Siedlung;Nordsachsen;850
Aue;Siedlung;Erzgebirgskreis;15.900
Auerbach;Siedlung;Erzgebirgskreis;2.740
Auerbach/Vogtl.;Siedlung;Vogtlandkreis;17.200
Augustusburg;Siedlung;Mittelsachsen;2.030
Bad Brambach;Siedlung;Vogtlandkreis;1.060
Bad Düben;Siedlung;Nordsachsen;5.890
Bad Elster;Siedlung;Vogtlandkreis;2.430
Bad Gottleuba;Siedlung;Sächsische Schweiz-Osterzgebirge;1.350
Bad Lausick;Siedlung;Leipzig;5.210
Bad Muskau (Mu_akow);Siedlung;Görlitz;3.350
Bad Schandau;Siedlung;Sächsische Schweiz-Osterzgebirge;2.120
Bad Schlema;Siedlung;Erzgebirgskreis;4.380
Bannewitz;Siedlung;Sächsische Schweiz-Osterzgebirge;4.160
Bärenstein;Siedlung;Erzgebirgskreis;2.080
Bärenstein;Siedlung;Sächsische Schweiz-Osterzgebirge;850
Bärenwalde;Siedlung;Zwickau;840
Bärnsdorf;Siedlung;Meißen;600
Bautzen (Budy_in);Siedlung;Bautzen;35.600
Beckwitz;Siedlung;Nordsachsen;520
Beerendorf;Siedlung;Nordsachsen;560
Beerheide;Siedlung;Vogtlandkreis;620
Beierfeld;Siedlung;Erzgebirgskreis;3.470
Beiersdorf;Siedlung;Görlitz;990
Beiersdorf;Siedlung;Zwickau;660
Beilrode;Siedlung;Nordsachsen;2.170
Belgern;Siedlung;Nordsachsen;2.600
Belgershain;Siedlung;Leipzig;1.000
Bennewitz;Siedlung;Leipzig;2.130
Bergen;Siedlung;Vogtlandkreis;970
Berggießhübel;Siedlung;Sächsische Schweiz-Osterzgebirge;1.590
Bernsbach;Siedlung;Erzgebirgskreis;4.360
Bernsdorf;Siedlung;Zwickau;2.380
Bernsdorf;Siedlung;Bautzen;4.700
