Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Ahlsdorf;Gemeinde;Mansfeld-Südharz;2.031;1.967;1.721;1.583
Aken (Elbe);Stadt;Anhalt-Bitterfeld;10.186;9.565;8.238;7.799
Aland;Gemeinde;Stendal;2.046;1.837;1.553;1.426
Allstedt;Stadt;Mansfeld-Südharz;9.753;9.403;8.377;7.985
Alsleben (Saale);Stadt;Salzlandkreis;2.893;2.899;2.586;2.526
Altenhausen;Gemeinde;Börde;1.377;1.340;1.145;1.120
Altmärkische Höhe;Gemeinde;Stendal;2.549;2.459;2.024;1.899
Altmärkische Wische;Gemeinde;Stendal;1.277;1.139;966;850
Am Großen Bruch;Gemeinde;Börde;2.806;2.638;2.315;2.139
An der Poststraße;Gemeinde;Burgenlandkreis;2.117;1.954;1.768;1.698
Angern;Gemeinde;Börde;2.266;2.350;2.075;2.025
Annaburg;Stadt;Wittenberg;9.301;8.666;7.388;6.932
Apenburg-Winterfeld;Flecken;Altmarkkreis Salzwedel;2.077;2.121;1.782;1.735
Arendsee (Altmark);Stadt;Altmarkkreis Salzwedel;8.311;8.210;7.280;6.929
Arneburg;Stadt;Stendal;1.847;1.906;1.639;1.528
Arnstein;Stadt;Mansfeld-Südharz;8.742;8.507;7.355;6.831
Aschersleben;Stadt;Salzlandkreis;36.708;33.595;28.540;27.793
Ausleben;Gemeinde;Börde;2.145;2.033;1.755;1.669
Bad Bibra;Stadt;Burgenlandkreis;3.271;3.310;2.928;2.783
Bad Dürrenberg;Stadt;Saalekreis;13.870;13.624;12.033;11.763
Bad Lauchstädt;Stadt;Saalekreis;9.501;9.955;9.149;8.817
Bad Schmiedeberg;Stadt;Wittenberg;10.597;10.175;8.811;8.475
Balgstädt;Gemeinde;Burgenlandkreis;1.402;1.390;1.186;1.143
Ballenstedt;Stadt;Harz;11.465;10.925;9.645;9.130
Barby;Stadt;Salzlandkreis;11.201;10.768;9.169;8.665
Barleben;Gemeinde;Börde;5.899;9.049;8.946;9.229
Barnstädt;Gemeinde;Saalekreis;1.338;1.275;1.087;1.003
Beendorf;Gemeinde;Börde;855;902;922;931
Beetzendorf;Gemeinde;Altmarkkreis Salzwedel;3.784;3.741;3.313;3.236
Benndorf;Gemeinde;Mansfeld-Südharz;2.563;2.549;2.198;2.117
Berga;Gemeinde;Mansfeld-Südharz;2.028;1.989;1.791;1.738
Bernburg (Saale);Stadt;Salzlandkreis;42.502;40.104;35.016;33.920
Biederitz;Gemeinde;Jerichower Land;7.531;8.834;8.494;8.479
Bismark (Altmark);Stadt;Stendal;10.262;10.248;9.012;8.418
Bitterfeld-Wolfen;Stadt;Anhalt-Bitterfeld;67.060;55.200;43.301;40.480
Blankenburg (Harz);Stadt;Harz;25.915;24.324;21.118;20.294
Blankenheim;Gemeinde;Mansfeld-Südharz;1.371;1.423;1.332;1.222
Bördeaue;Gemeinde;Salzlandkreis;2.281;2.268;1.908;1.839
Börde-Hakel;Gemeinde;Salzlandkreis;4.157;3.928;3.305;3.104
Bördeland;Gemeinde;Salzlandkreis;8.791;9.013;8.000;7.641
Borne;Gemeinde;Salzlandkreis;1.396;1.428;1.284;1.250
Bornstedt;Gemeinde;Mansfeld-Südharz;1.095;1.009;845;820
Braunsbedra;Stadt;Saalekreis;12.810;12.770;11.636;11.167
Brücken-Hackpfüffel;Gemeinde;Mansfeld-Südharz;1.225;1.244;1.076;1.015
Bülstringen;Gemeinde;Börde;960;1.008;919;880
Burg;Stadt;Jerichower Land;29.442;26.799;23.153;22.970
Burgstall;Gemeinde;Börde;1.859;1.858;1.629;1.531
Calbe (Saale);Stadt;Salzlandkreis;13.118;12.081;9.578;8.994
Calvörde;Gemeinde;Börde;4.015;4.090;3.662;3.488
Colbitz;Gemeinde;Börde;3.049;3.411;3.246;3.320
Coswig (Anhalt);Stadt;Wittenberg;15.823;15.223;12.780;12.184
Dähre;Gemeinde;Altmarkkreis Salzwedel;1.883;1.853;1.541;1.474
Dessau-Roßlau;Kreisfreie Stadt;Dessau-Roßlau;107.698;97.627;86.030;82.919
Diesdorf;Flecken;Altmarkkreis Salzwedel;2.664;2.668;2.474;2.385
Ditfurt;Gemeinde;Harz;1.933;1.883;1.647;1.544
Droyßig;Gemeinde;Burgenlandkreis;2.365;2.413;2.071;2.016
Eckartsberga;Stadt;Burgenlandkreis;2.759;2.661;2.409;2.449
Edersleben;Gemeinde;Mansfeld-Südharz;981;1.241;1.050;1.006
Egeln;Stadt;Salzlandkreis;4.698;4.280;3.606;3.394
Eichstedt (Altmark);Gemeinde;Stendal;1.077;1.147;950;892
Eilsleben;Gemeinde;Börde;4.247;4.247;3.879;3.848
Eisleben;Stadt;Mansfeld-Südharz;31.882;29.184;24.627;24.198
Elbe-Parey;Gemeinde;Jerichower Land;8.349;8.137;7.049;6.958
Elsteraue;Gemeinde;Burgenlandkreis;10.677;10.337;8.894;8.452
Erxleben;Gemeinde;Börde;3.463;3.411;2.998;2.889
Falkenstein/Harz;Stadt;Harz;6.471;6.620;5.782;5.510
Farnstädt;Gemeinde;Saalekreis;1.914;1.829;1.630;1.487
Finne;Gemeinde;Burgenlandkreis;1.484;1.440;1.271;1.186
Finneland;Gemeinde;Burgenlandkreis;1.482;1.392;1.152;1.092
Flechtingen;Gemeinde;Börde;3.079;3.060;2.802;2.857
Freyburg (Unstrut);Stadt;Burgenlandkreis;5.674;5.480;4.938;4.735
Gardelegen;Stadt;Altmarkkreis Salzwedel;29.240;26.324;23.568;23.148
Genthin;Stadt;Jerichower Land;19.805;18.486;15.036;14.610
Gerbstedt;Stadt;Mansfeld-Südharz;9.873;9.386;8.022;7.462
Giersleben;Gemeinde;Salzlandkreis;1.347;1.279;1.084;1.039
Gleina;Gemeinde;Burgenlandkreis;1.570;1.506;1.303;1.266
Goldbeck;Gemeinde;Stendal;1.710;1.726;1.502;1.449
Gommern;Stadt;Jerichower Land;12.452;12.587;10.919;10.540
Goseck;Gemeinde;Burgenlandkreis;1.175;1.199;1.034;1.018
Gräfenhainichen;Stadt;Wittenberg;17.807;15.601;12.975;11.944
Gröningen;Stadt;Börde;4.579;4.339;3.712;3.621
Groß Quenstedt;Gemeinde;Harz;1.096;1.065;979;931
Güsten;Stadt;Salzlandkreis;5.427;5.174;4.475;4.298
Gutenborn;Gemeinde;Burgenlandkreis;2.179;2.127;1.921;1.821
Halberstadt;Stadt;Harz;48.258;45.749;40.708;43.768
Haldensleben;Stadt;Börde;22.732;21.914;19.477;19.439
Halle (Saale);Kreisfreie Stadt;Halle (Saale);282.784;243.045;229.153;236.991
Harbke;Gemeinde;Börde;1.648;1.941;1.628;1.896
Harsleben;Gemeinde;Harz;1.966;2.383;2.210;2.180
Harzgerode;Stadt;Harz;11.061;10.213;8.656;8.068
Hassel;Gemeinde;Stendal;876;1.081;967;950
Havelberg;Stadt;Stendal;8.767;7.967;6.950;6.619
Hecklingen;Stadt;Salzlandkreis;8.191;8.444;7.474;7.185
Hedersleben;Gemeinde;Harz;1.827;1.759;1.467;1.353
Helbra;Gemeinde;Mansfeld-Südharz;5.401;4.984;4.257;4.080
Hergisdorf;Gemeinde;Mansfeld-Südharz;2.071;1.963;1.702;1.592
Hettstedt;Stadt;Mansfeld-Südharz;20.707;18.516;15.196;14.533
Hohe Börde;Gemeinde;Börde;15.617;19.282;18.133;18.168
Hohenberg-Krusemark;Gemeinde;Stendal;1.444;1.537;1.296;1.236
Hohenmölsen;Stadt;Burgenlandkreis;13.645;12.452;10.332;9.822
Hötensleben;Gemeinde;Börde;4.841;4.606;3.763;3.655
Huy;Gemeinde;Harz;9.766;9.249;7.824;7.340
Iden;Gemeinde;Stendal;1.435;1.232;955;847
Ilberstedt;Gemeinde;Salzlandkreis;1.478;1.290;1.124;1.050
Ilsenburg (Harz);Stadt;Harz;9.930;10.201;9.588;9.475
Ingersleben;Gemeinde;Börde;1.818;1.706;1.462;1.373
Jerichow;Stadt;Jerichower Land;8.551;8.546;7.343;7.019
Jessen (Elster);Stadt;Wittenberg;18.486;17.170;14.620;14.215
Jübar;Gemeinde;Altmarkkreis Salzwedel;1.927;1.906;1.742;1.660
Kabelsketal;Gemeinde;Saalekreis;7.247;9.027;8.824;8.767
Kaiserpfalz;Gemeinde;Burgenlandkreis;2.208;2.108;1.697;1.585
Kalbe (Milde);Stadt;Altmarkkreis Salzwedel;10.082;9.438;8.078;7.787
Kamern;Gemeinde;Stendal;1.550;1.488;1.286;1.212
Karsdorf;Gemeinde;Burgenlandkreis;2.784;2.348;1.945;1.655
Kelbra (Kyffhäuser);Stadt;Mansfeld-Südharz;4.144;4.145;3.658;3.453
Kemberg;Stadt;Wittenberg;12.870;12.457;10.603;9.954
Klietz;Gemeinde;Stendal;2.274;2.069;1.627;2.484
Klostermansfeld;Gemeinde;Mansfeld-Südharz;3.170;2.965;2.559;2.415
Klötze;Stadt;Altmarkkreis Salzwedel;12.808;12.165;10.558;10.284
Könnern;Stadt;Salzlandkreis;10.843;10.537;9.114;8.603
Köthen (Anhalt);Stadt;Anhalt-Bitterfeld;33.878;32.342;27.565;26.519
Kretzschau;Gemeinde;Burgenlandkreis;3.067;3.034;2.725;2.505
Kroppenstedt;Stadt;Börde;1.788;1.751;1.520;1.448
Kuhfelde;Gemeinde;Altmarkkreis Salzwedel;1.172;1.252;1.171;1.138
Landsberg;Stadt;Saalekreis;13.874;16.850;15.274;14.996
Lanitz-Hassel-Tal;Gemeinde;Burgenlandkreis;1.478;1.365;1.182;1.131
Laucha an der Unstrut;Stadt;Burgenlandkreis;3.953;3.715;3.133;2.969
Leuna;Stadt;Saalekreis;16.703;15.817;14.138;13.832
Loitsche-Heinrichsberg;Gemeinde;Börde;1.251;1.149;1.002;955
Lützen;Stadt;Burgenlandkreis;10.082;9.998;9.164;8.625
Magdeburg;Kreisfreie Stadt;Magdeburg;258.656;229.755;228.144;235.723
Mansfeld;Stadt;Mansfeld-Südharz;12.096;11.381;9.606;9.089
Meineweh (Anhalt Süd);Gemeinde;Burgenlandkreis;1.174;1.170;1.079;1.075
Merseburg;Stadt;Saalekreis;43.811;39.277;33.880;34.052
Mertendorf;Gemeinde;Burgenlandkreis;1.922;1.865;1.745;1.662
Möckern;Stadt;Jerichower Land;15.608;15.592;13.728;12.980
Molauer Land;Gemeinde;Burgenlandkreis;1.523;1.420;1.144;1.055
Möser;Gemeinde;Jerichower Land;6.606;8.474;8.127;8.137
Mücheln (Geiseltal);Stadt;Saalekreis;11.181;10.474;9.249;9.057
Muldestausee;Gemeinde;Anhalt-Bitterfeld;13.001;13.455;12.058;11.899
Naumburg (Saale);Stadt;Burgenlandkreis;37.806;37.265;33.228;33.012
Nebra (Unstrut);Stadt;Burgenlandkreis;4.348;4.068;3.527;3.349
Nemsdorf-Göhrendorf;Gemeinde;Saalekreis;1.035;1.036;902;855
Niedere Börde;Gemeinde;Börde;7.017;7.850;7.237;7.066
Nienburg (Saale);Stadt;Salzlandkreis;8.595;8.021;6.964;6.460
Nordharz;Gemeinde;Harz;8.811;8.852;8.164;7.867
Oberharz am Brocken;Stadt;Harz;15.520;14.556;11.686;10.771
Obhausen;Gemeinde;Saalekreis;2.775;2.740;2.423;2.261
Oebisfelde-Weferlingen;Stadt;Börde;15.443;15.465;13.838;13.916
Oranienbaum-Wörlitz;Stadt;Wittenberg;10.135;9.976;8.624;8.980
Oschersleben (Bode);Stadt;Börde;24.815;23.694;20.588;19.883
Osterburg (Altmark);Stadt;Stendal;13.666;12.739;10.611;10.076
Osterfeld;Stadt;Burgenlandkreis;3.271;3.082;2.626;2.490
Osternienburger Land;Gemeinde;Anhalt-Bitterfeld;10.577;10.469;9.238;8.867
Osterwieck;Stadt;Harz;13.771;13.352;11.711;11.292
Petersberg;Gemeinde;Saalekreis;9.842;11.175;10.097;9.677
Plötzkau;Gemeinde;Salzlandkreis;1.636;1.596;1.380;1.326
Quedlinburg;Stadt;Harz;31.515;29.767;25.915;24.555
Querfurt;Stadt;Saalekreis;14.663;13.622;11.526;10.984
Raguhn-Jeßnitz;Stadt;Anhalt-Bitterfeld;10.595;10.979;9.684;9.493
Rochau;Gemeinde;Stendal;1.240;1.309;1.123;1.025
Rogätz;Gemeinde;Börde;2.230;2.289;2.194;2.148
Rohrberg;Gemeinde;Altmarkkreis Salzwedel;1.289;1.303;1.125;1.103
Salzatal;Gemeinde;Saalekreis;10.471;13.686;12.080;11.566
Salzwedel;Stadt;Altmarkkreis Salzwedel;29.015;28.314;24.693;24.410
Sandau (Elbe);Stadt;Stendal;1.049;1.044;945;881
Sandersdorf-Brehna;Stadt;Anhalt-Bitterfeld;17.459;17.536;15.183;14.478
Sangerhausen;Stadt;Mansfeld-Südharz;38.952;34.534;28.878;27.752
Schkopau;Gemeinde;Saalekreis;10.733;12.100;11.236;10.935
Schnaudertal;Gemeinde;Burgenlandkreis;1.163;1.115;977;972
Schollene;Gemeinde;Stendal;1.385;1.444;1.304;1.220
Schönburg;Gemeinde;Burgenlandkreis;1.150;1.164;1.039;1.070
Schönebeck (Elbe);Stadt;Salzlandkreis;40.765;38.226;32.592;31.366
Schönhausen (Elbe);Gemeinde;Stendal;2.700;2.642;2.317;2.147
Schraplau;Stadt;Saalekreis;1.593;1.448;1.184;1.142
Schwanebeck;Stadt;Harz;2.965;2.966;2.623;2.515
Seegebiet Mansfelder Land;Gemeinde;Mansfeld-Südharz;11.145;10.992;9.667;9.132
Seehausen (Altmark);Stadt;Stendal;6.639;6.289;5.307;5.033
Seeland;Stadt;Salzlandkreis;11.395;10.464;8.808;8.257
Selke-Aue;Gemeinde;Harz;1.858;1.787;1.522;1.435
Sommersdorf;Gemeinde;Börde;1.638;1.623;1.461;1.419
Staßfurt;Stadt;Salzlandkreis;37.265;34.246;28.054;26.634
Steigra;Gemeinde;Saalekreis;1.495;1.429;1.266;1.159
Stendal;Stadt;Stendal;52.616;47.315;40.959;40.269
Stößen;Stadt;Burgenlandkreis;1.070;1.101;967;906
