Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Abbenrode;Siedlung;Harz;880
Abtsdorf;Siedlung;Wittenberg;1.000
Aderstedt;Siedlung;Salzlandkreis;510
Ahlsdorf;Siedlung;Mansfeld-Südharz;1.640
Aken (Elbe);Siedlung;Anhalt-Bitterfeld;7.460
Allrode;Siedlung;Harz;630
Allstedt;Siedlung;Mansfeld-Südharz;2.920
Alsleben (Saale);Siedlung;Salzlandkreis;2.360
Altenweddingen;Siedlung;Börde;2.170
Amesdorf;Siedlung;Salzlandkreis;510
Anderbeck;Siedlung;Harz;570
Angern;Siedlung;Börde;1.200
Angersdorf - Beuchlitz - Holleben;Siedlung;Saalekreis;2.450
Annaburg;Siedlung;Wittenberg;2.730
Apenburg;Siedlung;Altmarkkreis Salzwedel;730
Arendsee (Altmark);Siedlung;Altmarkkreis Salzwedel;2.510
Arneburg;Siedlung;Stendal;1.490
Arnstedt;Siedlung;Mansfeld-Südharz;530
Aschersleben;Siedlung;Salzlandkreis;23.300
Aspenstedt;Siedlung;Harz;500
Atzendorf;Siedlung;Salzlandkreis;1.400
Augsdorf;Siedlung;Mansfeld-Südharz;550
Ausleben;Siedlung;Börde;1.130
Baalberge;Siedlung;Salzlandkreis;1.180
Bad Bibra;Siedlung;Burgenlandkreis;1.670
Bad Dürrenberg;Siedlung;Saalekreis;10.100
Badeborn;Siedlung;Harz;1.110
Badersleben;Siedlung;Harz;970
Bad Kösen;Siedlung;Burgenlandkreis;3.680
Bad Lauchstädt;Siedlung;Saalekreis;4.280
Bad Schmiedeberg;Siedlung;Wittenberg;2.690
Bahrendorf;Siedlung;Börde;850
Balgstädt;Siedlung;Burgenlandkreis;580
Ballenstedt;Siedlung;Harz;6.210
Barby (Elbe);Siedlung;Salzlandkreis;3.960
Barleben;Siedlung;Börde;5.770
Barneberg;Siedlung;Börde;650
Barnstädt;Siedlung;Saalekreis;1.050
Bebertal;Siedlung;Börde;1.510
Beendorf;Siedlung;Börde;830
Beesenlaublingen;Siedlung;Salzlandkreis;750
Beesenstedt;Siedlung;Saalekreis;860
Beetzendorf;Siedlung;Altmarkkreis Salzwedel;1.580
Behnsdorf;Siedlung;Börde;630
Belleben;Siedlung;Salzlandkreis;620
Benndorf;Siedlung;Mansfeld-Südharz;2.140
Benneckenstein (Harz);Siedlung;Harz;1.950
Bennstedt;Siedlung;Saalekreis;1.430
Bennungen;Siedlung;Mansfeld-Südharz;850
Benzingerode;Siedlung;Harz;980
Berga;Siedlung;Mansfeld-Südharz;1.270
Bergwitz;Siedlung;Wittenberg;1.310
Bergzow;Siedlung;Jerichower Land;600
Bernburg (Saale);Siedlung;Salzlandkreis;27.200
Berßel;Siedlung;Harz;680
Beyendorf-Sohlen;Siedlung;Magdeburg;1.120
Beyernaumburg;Siedlung;Mansfeld-Südharz;730
Biederitz;Siedlung;Jerichower Land;4.650
Biendorf - Wohlsdorf;Siedlung;Salzlandkreis;1.040
