Name;Status;Einwohner
;;Zensus
;;09.05.11
Altmarkkreis Salzwedel;Landkreis;88.241
Anhalt-Bitterfeld;Landkreis;172.127
Bšrde;Landkreis;176.048
Burgenlandkreis;Landkreis;189.729
Dessau-Ro§lau;Stadtkreis;86.030
Halle (Saale);Stadtkreis;229.153
Harz;Landkreis;226.495
Jerichower Land;Landkreis;93.849
Magdeburg;Stadtkreis;228.144
Mansfeld-SŸdharz;Landkreis;147.887
Saalekreis;Landkreis;191.681
Salzlandkreis;Landkreis;205.458
Stendal;Landkreis;119.204
Wittenberg;Landkreis;132.994
Sachsen-Anhalt;Bundesland;2.287.040
