Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Aasbüttel;Gemeinde;Steinburg;94;93;116;130
Achterwehr;Gemeinde;Rendsburg-Eckernförde;838;897;982;966
Achtrup;Gemeinde;Nordfriesland;1.394;1.518;1.510;1.458
Aebtissinwisch;Gemeinde;Steinburg;67;72;64;58
Agethorst;Gemeinde;Steinburg;170;200;210;198
Ahlefeld-Bistensee;Gemeinde;Rendsburg-Eckernförde;412;442;483;496
Ahneby;Gemeinde;Schleswig-Flensburg;226;229;227;196
Ahrensbök;Gemeinde;Ostholstein;7.758;8.515;8.417;8.297
Ahrensburg;Stadt;Stormarn;28.454;29.704;31.380;32.606
Ahrenshöft;Gemeinde;Nordfriesland;455;518;515;526
Ahrenviöl;Gemeinde;Nordfriesland;499;521;519;517
Ahrenviölfeld;Gemeinde;Nordfriesland;247;270;235;245
Albersdorf;Gemeinde;Dithmarschen;3.528;3.614;3.533;3.482
Albsfelde;Gemeinde;Herzogtum Lauenburg;67;56;67;76
Alkersum;Gemeinde;Nordfriesland;415;445;418;420
Almdorf;Gemeinde;Nordfriesland;464;529;558;561
Alt Bennebek;Gemeinde;Schleswig-Flensburg;317;316;360;330
Alt Duvenstedt;Gemeinde;Rendsburg-Eckernförde;1.607;1.856;1.860;1.888
Altenhof;Gemeinde;Rendsburg-Eckernförde;302;280;308;312
Altenholz;Gemeinde;Rendsburg-Eckernförde;9.493;9.949;9.815;9.901
Altenkrempe;Gemeinde;Ostholstein;1.090;1.159;1.039;1.102
Altenmoor;Gemeinde;Steinburg;237;265;234;228
Alt Mölln;Gemeinde;Herzogtum Lauenburg;833;827;853;896
Alveslohe;Gemeinde;Segeberg;2.316;2.466;2.597;2.717
Ammersbek;Gemeinde;Stormarn;8.613;9.155;9.606;9.721
Appen;Gemeinde;Pinneberg;4.914;5.466;4.899;4.854
Arkebek;Gemeinde;Dithmarschen;210;236;227;206
Arlewatt;Gemeinde;Nordfriesland;303;356;334;332
Armstedt;Gemeinde;Segeberg;374;402;394;393
Arnis;Stadt;Schleswig-Flensburg;377;304;320;279
Arpsdorf;Gemeinde;Rendsburg-Eckernförde;229;248;269;274
Ascheberg (Holstein);Gemeinde;Plön;2.566;3.070;3.144;2.989
Ascheffel;Gemeinde;Rendsburg-Eckernförde;838;1.004;993;1.012
Aukrug;Gemeinde;Rendsburg-Eckernförde;3.481;3.814;3.733;3.770
Aumühle;Gemeinde;Herzogtum Lauenburg;3.147;3.051;3.162;3.156
Ausacker;Gemeinde;Schleswig-Flensburg;533;567;520;524
Auufer;Gemeinde;Steinburg;139;131;150;143
Aventoft;Gemeinde;Nordfriesland;555;490;473;455
Averlak;Gemeinde;Dithmarschen;664;646;615;584
Bad Bramstedt;Stadt;Segeberg;11.275;12.890;13.605;13.906
Badendorf;Gemeinde;Stormarn;727;786;782;827
Bad Oldesloe;Stadt;Stormarn;23.072;23.638;24.263;24.938
Bad Schwartau;Stadt;Ostholstein;19.972;20.120;19.436;19.945
Bad Segeberg;Stadt;Segeberg;15.595;16.103;16.592;17.176
Bahrenfleth;Gemeinde;Steinburg;573;609;590;569
Bahrenhof;Gemeinde;Segeberg;175;205;202;223
Bäk;Gemeinde;Herzogtum Lauenburg;728;785;857;881
Bälau;Gemeinde;Herzogtum Lauenburg;239;251;248;234
Bargenstedt;Gemeinde;Dithmarschen;903;928;921;917
Bargfeld-Stegen;Gemeinde;Stormarn;2.267;2.591;2.820;2.899
Bargstall;Gemeinde;Rendsburg-Eckernförde;130;164;144;141
Bargstedt;Gemeinde;Rendsburg-Eckernförde;702;776;729;708
Bargteheide;Stadt;Stormarn;12.279;13.793;15.164;16.029
Bargum;Gemeinde;Nordfriesland;594;615;604;612
Bark;Gemeinde;Segeberg;916;961;987;1.003
Barkelsby;Gemeinde;Rendsburg-Eckernförde;1.505;1.585;1.450;1.501
Barkenholm;Gemeinde;Dithmarschen;187;206;171;168
Barlt;Gemeinde;Dithmarschen;862;881;806;802
Barmissen;Gemeinde;Plön;192;184;154;146
Barmstedt;Stadt;Pinneberg;9.297;9.400;9.792;10.184
Barnitz;Gemeinde;Stormarn;679;805;839;855
Barsbek;Gemeinde;Plön;562;651;544;550
Barsbüttel;Gemeinde;Stormarn;10.823;12.196;11.850;12.477
Basedow;Gemeinde;Herzogtum Lauenburg;525;661;646;651
Basthorst;Gemeinde;Herzogtum Lauenburg;402;398;396;415
Bebensee;Gemeinde;Segeberg;546;580;622;613
Behlendorf;Gemeinde;Herzogtum Lauenburg;370;330;382;399
Behrendorf;Gemeinde;Nordfriesland;536;605;579;570
Behrensdorf (Ostsee);Gemeinde;Plön;588;589;628;615
Beidenfleth;Gemeinde;Steinburg;910;948;857;846
Bekdorf;Gemeinde;Steinburg;77;86;107;99
Bekmünde;Gemeinde;Steinburg;168;172;156;155
Belau;Gemeinde;Plön;350;318;364;385
Beldorf;Gemeinde;Rendsburg-Eckernförde;337;308;295;254
Bendfeld;Gemeinde;Plön;194;236;222;210
Bendorf;Gemeinde;Rendsburg-Eckernförde;472;492;469;451
Bergenhusen;Gemeinde;Schleswig-Flensburg;739;742;722;704
Bergewöhrden;Gemeinde;Dithmarschen;30;32;34;35
Beringstedt;Gemeinde;Rendsburg-Eckernförde;753;751;716;727
Berkenthin;Gemeinde;Herzogtum Lauenburg;1.663;1.857;2.075;2.075
Beschendorf;Gemeinde;Ostholstein;526;522;528;503
Besdorf;Gemeinde;Steinburg;213;223;253;236
Besenthal;Gemeinde;Herzogtum Lauenburg;87;75;80;88
Bevern;Gemeinde;Pinneberg;487;551;612;591
Bilsen;Gemeinde;Pinneberg;649;679;759;762
Bimöhlen;Gemeinde;Segeberg;804;944;915;954
Bissee;Gemeinde;Rendsburg-Eckernförde;193;172;173;169
Blekendorf;Gemeinde;Plön;1.711;1.832;1.766;1.741
Bliestorf;Gemeinde;Herzogtum Lauenburg;570;643;689;626
Blomesche Wildnis;Gemeinde;Steinburg;604;697;685;682
Blumenthal;Gemeinde;Rendsburg-Eckernförde;709;709;703;700
Blunk;Gemeinde;Segeberg;472;541;631;574
Böel;Gemeinde;Schleswig-Flensburg;712;755;746;738
Bohmstedt;Gemeinde;Nordfriesland;708;751;733;750
Böhnhusen;Gemeinde;Rendsburg-Eckernförde;336;344;307;291
Bokel;Gemeinde;Pinneberg;527;652;628;628
Bokel;Gemeinde;Rendsburg-Eckernförde;662;665;660;619
Bokelrehm;Gemeinde;Steinburg;130;146;150;143
Bokholt-Hanredder;Gemeinde;Pinneberg;1.248;1.243;1.232;1.242
Bokhorst;Gemeinde;Steinburg;141;153;154;151
Böklund;Gemeinde;Schleswig-Flensburg;1.404;1.518;1.480;1.560
Boksee;Gemeinde;Plön;443;497;446;447
Bollingstedt;Gemeinde;Schleswig-Flensburg;1.401;1.490;1.497;1.439
Bondelum;Gemeinde;Nordfriesland;185;200;202;174
Bönebüttel;Gemeinde;Plön;1.844;1.996;2.024;2.052
Bönningstedt;Gemeinde;Pinneberg;3.478;4.030;4.429;4.554
Boostedt;Gemeinde;Segeberg;4.370;4.502;4.596;5.326
Bordelum;Gemeinde;Nordfriesland;1.803;1.945;2.046;1.998
Bordesholm;Gemeinde;Rendsburg-Eckernförde;7.059;7.606;7.513;7.454
Boren;Gemeinde;Schleswig-Flensburg;1.266;1.260;1.167;1.180
Borgdorf-Seedorf;Gemeinde;Rendsburg-Eckernförde;328;408;402;399
Borgstedt;Gemeinde;Rendsburg-Eckernförde;1.186;1.295;1.348;1.525
Borgsum;Gemeinde;Nordfriesland;298;338;347;360
Borgwedel;Gemeinde;Schleswig-Flensburg;627;661;708;686
Börm;Gemeinde;Schleswig-Flensburg;790;789;756;751
Bornholt;Gemeinde;Rendsburg-Eckernförde;182;231;170;160
Bornhöved;Gemeinde;Segeberg;2.857;3.420;3.396;3.286
Börnsen;Gemeinde;Herzogtum Lauenburg;3.237;3.673;4.243;4.431
Borsfleth;Gemeinde;Steinburg;818;865;787;740
Borstel;Gemeinde;Segeberg;140;139;114;131
Borstel-Hohenraden;Gemeinde;Pinneberg;1.761;1.903;2.242;2.317
Borstorf;Gemeinde;Herzogtum Lauenburg;293;317;285;279
Bosau;Gemeinde;Ostholstein;3.311;3.541;3.472;3.382
Bosbüll;Gemeinde;Nordfriesland;188;194;223;204
Bösdorf;Gemeinde;Plön;1.611;1.630;1.365;1.298
Bothkamp;Gemeinde;Plön;284;309;270;270
Bovenau;Gemeinde;Rendsburg-Eckernförde;893;1.040;1.098;1.095
Böxlund;Gemeinde;Schleswig-Flensburg;105;118;105;97
Braak;Gemeinde;Stormarn;671;731;935;941
Braderup;Gemeinde;Nordfriesland;677;696;658;660
Brammer;Gemeinde;Rendsburg-Eckernförde;323;357;390;390
Bramstedtlund;Gemeinde;Nordfriesland;233;253;193;207
Brande-Hörnerkirchen;Gemeinde;Pinneberg;1.160;1.570;1.617;1.618
Brebel;Gemeinde;Schleswig-Flensburg;302;427;390;404
Bredenbek;Gemeinde;Rendsburg-Eckernförde;962;1.292;1.400;1.500
Bredstedt;Stadt;Nordfriesland;4.859;5.076;5.083;5.224
Breiholz;Gemeinde;Rendsburg-Eckernförde;1.384;1.526;1.413;1.373
Breitenberg;Gemeinde;Steinburg;364;405;339;327
Breitenburg;Gemeinde;Steinburg;1.106;1.067;971;1.023
Breitenfelde;Gemeinde;Herzogtum Lauenburg;1.643;1.738;1.835;1.934
Brekendorf;Gemeinde;Rendsburg-Eckernförde;959;1.012;1.007;974
Breklum;Gemeinde;Nordfriesland;1.968;2.277;2.356;2.348
Brickeln;Gemeinde;Dithmarschen;156;207;208;204
Brinjahe;Gemeinde;Rendsburg-Eckernförde;141;133;128;124
Brodersby;Gemeinde;Rendsburg-Eckernförde;691;751;702;701
Brodersby;Gemeinde;Schleswig-Flensburg;542;513;526;509
Brodersdorf;Gemeinde;Plön;293;440;419;423
Brokdorf;Gemeinde;Steinburg;971;1.067;1.010;1.000
Brokstedt;Gemeinde;Steinburg;1.854;2.092;2.077;2.040
Bröthen;Gemeinde;Herzogtum Lauenburg;227;255;277;292
Brügge;Gemeinde;Rendsburg-Eckernförde;873;933;1.031;1.025
Brunsbek;Gemeinde;Stormarn;1.409;1.625;1.710;1.725
Brunsbüttel;Stadt;Dithmarschen;13.966;13.902;12.834;12.740
Brunsmark;Gemeinde;Herzogtum Lauenburg;123;128;157;154
Brunstorf;Gemeinde;Herzogtum Lauenburg;450;538;644;632
Büchen;Gemeinde;Herzogtum Lauenburg;5.542;5.463;5.677;5.686
Buchholz;Gemeinde;Dithmarschen;1.020;1.092;1.080;997
Buchholz;Gemeinde;Herzogtum Lauenburg;230;215;240;235
Buchholz (Forstgutsbezirk);Gemeindefreies Gebiet;Segeberg;0;0;0;0
Buchhorst;Gemeinde;Herzogtum Lauenburg;187;172;170;164
Büdelsdorf;Stadt;Rendsburg-Eckernförde;10.459;10.286;9.996;10.110
Bühnsdorf;Gemeinde;Segeberg;396;373;354;344
Bullenkuhlen;Gemeinde;Pinneberg;290;341;378;346
Bünsdorf;Gemeinde;Rendsburg-Eckernförde;508;576;649;624
Bunsoh;Gemeinde;Dithmarschen;807;883;819;782
Burg (Dithmarschen);Gemeinde;Dithmarschen;4.284;4.420;4.219;4.147
Busdorf;Gemeinde;Schleswig-Flensburg;1.550;1.936;2.039;2.037
Busenwurth;Gemeinde;Dithmarschen;325;330;275;305
Büsum;Gemeinde;Dithmarschen;4.581;4.801;4.797;4.786
Büsumer Deichhausen;Gemeinde;Dithmarschen;347;356;356;352
Büttel;Gemeinde;Steinburg;42;51;35;38
Christiansholm;Gemeinde;Rendsburg-Eckernförde;258;252;233;233
Christinenthal;Gemeinde;Steinburg;69;58;55;73
Dagebüll;Gemeinde;Nordfriesland;983;964;915;908
Dägeling;Gemeinde;Steinburg;725;876;1.033;1.020
Dahme;Gemeinde;Ostholstein;1.298;1.198;1.246;1.278
Dahmker;Gemeinde;Herzogtum Lauenburg;122;133;161;150
Daldorf;Gemeinde;Segeberg;609;738;644;656
Dalldorf;Gemeinde;Herzogtum Lauenburg;327;339;360;372
Damendorf;Gemeinde;Rendsburg-Eckernförde;383;422;429;445
Damlos;Gemeinde;Ostholstein;537;631;678;646
Dammfleth;Gemeinde;Steinburg;370;354;298;287
Damp;Gemeinde;Rendsburg-Eckernförde;1.617;1.650;1.467;1.458
Damsdorf;Gemeinde;Segeberg;267;257;231;232
Dänischenhagen;Gemeinde;Rendsburg-Eckernförde;2.950;3.429;3.964;3.908
Dannau;Gemeinde;Plön;537;671;665;616
Dannewerk;Gemeinde;Schleswig-Flensburg;1.023;1.079;1.120;1.137
Dassendorf;Gemeinde;Herzogtum Lauenburg;2.980;3.075;3.085;3.255
Dätgen;Gemeinde;Rendsburg-Eckernförde;496;552;540;573
Delingsdorf;Gemeinde;Stormarn;1.117;1.595;2.154;2.180
Dellstedt;Gemeinde;Dithmarschen;807;799;775;746
Delve;Gemeinde;Dithmarschen;725;733;714;685
Dersau;Gemeinde;Plön;875;897;865;873
Diekhusen-Fahrstedt;Gemeinde;Dithmarschen;638;725;762;741
Dingen;Gemeinde;Dithmarschen;638;704;658;615
Dobersdorf;Gemeinde;Plön;1.083;1.271;1.103;1.100
Dollerup;Gemeinde;Schleswig-Flensburg;989;1.075;1.025;999
Dollrottfeld;Gemeinde;Schleswig-Flensburg;256;264;265;272
Dörnick;Gemeinde;Plön;273;282;272;262
Dörphof;Gemeinde;Rendsburg-Eckernförde;713;734;709;729
Dörpling;Gemeinde;Dithmarschen;605;629;621;609
Dörpstedt;Gemeinde;Schleswig-Flensburg;573;564;547;549
Drage;Gemeinde;Nordfriesland;565;579;627;628
Drage;Gemeinde;Steinburg;265;244;255;248
Dreggers;Gemeinde;Segeberg;52;62;64;53
Drelsdorf;Gemeinde;Nordfriesland;1.136;1.181;1.259;1.259
Düchelsdorf;Gemeinde;Herzogtum Lauenburg;132;161;154;169
Dunsum;Gemeinde;Nordfriesland;87;78;66;77
