Name;Status;Einwohner;Einwohner;Einwohner;Einwohner
;;Schätzung;Schätzung;Zensus;Schätzung
;;31.12.95;31.12.01;09.05.11;31.12.15
Dithmarschen;Landkreis;133.428;137.447;133.900;132.917
Flensburg;Stadtkreis;87.276;84.480;82.258;85.942
Herzogtum Lauenburg;Landkreis;170.058;181.661;187.137;192.999
Kiel;Stadtkreis;246.033;232.242;235.782;246.306
Lübeck;Stadtkreis;216.986;213.496;210.305;216.253
Neumünster;Stadtkreis;82.028;79.646;77.249;79.197
Nordfriesland;Landkreis;159.048;165.026;163.665;163.960
Ostholstein;Landkreis;197.378;203.386;198.413;199.574
Pinneberg;Landkreis;282.538;293.914;296.341;307.471
Plön;Landkreis;125.391;133.624;127.676;128.304
Rendsburg-Eckernförde;Landkreis;258.040;271.643;269.362;270.378
Schleswig-Flensburg;Landkreis;188.129;198.390;196.025;196.839
Segeberg;Landkreis;237.083;252.758;260.665;267.503
Steinburg;Landkreis;133.184;136.548;130.785;131.457
Stormarn;Landkreis;208.861;219.988;230.556;239.614
Schleswig-Holstein;Bundesland;2.725.461;2.804.249;2.800.119;2.858.714
