Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Beckingen;Gemeinde;Merzig-Wadern;16.297;16.017;15.355;15.145
Bexbach;Stadt;Saarpfalz-Kreis;19.503;19.157;18.038;17.769
Blieskastel;Stadt;Saarpfalz-Kreis;23.082;23.174;21.255;21.033
Bous;Gemeinde;Saarlouis;7.665;7.524;7.092;7.038
Dillingen/Saar;Stadt;Saarlouis;22.068;21.464;20.253;20.311
Ensdorf;Gemeinde;Saarlouis;6.790;6.765;6.556;6.508
Eppelborn;Gemeinde;Neunkirchen;18.774;18.387;17.726;17.250
Freisen;Gemeinde;St. Wendel;8.800;8.728;8.270;8.039
Friedrichsthal;Stadt;Regionalverband Saarbrücken;12.089;11.670;10.409;10.280
Gersheim;Gemeinde;Saarpfalz-Kreis;7.198;7.181;6.789;6.565
Großrosseln;Gemeinde;Regionalverband Saarbrücken;9.942;9.397;8.403;8.048
Heusweiler;Gemeinde;Regionalverband Saarbrücken;20.086;20.235;18.201;18.081
Homburg;Stadt;Saarpfalz-Kreis;45.832;45.590;41.502;41.974
Illingen;Gemeinde;Neunkirchen;19.184;18.870;16.978;16.486
Kirkel;Gemeinde;Saarpfalz-Kreis;9.933;10.265;10.058;10.104
Kleinblittersdorf;Gemeinde;Regionalverband Saarbrücken;13.192;13.023;11.396;11.078
Lebach;Stadt;Saarlouis;23.634;21.474;19.484;19.156
Losheim am See;Gemeinde;Merzig-Wadern;16.556;16.636;15.906;15.995
Mandelbachtal;Gemeinde;Saarpfalz-Kreis;11.894;11.830;11.107;10.847
Marpingen;Gemeinde;St. Wendel;11.864;11.628;10.590;10.337
Merchweiler;Gemeinde;Neunkirchen;11.655;10.949;10.219;9.973
Merzig;Stadt;Merzig-Wadern;31.150;30.996;29.727;29.937
Mettlach;Gemeinde;Merzig-Wadern;12.041;12.485;12.180;12.251
Nalbach;Gemeinde;Saarlouis;9.601;9.629;9.302;9.209
Namborn;Gemeinde;St. Wendel;7.678;7.550;7.406;7.215
Neunkirchen;Stadt;Neunkirchen;51.801;50.604;46.172;46.369
Nohfelden;Gemeinde;St. Wendel;11.044;10.794;10.247;10.076
Nonnweiler;Gemeinde;St. Wendel;9.218;9.364;8.844;8.724
Oberthal;Gemeinde;St. Wendel;6.618;6.549;6.158;6.076
Ottweiler;Stadt;Neunkirchen;15.783;15.497;14.934;14.585
Perl;Gemeinde;Merzig-Wadern;6.179;6.448;7.775;8.351
Püttlingen;Stadt;Regionalverband Saarbrücken;21.101;20.693;19.134;18.748
Quierschied;Gemeinde;Regionalverband Saarbrücken;15.553;14.783;13.506;13.039
Rehlingen-Siersburg;Gemeinde;Saarlouis;15.630;15.899;14.526;14.483
Riegelsberg;Gemeinde;Regionalverband Saarbrücken;14.995;15.584;14.763;14.611
Saarbrücken;Stadt;Regionalverband Saarbrücken;187.032;182.858;175.853;178.151
Saarlouis;Stadt;Saarlouis;38.501;38.280;34.479;34.768
Saarwellingen;Gemeinde;Saarlouis;14.042;13.907;13.348;13.330
Schiffweiler;Gemeinde;Neunkirchen;17.915;17.627;15.993;15.852
Schmelz;Gemeinde;Saarlouis;17.424;17.415;16.435;16.389
Schwalbach;Gemeinde;Saarlouis;19.262;18.842;17.320;17.323
Spiesen-Elversberg;Gemeinde;Neunkirchen;15.177;14.744;13.509;13.220
St. Ingbert;Stadt;Saarpfalz-Kreis;41.035;39.535;36.645;36.292
St. Wendel;Stadt;St. Wendel;27.709;27.296;26.220;26.066
Sulzbach/Saar;Stadt;Regionalverband Saarbrücken;19.833;18.970;16.591;16.215
Tholey;Gemeinde;St. Wendel;13.416;13.300;12.385;12.359
Überherrn;Gemeinde;Saarlouis;11.899;12.078;11.655;11.500
Völklingen;Stadt;Regionalverband Saarbrücken;44.125;42.735;38.809;39.129
Wadern;Stadt;Merzig-Wadern;17.213;17.175;16.181;15.809
Wadgassen;Gemeinde;Saarlouis;19.020;18.598;17.885;17.528
Wallerfangen;Gemeinde;Saarlouis;9.949;9.806;9.542;9.466
Weiskirchen;Gemeinde;Merzig-Wadern;6.388;6.465;6.512;6.509
