Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Alschbach;Siedlung;Saarpfalz-Kreis;580
Alsweiler;Siedlung;St. Wendel;2.070
Altforweiler - Berus;Siedlung;Saarlouis;3.870
Altheim;Siedlung;Saarpfalz-Kreis;510
Altstadt;Siedlung;Saarpfalz-Kreis;1.690
Aßweiler;Siedlung;Saarpfalz-Kreis;930
Auersmacher;Siedlung;Regionalverband Saarbrücken;2.200
Bachem - Rimlingen;Siedlung;Merzig-Wadern;2.430
Ballweiler;Siedlung;Saarpfalz-Kreis;850
Baltersweiler - Hofeld;Siedlung;St. Wendel;2.200
Bardenbach;Siedlung;Merzig-Wadern;880
Bebelsheim;Siedlung;Saarpfalz-Kreis;690
Beckingen;Siedlung;Merzig-Wadern;6.770
Bergen;Siedlung;Merzig-Wadern;530
Berschweiler;Siedlung;St. Wendel;1.040
Besch;Siedlung;Merzig-Wadern;1.320
Bexbach;Siedlung;Saarpfalz-Kreis;11.900
Bierbach an der Blies;Siedlung;Saarpfalz-Kreis;1.750
Bierfeld;Siedlung;St. Wendel;520
Biesingen;Siedlung;Saarpfalz-Kreis;1.020
Bietzen - Harlingen;Siedlung;Merzig-Wadern;1.460
Bisten;Siedlung;Saarlouis;850
Blickweiler;Siedlung;Saarpfalz-Kreis;1.290
Bliesdalheim;Siedlung;Saarpfalz-Kreis;620
Bliesen;Siedlung;St. Wendel;3.040
Blieskastel;Siedlung;Saarpfalz-Kreis;5.200
Bliesmengen-Bolchen;Siedlung;Saarpfalz-Kreis;1.750
Bliesransbach;Siedlung;Regionalverband Saarbrücken;2.030
Bosen;Siedlung;St. Wendel;1.300
Bous;Siedlung;Saarlouis;7.040
Braunshausen;Siedlung;St. Wendel;740
Breitfurt;Siedlung;Saarpfalz-Kreis;1.130
Britten;Siedlung;Merzig-Wadern;1.470
Brotdorf;Siedlung;Merzig-Wadern;3.520
Büschfeld;Siedlung;Merzig-Wadern;1.240
Buweiler - Kostenbach;Siedlung;Merzig-Wadern;1.090
Derlen - Elm;Siedlung;Saarlouis;4.070
Diefflen;Siedlung;Saarlouis;4.520
Differten - Werbeln;Siedlung;Saarlouis;4.660
Dillingen/Saar;Siedlung;Saarlouis;15.700
Dirmingen;Siedlung;Neunkirchen;2.750
Dorf im Warndt;Siedlung;Regionalverband Saarbrücken;1.620
Dörsdorf;Siedlung;Saarlouis;1.250
Düppenweiler;Siedlung;Merzig-Wadern;2.840
Eidenborn;Siedlung;Saarlouis;600
Einöd - Schwarzenacker;Siedlung;Saarpfalz-Kreis;5.200
Eisen;Siedlung;St. Wendel;530
Eiweiler;Siedlung;St. Wendel;600
Ensdorf;Siedlung;Saarlouis;6.520
Ensheim;Siedlung;Regionalverband Saarbrücken;3.530
Eppelborn;Siedlung;Neunkirchen;7.700
Erbringen;Siedlung;Merzig-Wadern;900
Erfweiler-Ehlingen;Siedlung;Saarpfalz-Kreis;1.230
Eschringen;Siedlung;Regionalverband Saarbrücken;1.270
