Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Abtsbessingen;Gemeinde;Kyffhäuserkreis;597;584;515;462
Ahlstädt;Gemeinde;Hildburghausen;152;145;139;132
Albersdorf;Gemeinde;Saale-Holzland-Kreis;272;241;284;290
Alkersleben;Gemeinde;Ilm-Kreis;359;341;331;312
Allendorf;Gemeinde;Saalfeld-Rudolstadt;383;393;347;359
Alperstedt;Gemeinde;Sömmerda;580;721;682;747
Altenberga;Gemeinde;Saale-Holzland-Kreis;654;718;743;743
Altenbeuthen;Gemeinde;Saalfeld-Rudolstadt;256;269;225;228
Altenburg;Stadt;Altenburger Land;45.843;40.559;34.090;32.910
Altenfeld;Gemeinde;Ilm-Kreis;1.218;1.166;1.141;951
Altengottern;Gemeinde;Unstrut-Hainich-Kreis;1.241;1.158;1.060;1.000
Altersbach;Gemeinde;Schmalkalden-Meiningen;638;591;515;472
Altkirchen;Gemeinde;Altenburger Land;1.270;1.209;1.073;1.013
Am Ohmberg;Gemeinde;Eichsfeld;4.965;4.493;3.851;3.803
Amt Wachsenburg (Ichtershausen);Gemeinde;Ilm-Kreis;6.200;6.634;6.354;6.367
Andisleben;Gemeinde;Sömmerda;603;651;591;601
Angelroda;Gemeinde;Ilm-Kreis;404;445;402;364
Anrode;Gemeinde;Unstrut-Hainich-Kreis;3.665;3.687;3.322;3.228
Apolda;Stadt;Weimarer Land;27.943;25.526;22.079;22.364
Arenshausen;Gemeinde;Eichsfeld;1.039;1.034;989;1.021
Arnstadt;Stadt;Ilm-Kreis;28.355;26.848;23.787;24.481
Artern/Unstrut;Stadt;Kyffhäuserkreis;7.269;6.732;5.787;5.590
Asbach-Sickenberg;Gemeinde;Eichsfeld;114;114;115;102
Aschenhausen;Gemeinde;Schmalkalden-Meiningen;177;190;171;147
Auengrund;Gemeinde;Hildburghausen;3.564;3.500;3.084;2.926
Auma-Weidatal;Stadt;Greiz;4.701;4.458;3.859;3.646
Bachfeld;Gemeinde;Sonneberg;526;532;501;456
Bad Berka;Stadt;Weimarer Land;7.548;7.952;7.630;7.534
Bad Blankenburg;Stadt;Saalfeld-Rudolstadt;8.197;7.764;6.968;6.767
Bad Colberg-Heldburg;Stadt;Hildburghausen;2.455;2.357;2.098;2.066
Bad Frankenhausen/Kyffhäuser;Stadt;Kyffhäuserkreis;10.462;9.882;8.749;8.792
Bad Klosterlausnitz;Gemeinde;Saale-Holzland-Kreis;3.077;3.657;3.504;3.542
Bad Köstritz;Stadt;Greiz;3.547;4.001;3.686;3.628
Bad Langensalza;Stadt;Unstrut-Hainich-Kreis;20.896;19.709;17.837;17.483
Bad Liebenstein;Stadt;Wartburgkreis;8.900;8.683;8.094;7.898
Bad Lobenstein;Stadt;Saale-Orla-Kreis;7.426;7.235;6.314;6.146
Bad Salzungen;Stadt;Wartburgkreis;19.287;16.993;15.680;15.763
Bad Sulza;Stadt;Weimarer Land;5.687;5.449;4.935;4.738
Bad Tennstedt;Stadt;Unstrut-Hainich-Kreis;2.881;2.771;2.528;2.453
Ballhausen;Gemeinde;Unstrut-Hainich-Kreis;951;972;892;835
Ballstädt;Gemeinde;Gotha;768;762;701;667
Ballstedt;Gemeinde;Weimarer Land;324;370;315;284
Barchfeld-Immelborn;Gemeinde;Wartburgkreis;5.461;5.431;4.817;4.803
Bechstedt;Gemeinde;Saalfeld-Rudolstadt;179;179;164;157
Bechstedtstraß;Gemeinde;Weimarer Land;274;303;260;257
Beichlingen;Gemeinde;Sömmerda;659;598;522;510
Beinerstadt;Gemeinde;Hildburghausen;471;390;349;338
Bellstedt;Gemeinde;Kyffhäuserkreis;226;218;171;160
Belrieth;Gemeinde;Schmalkalden-Meiningen;445;411;366;349
Benshausen;Gemeinde;Schmalkalden-Meiningen;2.683;2.755;2.468;2.405
Berga/Elster;Stadt;Greiz;4.263;4.017;3.569;3.383
Berka v. d. Hainich;Gemeinde;Wartburgkreis;830;881;799;792
Berka/Werra;Stadt;Wartburgkreis;4.959;4.851;4.401;4.300
Berlingerode;Gemeinde;Eichsfeld;1.337;1.298;1.205;1.209
Berlstedt;Gemeinde;Weimarer Land;2.023;1.990;1.755;1.760
Bermbach;Gemeinde;Schmalkalden-Meiningen;606;615;560;523
Bernterode (bei Heilbad Heiligenstadt);Gemeinde;Eichsfeld;299;270;255;237
Bethenhausen;Gemeinde;Greiz;270;268;257;236
Bibra;Gemeinde;Saale-Holzland-Kreis;268;284;268;262
Bienstädt;Gemeinde;Gotha;655;812;688;675
Bilzingsleben;Gemeinde;Sömmerda;879;833;735;692
Birkenfelde;Gemeinde;Eichsfeld;571;613;596;567
Birkenhügel;Gemeinde;Saale-Orla-Kreis;530;563;401;368
Birx;Gemeinde;Schmalkalden-Meiningen;189;191;174;167
Bischofrod;Gemeinde;Hildburghausen;253;210;185;174
Bischofroda;Gemeinde;Wartburgkreis;586;660;694;651
Blankenberg;Gemeinde;Saale-Orla-Kreis;1.271;1.216;995;913
Blankenburg;Gemeinde;Unstrut-Hainich-Kreis;205;165;161;150
Blankenhain;Stadt;Weimarer Land;7.183;7.144;6.461;6.355
Blankenstein;Gemeinde;Saale-Orla-Kreis;1.133;1.052;811;745
Bleicherode;Stadt;Nordhausen;8.286;7.690;6.448;6.173
Bobeck;Gemeinde;Saale-Holzland-Kreis;386;339;297;298
Bocka;Gemeinde;Greiz;418;563;465;454
Bodelwitz;Gemeinde;Saale-Orla-Kreis;666;669;592;583
Bodenrode-Westhausen;Gemeinde;Eichsfeld;1.171;1.182;1.157;1.114
Böhlen;Gemeinde;Ilm-Kreis;810;744;603;560
Bollberg;Gemeinde;Saale-Holzland-Kreis;287;310;291;297
Bornhagen;Gemeinde;Eichsfeld;416;385;271;302
Borxleben;Gemeinde;Kyffhäuserkreis;399;370;296;281
Bösleben-Wüllersleben;Gemeinde;Ilm-Kreis;670;712;608;641
Bothenheilingen;Gemeinde;Unstrut-Hainich-Kreis;490;531;448;452
Brahmenau;Gemeinde;Greiz;778;1.114;985;962
Braunichswalde;Gemeinde;Greiz;655;715;606;607
Brehme;Gemeinde;Eichsfeld;1.205;1.207;1.090;1.119
Breitenworbis;Gemeinde;Eichsfeld;4.138;3.877;3.415;3.331
Breitungen/Werra;Gemeinde;Schmalkalden-Meiningen;5.666;5.454;4.911;4.808
Bremsnitz;Gemeinde;Saale-Holzland-Kreis;163;159;145;131
Bretleben;Gemeinde;Kyffhäuserkreis;750;667;574;541
Brotterode-Trusetal;Stadt;Schmalkalden-Meiningen;7.836;7.533;6.564;6.266
Bruchstedt;Gemeinde;Unstrut-Hainich-Kreis;337;306;266;261
Brüheim;Gemeinde;Gotha;530;526;517;480
Brunnhartshausen;Gemeinde;Wartburgkreis;465;440;384;370
Brünn/Thür.;Gemeinde;Hildburghausen;470;468;447;442
Bucha;Gemeinde;Saale-Holzland-Kreis;896;1.204;1.094;1.114
Bucha;Gemeinde;Saale-Orla-Kreis;78;84;94;90
Büchel;Gemeinde;Sömmerda;293;269;242;237
Buchfart;Gemeinde;Weimarer Land;202;202;181;180
Buchholz;Gemeinde;Nordhausen;240;220;230;210
Bufleben;Gemeinde;Gotha;1.047;1.120;1.059;1.030
Buhla;Gemeinde;Eichsfeld;677;631;526;512
Bürgel;Stadt;Saale-Holzland-Kreis;3.051;3.318;3.107;3.069
Burgk;Gemeinde;Saale-Orla-Kreis;124;123;90;91
Burgwalde;Gemeinde;Eichsfeld;280;270;242;226
Buttelstedt;Stadt;Weimarer Land;1.531;1.446;1.354;1.341
Buttlar;Gemeinde;Wartburgkreis;1.401;1.452;1.346;1.322
Buttstädt;Stadt;Sömmerda;3.035;2.937;2.494;2.566
Büttstedt;Gemeinde;Eichsfeld;1.073;1.032;875;868
Caaschwitz;Gemeinde;Greiz;678;701;652;618
Christes;Gemeinde;Schmalkalden-Meiningen;698;713;610;577
Clingen;Stadt;Kyffhäuserkreis;1.256;1.215;1.064;1.022
Crawinkel;Gemeinde;Gotha;1.715;1.687;1.520;1.490
Creuzburg;Stadt;Wartburgkreis;2.457;2.622;2.458;2.373
Crimla;Gemeinde;Greiz;332;344;287;269
Crispendorf;Gemeinde;Saale-Orla-Kreis;492;467;401;376
Crossen an der Elster;Gemeinde;Saale-Holzland-Kreis;2.204;2.049;1.750;1.581
Cursdorf;Gemeinde;Saalfeld-Rudolstadt;845;789;646;620
Daasdorf a. Berge;Gemeinde;Weimarer Land;177;250;258;265
Dachwig;Gemeinde;Gotha;1.587;1.617;1.584;1.610
Dankmarshausen;Gemeinde;Wartburgkreis;1.227;1.166;1.037;977
Deesbach;Gemeinde;Saalfeld-Rudolstadt;533;523;368;337
Dermbach;Gemeinde;Wartburgkreis;3.395;3.402;3.106;3.008
Deuna;Gemeinde;Eichsfeld;1.449;1.403;1.182;1.176
Diedorf/Rhön;Gemeinde;Wartburgkreis;460;430;374;350
Dieterode;Gemeinde;Eichsfeld;100;105;82;71
Dietzenrode/Vatterode;Gemeinde;Eichsfeld;147;144;130;128
Dillstädt;Gemeinde;Schmalkalden-Meiningen;956;932;830;778
Dingelstädt;Stadt;Eichsfeld;5.101;5.024;4.407;4.372
Dingsleben;Gemeinde;Hildburghausen;278;270;262;244
Dippach;Gemeinde;Wartburgkreis;1.300;1.210;1.096;1.074
Dittersdorf;Gemeinde;Saale-Orla-Kreis;528;524;483;489
Dobitschen;Gemeinde;Altenburger Land;660;624;486;471
Döbritschen;Gemeinde;Weimarer Land;233;246;209;211
Döbritz;Gemeinde;Saale-Orla-Kreis;212;205;190;190
Döllstädt;Gemeinde;Gotha;1.100;1.286;1.151;1.118
Donndorf;Gemeinde;Kyffhäuserkreis;897;896;817;809
Dornburg-Camburg;Stadt;Saale-Holzland-Kreis;6.274;6.065;5.549;5.447
Dornheim;Gemeinde;Ilm-Kreis;542;569;563;569
Döschnitz;Gemeinde;Saalfeld-Rudolstadt;311;325;267;245
Dreba;Gemeinde;Saale-Orla-Kreis;314;295;267;238
Drei Gleichen;Gemeinde;Gotha;5.111;5.434;5.236;5.065
Dreitzsch;Gemeinde;Saale-Orla-Kreis;473;458;436;410
Dröbischau;Gemeinde;Saalfeld-Rudolstadt;579;580;477;422
Drogen;Gemeinde;Altenburger Land;166;164;143;131
Drognitz;Gemeinde;Saalfeld-Rudolstadt;771;731;675;641
Dünwald;Gemeinde;Unstrut-Hainich-Kreis;2.532;2.570;2.351;2.261
Ebeleben;Stadt;Kyffhäuserkreis;3.363;3.221;2.858;2.809
Ebenshausen;Gemeinde;Wartburgkreis;282;320;285;290
Eberstedt;Gemeinde;Weimarer Land;216;222;217;203
Ecklingerode;Gemeinde;Eichsfeld;962;852;707;727
Eckstedt;Gemeinde;Sömmerda;603;628;606;596
Effelder;Gemeinde;Eichsfeld;1.510;1.444;1.279;1.216
Ehrenberg;Gemeinde;Hildburghausen;237;234;193;183
Eichenberg;Gemeinde;Hildburghausen;216;186;183;171
Eichenberg;Gemeinde;Saale-Holzland-Kreis;449;463;415;401
Eichstruth;Gemeinde;Eichsfeld;90;91;89;86
Eineborn;Gemeinde;Saale-Holzland-Kreis;410;383;340;323
Einhausen;Gemeinde;Schmalkalden-Meiningen;565;527;461;414
Eisenach;Kreisfreie Stadt;Eisenach;45.337;44.242;41.753;42.417
Eisenberg;Stadt;Saale-Holzland-Kreis;11.266;11.681;10.619;13.669
Eisfeld;Stadt;Hildburghausen;6.211;6.165;5.784;5.623
Elgersburg;Gemeinde;Ilm-Kreis;1.243;1.243;1.218;1.228
Elleben;Gemeinde;Ilm-Kreis;596;917;900;857
Ellersleben;Gemeinde;Sömmerda;321;325;272;264
Ellingshausen;Gemeinde;Schmalkalden-Meiningen;332;295;256;237
Ellrich;Stadt;Nordhausen;6.499;6.477;5.665;5.580
Elxleben;Gemeinde;Sömmerda;2.339;2.456;2.269;2.245
Elxleben;Gemeinde;Ilm-Kreis;582;612;591;560
Emleben;Gemeinde;Gotha;800;807;755;731
Empfertshausen;Gemeinde;Wartburgkreis;690;684;611;577
Endschütz;Gemeinde;Greiz;383;392;343;334
Erbenhausen;Gemeinde;Schmalkalden-Meiningen;712;663;572;565
Erfurt;Kreisfreie Stadt;Erfurt;211.108;200.126;200.868;210.118
Eschenbergen;Gemeinde;Gotha;709;793;736;720
Eßbach;Gemeinde;Saale-Orla-Kreis;310;275;244;241
Eßleben-Teutleben;Gemeinde;Sömmerda;384;364;320;297
Ettenhausen a.d. Suhl;Gemeinde;Wartburgkreis;486;515;422;388
Ettersburg;Gemeinde;Weimarer Land;416;522;573;627
Etzelsrode;Gemeinde;Nordhausen;102;105;95;89
Etzleben;Gemeinde;Kyffhäuserkreis;342;330;294;272
Fambach;Gemeinde;Schmalkalden-Meiningen;2.468;2.457;2.194;2.091
Ferna;Gemeinde;Eichsfeld;489;638;579;580
Flarchheim;Gemeinde;Unstrut-Hainich-Kreis;562;515;435;418
Floh-Seligenthal;Gemeinde;Schmalkalden-Meiningen;7.208;7.040;6.308;6.138
Fockendorf;Gemeinde;Altenburger Land;913;974;843;799
Föritz;Gemeinde;Sonneberg;3.728;3.800;3.532;3.428
Frankenblick;Gemeinde;Sonneberg;7.498;7.187;6.282;6.161
Frankendorf;Gemeinde;Weimarer Land;153;185;174;162
Frankenhain;Gemeinde;Ilm-Kreis;994;924;779;728
Frankenheim/Rhön;Gemeinde;Schmalkalden-Meiningen;1.299;1.288;1.183;1.121
Frankenroda;Gemeinde;Wartburgkreis;375;380;339;342
Frauenprießnitz;Gemeinde;Saale-Holzland-Kreis;1.243;1.231;896;854
Frauensee;Gemeinde;Wartburgkreis;1.080;1.028;859;832
Frauenwald;Gemeinde;Ilm-Kreis;1.302;1.174;1.004;964
Freienbessingen;Gemeinde;Kyffhäuserkreis;727;937;246;212
Freienhagen;Gemeinde;Eichsfeld;361;336;294;282
Freienorla;Gemeinde;Saale-Holzland-Kreis;369;346;329;329
Fretterode;Gemeinde;Eichsfeld;214;222;182;167
