Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Alach;Siedlung;Erfurt;1.010
Albrechts;Siedlung;Suhl;1.200
Alperstedt;Siedlung;Sömmerda;520
Altenburg;Siedlung;Altenburger Land;32.000
Altenfeld;Siedlung;Ilm-Kreis;980
Altengottern;Siedlung;Unstrut-Hainich-Kreis;1.040
Altersbach;Siedlung;Schmalkalden-Meiningen;510
Ammern;Siedlung;Unstrut-Hainich-Kreis;1.280
Andisleben;Siedlung;Sömmerda;590
Apfelstädt;Siedlung;Gotha;1.400
Apolda;Siedlung;Weimarer Land;19.600
Arenshausen;Siedlung;Eichsfeld;980
Arnstadt;Siedlung;Ilm-Kreis;22.900
Artern/Unstrut;Siedlung;Kyffhäuserkreis;5.510
Auleben;Siedlung;Nordhausen;960
Auma;Siedlung;Greiz;2.290
Auwallenburg - Trusen;Siedlung;Schmalkalden-Meiningen;3.300
Bachra;Siedlung;Sömmerda;500
Bad Berka;Siedlung;Weimarer Land;5.370
Bad Blankenburg;Siedlung;Saalfeld-Rudolstadt;6.170
Bad Frankenhausen/Kyffhäuser;Siedlung;Kyffhäuserkreis;7.020
Bad Klosterlausnitz;Siedlung;Saale-Holzland-Kreis;2.820
Bad Köstritz;Siedlung;Greiz;3.300
Bad Langensalza;Siedlung;Unstrut-Hainich-Kreis;13.200
Bad Liebenstein;Siedlung;Wartburgkreis;6.170
Bad Lobenstein;Siedlung;Saale-Orla-Kreis;4.950
Badra;Siedlung;Kyffhäuserkreis;560
Bad Salzungen;Siedlung;Wartburgkreis;12.900
Bad Sulza;Siedlung;Weimarer Land;2.780
Bad Tennstedt;Siedlung;Unstrut-Hainich-Kreis;2.500
Ballstädt;Siedlung;Gotha;670
Barchfeld;Siedlung;Wartburgkreis;3.180
Beberstedt;Siedlung;Unstrut-Hainich-Kreis;680
Bedheim;Siedlung;Hildburghausen;520
Behrungen;Siedlung;Schmalkalden-Meiningen;590
Bendeleben;Siedlung;Kyffhäuserkreis;700
Benshausen;Siedlung;Schmalkalden-Meiningen;2.170
Berga/Elster;Siedlung;Greiz;2.020
Berka;Siedlung;Kyffhäuserkreis;690
Berka v. d. Hainich;Siedlung;Wartburgkreis;800
Berka/Werra;Siedlung;Wartburgkreis;1.490
Berlingerode;Siedlung;Eichsfeld;1.200
Berlstedt;Siedlung;Weimarer Land;1.150
Bermbach;Siedlung;Schmalkalden-Meiningen;550
Bernterode (bei Worbis);Siedlung;Eichsfeld;1.090
Bettenhausen;Siedlung;Schmalkalden-Meiningen;750
Beuren;Siedlung;Eichsfeld;1.120
Bibra;Siedlung;Schmalkalden-Meiningen;560
Bickenriede;Siedlung;Unstrut-Hainich-Kreis;1.470
Bielen;Siedlung;Nordhausen;1.220
Bienstädt;Siedlung;Gotha;690
Bilzingsleben;Siedlung;Sömmerda;670
Birkenfelde;Siedlung;Eichsfeld;590
Birkungen;Siedlung;Eichsfeld;1.380
Bischofferode;Siedlung;Eichsfeld;1.230
