Name;Status;Einwohner
;;Zensus
;;09.05.11
Altenburger Land;Landkreis;96.737
Eichsfeld;Landkreis;102.257
Eisenach;Stadtkreis;41.753
Erfurt;Stadtkreis;200.868
Gera;Stadtkreis;96.067
Gotha;Landkreis;136.330
Greiz;Landkreis;105.332
Hildburghausen;Landkreis;66.369
Ilm-Kreis;Landkreis;110.361
Jena;Stadtkreis;105.739
Kyffhäuserkreis;Landkreis;80.053
Nordhausen;Landkreis;87.210
Saale-Holzland-Kreis;Landkreis;84.802
Saale-Orla-Kreis;Landkreis;85.806
Saalfeld-Rudolstadt;Landkreis;113.267
Schmalkalden-Meiningen;Landkreis;127.622
Sömmerda;Landkreis;71.865
Sonneberg;Landkreis;58.943
Suhl;Stadtkreis;36.960
Unstrut-Hainich-Kreis;Landkreis;106.122
Wartburgkreis;Landkreis;128.719
Weimar;Stadtkreis;62.764
Weimarer Land;Landkreis;82.643
Thüringen;Bundesland;2.188.589
